Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Plasma,D-(-)-Fructopyranose-F,Feces,-0.645517855,0.017175768,13,-0.285714286,0.534509229,7,,,1,-0.88787785,7.89E-08,21,2,TRUE,-,-1,0.000287585
1-Phenethylamine-P,Plasma,L-Aspartic acid-F,Feces,0.785714286,0.036238463,7,0.396412484,0.37863471,7,0.866025404,0.333333333,3,0.925153374,1.06E-07,17,3,TRUE,+,1,0.000317358
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate-P",Plasma,Supraene-F,Feces,-0.928878424,0.000294526,9,-0.866025404,0.333333333,3,,,1,-0.964187328,1.11E-07,13,2,TRUE,-,-1,0.000317358
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P",Plasma,Tyrosine-F,Feces,0.591011024,0.015912378,16,0.407687124,0.363942484,7,0.8,0.2,4,0.827502383,1.02E-07,27,3,TRUE,+,1,0.000317358
5-Hydroxyquinoline-P,Plasma,Tyrosine-F,Feces,0.611074271,0.011910449,16,0.607142857,0.148231161,7,1,0,4,0.823583561,1.31E-07,27,3,TRUE,+,1,0.000351591
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P",Plasma,L-Isoleucine-F,Feces,0.632278627,0.00858777,16,0.62138851,0.136348351,7,0.8,0.2,4,0.812538264,2.64E-07,27,3,TRUE,+,1,0.000660635
2-Heptenoic acid-P,Plasma,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",Feces,-0.546410645,0.066040604,12,-0.75,0.0521814,7,-1,0,3,-0.857949766,3.31E-07,22,3,TRUE,-,-1,0.000684086
5-Hydroxyquinoline-P,Plasma,L-Isoleucine-F,Feces,0.627310544,0.009290757,16,0.336816535,0.46007675,7,1,0,4,0.809232651,3.22E-07,27,3,TRUE,+,1,0.000684086
Indole-3-lactic acid-P,Plasma,Uracil-F,Feces,0.562592657,0.023288459,16,0.035714286,0.939408205,7,1,0,4,0.810381717,3.00E-07,27,3,TRUE,+,1,0.000684086
Isoxaben-P,Plasma,Uracil-F,Feces,0.723407597,0.018047748,10,0.756787469,0.048905099,7,0.5,0.666666667,3,0.878856532,3.41E-07,20,3,TRUE,+,1,0.000684086
Doconexent-P,Plasma,3-Oxo-1-cyclohexene-1-carboxylic acid-F,Feces,-0.866025404,0.333333333,3,-0.95499371,0.000805535,7,,,1,-0.972612879,5.24E-07,11,2,TRUE,-,-1,0.00100064
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Plasma,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",Feces,-0.605192722,0.016824609,15,-0.392857143,0.38331687,7,,,0,-0.849957649,5.53E-07,22,2,TRUE,-,-1,0.001008953
3-Amino-2-piperidone-P,Plasma,3-Pyridylcarbinol-F,Feces,0.571221601,0.020816463,16,0.285714286,0.492726245,8,1,0,4,0.789812591,5.81E-07,28,3,TRUE,+,1,0.001013271
(pm)-Norketamine-P,Plasma,Salsoline-F,Feces,-0.487069778,0.077324369,14,-0.754504545,0.030512759,8,-0.105409255,0.894590745,4,-0.80371016,7.62E-07,26,3,TRUE,-,-1,0.00111158
2-Ketoisocaproic acid-P,Plasma,Picolinic acid-F,Feces,-0.856140351,0.000379202,12,-0.6,0.28475698,5,-0.4,0.6,4,-0.857699805,6.72E-07,21,3,TRUE,-,-1,0.00111158
4-Pyridinol-P,Plasma,Anthranilic acid-F,Feces,0.641665661,0.007374776,16,0.323359091,0.434639449,8,0.4,0.6,4,0.784559866,7.75E-07,28,3,TRUE,+,1,0.00111158
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P",Plasma,"cis-4,5-Dihydroxy-o-dithiane-F",Feces,-0.985184366,0.000327628,6,-0.678571429,0.093750254,7,,,1,-0.937156027,7.76E-07,14,2,TRUE,-,-1,0.00111158
"Cyclopentanone, 2,2,4-trimethyl--P",Plasma,L-Isoleucine-F,Feces,0.828571429,0.041562682,6,0.449088713,0.31209844,7,1,0,4,0.902278385,7.33E-07,17,3,TRUE,+,1,0.00111158
"Stigmast-5-ene, 3beta--P",Plasma,l-Leucyl-l-valine-F,Feces,0.354388146,0.258370374,12,0.77845707,0.022867334,8,1,0,3,0.831149796,9.02E-07,23,3,TRUE,+,1,0.001247635
"N,N-Dimethyl-2-cyclohexyloxyethylamine-P",Plasma,"cis-4,5-Dihydroxy-o-dithiane-F",Feces,-0.488502462,0.107083793,12,-0.558581227,0.192452532,7,-0.8,0.2,4,-0.827227824,1.13E-06,23,3,TRUE,-,-1,0.00150699
3-Amino-2-piperidone-P,Plasma,Suberic acid-F,Feces,0.344166938,0.191787782,16,0.404761905,0.319888641,8,0.8,0.2,4,0.77485632,1.30E-06,28,3,TRUE,+,1,0.00164528
"Inosose-2, 1,3,4,5,6-pentakis--P",Plasma,Itaconic acid-F,Feces,-0.872727273,0.010351896,7,-0.586836868,0.126198986,8,,,1,-0.906411447,1.31E-06,16,2,TRUE,-,-1,0.00164528
"3-Methylpiperazine-2,5-dione, (R)--P",Plasma,"Benzaldehyde, 2,5-dimethoxy-F",Feces,-0.641593618,0.007383535,16,-0.5,0.253169995,7,,,0,-0.821958557,1.51E-06,23,2,TRUE,-,-1,0.001778401
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino--P",Plasma,"2,4-Di-tert-butylphenol-F",Feces,-0.828571429,0.041562682,6,-0.571428571,0.180201989,7,,,1,-0.92967033,1.50E-06,14,2,TRUE,-,-1,0.001778401
"3-Methylpiperazine-2,5-dione, (R)--P",Plasma,"Hexadecanoic acid, ethyl ester-F",Feces,-0.607223297,0.012609481,16,-0.085714286,0.87174344,6,,,0,-0.831308578,1.65E-06,22,2,TRUE,-,-1,0.001833452
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P",Plasma,Supraene-F,Feces,-0.513417637,0.05029298,15,-0.566138517,0.185198828,7,-0.4,0.6,4,-0.789455851,1.63E-06,26,3,TRUE,-,-1,0.001833452
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid-P,Plasma,Uracil-F,Feces,0.371428571,0.468478134,6,0.571428571,0.138959957,8,0.5,0.666666667,3,0.889705882,1.75E-06,17,3,TRUE,+,1,0.001846974
"Cyclopentanone, 2,2,4-trimethyl--P",Plasma,Tyrosine-F,Feces,0.771428571,0.072396501,6,0.464285714,0.293934108,7,1,0,4,0.889705882,1.75E-06,17,3,TRUE,+,1,0.001846974
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one-P,Plasma,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",Feces,0.5,0.666666667,3,1,0,3,1,0,3,0.983333333,1.94E-06,9,3,TRUE,+,1,0.001849021
Acetoacetic acid-P,Plasma,Desmethylverapamil-F,Feces,-0.9,0.037386073,5,-0.7,0.188120404,5,,,1,-0.963636364,1.85E-06,11,2,TRUE,-,-1,0.001849021
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]--P",Plasma,"Butanoic acid, 3,4-dihydroxy--F",Feces,0.5,0.666666667,3,1,0,6,,,0,0.983333333,1.94E-06,9,2,TRUE,+,1,0.001849021
Hexanoylglycine-P,Plasma,"Arabino-Hexonic acid, 2-deoxy-, gamma-lactone-F",Feces,1,0,4,,,1,0.8,0.2,4,0.983333333,1.94E-06,9,2,TRUE,+,1,0.001849021
"9,12-Octadecadienoic acid-P",Plasma,"Hexadecanoic acid, ethyl ester-F",Feces,-0.58041958,0.047855977,12,-0.035714286,0.939408205,7,,,2,-0.838961039,2.01E-06,21,2,TRUE,-,-1,0.001878566
5-Hydroxyquinoline-P,Plasma,Supraene-F,Feces,-0.516597122,0.048645746,15,-0.727392967,0.063934658,7,-0.2,0.8,4,-0.783501729,2.21E-06,26,3,TRUE,-,-1,0.001968154
DL-Phenylalanine-P,Plasma,Picolinic acid-F,Feces,0.588326264,0.016518862,16,0.347311616,0.399263874,8,0.4,0.6,4,0.764657793,2.16E-06,28,3,TRUE,+,1,0.001968154
Dehydronorketamine-P,Plasma,Stearic acid-F,Feces,-0.568434056,0.033924845,14,-0.5,0.391002219,5,-1,0,4,-0.812809199,2.44E-06,23,3,TRUE,-,-1,0.002131044
1-Aminocyclopropanecarboxylic acid-P,Plasma,Picolinic acid-F,Feces,0.349595883,0.184410405,16,0.626551501,0.096461186,8,0.4,0.6,4,0.759693458,2.75E-06,28,3,TRUE,+,1,0.002347855
3-Amino-2-piperidone-P,Plasma,Picolinic acid-F,Feces,0.488923847,0.054621938,16,0.119047619,0.778885726,8,0.8,0.2,4,0.758148566,2.96E-06,28,3,TRUE,+,1,0.002424264
L-Valine-P,Plasma,"1,2,4,5-Cyclohexanetetrol-F",Feces,-0.774806218,0.040769463,7,-0.948683298,0.051316702,4,,,1,-0.947368421,2.91E-06,12,2,TRUE,-,-1,0.002424264
Dehydronorketamine-P,Plasma,Cyclohexanemethanol-F,Feces,-0.625550661,0.016727291,14,-0.2,0.747060078,5,-0.4,0.6,4,-0.806228374,3.41E-06,23,3,TRUE,-,-1,0.002731872
"9,12-Octadecadienoic acid-P",Plasma,"2-Allyl-1,4-dimethoxybenzene-F",Feces,-0.595447498,0.041074783,12,-0.119047619,0.778885726,8,,,2,-0.815588849,3.74E-06,22,2,TRUE,-,-1,0.002886325
"9,12-Octadecadienoic acid-P",Plasma,Ethanolamine-F,Feces,0.461538462,0.13094807,12,0.880952381,0.00385032,8,,,2,0.815923207,3.68E-06,22,2,TRUE,+,1,0.002886325
Uracil-P,Plasma,Salsoline-F,Feces,0.347670809,0.204165285,15,0.598813131,0.116753544,8,0.632455532,0.367544468,4,0.761381138,3.99E-06,27,3,TRUE,+,1,0.003016155
"9,12-Octadecadienoic acid-P",Plasma,L-Threonine-F,Feces,0.602452763,0.038159476,12,0.095238095,0.82250543,8,,,2,0.8133296,4.18E-06,22,2,TRUE,+,1,0.003108027
DL-Ornithine-P,Plasma,2-Ethylacetoacetate-F,Feces,0.409241172,0.14621677,14,0.251501515,0.547942604,8,1,0,3,0.77876112,4.53E-06,25,3,TRUE,+,1,0.003247856
Phenylpropanolamine-P,Plasma,Syringaldehyde-F,Feces,0.554621849,0.12118595,9,0.485714286,0.328723032,6,0.8,0.2,4,0.848112379,4.50E-06,19,3,TRUE,+,1,0.003247856
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Plasma,Pantolactone-F,Feces,-0.357206947,0.191189382,15,-0.535714286,0.215217456,7,,,1,-0.799752806,4.66E-06,23,2,TRUE,-,-1,0.003282109
"2,5-Dimethoxymandelic acid-P",Plasma,Suberic acid-F,Feces,-0.757142857,0.001081108,15,-0.452380952,0.260404767,8,-0.5,0.666666667,3,-0.765470085,5.21E-06,26,3,TRUE,-,-1,0.003405601
6-Hydroxyflavone-beta-D-glucoside-P,Plasma,Phenylpropanolamine-F,Feces,-0.942857143,0.004804665,6,-0.632455532,0.367544468,4,,,0,-0.966569814,5.25E-06,10,2,TRUE,-,-1,0.003405601
"9,12-Octadecadienoic acid-P",Plasma,Methylmaleic acid-F,Feces,-0.76969697,0.009221953,10,-0.085714286,0.87174344,6,,,0,-0.885294118,5.15E-06,16,2,TRUE,-,-1,0.003405601
"9,12-Octadecadienoic acid-P",Plasma,Tyrosine-F,Feces,0.545454545,0.066611882,12,0.642857143,0.085558891,8,,,2,0.809147374,5.13E-06,22,2,TRUE,+,1,0.003405601
L-Glutamic acid-P,Plasma,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F,Feces,-0.802409595,0.016540723,8,-0.214285714,0.610344416,8,,,2,-0.858027993,5.26E-06,18,2,TRUE,-,-1,0.003405601
Indole-5-carboxylic acid-P,Plasma,Pantolactone-F,Feces,-0.547455814,0.052801892,13,-0.5,0.253169995,7,-0.5,0.666666667,3,-0.79663951,5.40E-06,23,3,TRUE,-,-1,0.003440558
"2,2-Diallylpyrrolidine-P",Plasma,Serine-F,Feces,0.818181818,0.001143105,12,0.285714286,0.534509229,7,0.4,0.6,4,0.793478261,6.26E-06,23,3,TRUE,+,1,0.003747299
"9H-Fluorene, 9-methylene--P",Plasma,Suberic acid-F,Feces,-0.697023836,0.011760971,12,-0.31887407,0.53790056,6,,,2,-0.829947329,5.99E-06,20,2,TRUE,-,-1,0.003747299
"Acetin, bis-1,3-trimethylsilyl ether-P",Plasma,9-Octadecenoic acid-F,Feces,-0.466961485,0.092299338,14,-0.542857143,0.265702624,6,-0.632455532,0.367544468,4,-0.782684526,6.18E-06,24,3,TRUE,-,-1,0.003747299
Acetoacetic acid-P,Plasma,Uracil-F,Feces,0.389059548,0.266477921,10,0.333333333,0.419753086,8,,,2,0.82963526,6.08E-06,20,2,TRUE,+,1,0.003747299
Doconexent-P,Plasma,"L-Valinamide, N(2),N(2)-dimethyl-F",Feces,-0.707527553,0.049628261,8,-0.594618725,0.159089994,7,,,0,-0.895076264,6.58E-06,15,2,TRUE,-,-1,0.003879763
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P",Plasma,Cytosine-F,Feces,0.64137992,0.018141892,13,0.317881977,0.487194091,7,0.4,0.6,4,0.780705871,6.76E-06,24,3,TRUE,+,1,0.003931447
Methyl-3-methoxy-5-methyl benzoate-P,Plasma,Serine-F,Feces,0.654386271,0.005952482,16,0.028571429,0.957154519,6,0.5,0.666666667,3,0.768520428,7.22E-06,25,3,TRUE,+,1,0.004139045
"cis-4,5-Dihydroxy-o-dithiane, 2O--P",Plasma,Trisaminol-F,Feces,-0.639852573,0.007597755,16,-0.25226249,0.585241091,7,-0.6,0.4,4,-0.746562821,7.75E-06,27,3,TRUE,-,-1,0.00437746
"2,2-Diallylpyrrolidine-P",Plasma,Levulinic acid-F,Feces,0.461538462,0.13094807,12,0.642857143,0.119392373,7,0.4,0.6,4,0.786561265,8.56E-06,23,3,TRUE,+,1,0.004401824
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE-P",Plasma,L-Isoleucine-F,Feces,0.724801145,0.011623377,11,0.205832327,0.657923087,7,0.8,0.2,4,0.79818854,8.53E-06,22,3,TRUE,+,1,0.004401824
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]--P",Plasma,"2,4-Di-tert-butylphenol-F",Feces,-0.558581227,0.192452532,7,-0.357142857,0.431611352,7,,,1,-0.891868095,7.94E-06,15,2,TRUE,-,-1,0.004401824
beta-Hydroxypyruvic acid-P,Plasma,Phenylalanine-F,Feces,-0.499553378,0.057958293,15,-0.576599976,0.175381825,7,-0.737864787,0.262135213,4,-0.754920429,8.32E-06,26,3,TRUE,-,-1,0.004401824
DL-Ornithine-P,Plasma,D-(-)-Fructopyranose-F,Feces,0.396491228,0.201945117,12,0.143715151,0.734221475,8,0.5,0.666666667,3,0.787144647,8.34E-06,23,3,TRUE,+,1,0.004401824
"Dodecanamide, N-(2-hydroxyethyl)--P",Plasma,Ferulic acid-F,Feces,-0.651995115,0.015741399,13,-0.25,0.588724448,7,-0.8,0.2,4,-0.775820849,8.41E-06,24,3,TRUE,-,-1,0.004401824
Uracil-P,Plasma,Lactic Acid-F,Feces,0.376008518,0.167199064,15,0.766480808,0.026520014,8,0.632455532,0.367544468,4,0.745074297,8.26E-06,27,3,TRUE,+,1,0.004401824
1-Aminocyclopropanecarboxylic acid-P,Plasma,L-Proline-F,Feces,0.552442647,0.026478596,16,0.18073601,0.668427454,8,1,0,4,0.733699071,8.89E-06,28,3,TRUE,+,1,0.004456008
"Acetin, bis-1,3-trimethylsilyl ether-P",Plasma,Pantolactone-F,Feces,-0.704520825,0.004904397,14,-0.085714286,0.87174344,6,-0.316227766,0.683772234,4,-0.774804251,8.79E-06,24,3,TRUE,-,-1,0.004456008
L-Proline-P,Plasma,Uracil-F,Feces,0.261256391,0.32838495,16,0.574660625,0.136226408,8,0.5,0.666666667,3,0.742658284,9.16E-06,27,3,TRUE,+,1,0.004537873
"1,3,5-Trimethyl-1H-pyrazol-4-amine-P",Plasma,Norketamine-F,Feces,0.276153045,0.471961793,9,0.522543728,0.228877878,7,0.4,0.6,4,0.817908202,1.06E-05,20,3,TRUE,+,1,0.004829673
2-Butenedioic acid-P,Plasma,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F,Feces,-0.239525252,0.567772152,8,-0.610789394,0.107721237,8,,,2,-0.845041322,1.02E-05,18,2,TRUE,-,-1,0.004829673
"9,12-Octadecadienoic acid-P",Plasma,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F,Feces,-0.840668002,0.036057573,6,-0.571428571,0.138959957,8,,,1,-0.886506163,1.07E-05,15,2,TRUE,-,-1,0.004829673
DL-Glyceraldehyde-P,Plasma,L-Isoleucine-F,Feces,0.65195014,0.006206338,16,0.774596669,0.225403331,4,0.8,0.2,4,0.76996752,1.08E-05,24,3,TRUE,+,1,0.004829673
DL-Phenylalanine-P,Plasma,Salsoline-F,Feces,0.859577192,1.98E-05,16,0.107786364,0.799460427,8,0.6,0.4,4,0.730822165,1.00E-05,28,3,TRUE,+,1,0.004829673
Malic acid-P,Plasma,L-Rhamnose-F,Feces,0.522827688,0.037714686,16,0.785714286,0.020815127,8,0.316227766,0.683772234,4,0.730458597,1.02E-05,28,3,TRUE,+,1,0.004829673
Niclosamide-P,Plasma,L-Valine-F,Feces,0.673529412,0.004232739,16,0.833333333,0.01017554,8,0.8,0.2,4,0.729611385,1.06E-05,28,3,TRUE,+,1,0.004829673
Octocrylene-P,Plasma,l-Leucyl-l-valine-F,Feces,0.522543728,0.228877878,7,0.1,0.872888572,5,1,0,3,0.886506163,1.07E-05,15,3,TRUE,+,1,0.004829673
"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro--P",Plasma,"2,4-Di-tert-butylphenol-F",Feces,-0.342356236,0.452251222,7,-0.828571429,0.041562682,6,,,1,-0.902090755,1.03E-05,14,2,TRUE,-,-1,0.004829673
"1,3,5-Trimethyl-1H-pyrazol-4-amine-P",Plasma,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",Feces,-0.377622378,0.226206045,12,-0.270281239,0.557730749,7,-1,0,3,-0.791301924,1.16E-05,22,3,TRUE,-,-1,0.005014725
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl--P",Plasma,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F,Feces,-0.304900722,0.462754154,8,-0.45509798,0.257192085,8,,,2,-0.842215189,1.16E-05,18,2,TRUE,-,-1,0.005014725
Doconexent-P,Plasma,Tyrosine-F,Feces,0.709571961,0.002078587,16,0.774806218,0.040769463,7,0.6,0.4,4,0.737217048,1.15E-05,27,3,TRUE,+,1,0.005014725
L-Glutamine-P,Plasma,"2,3,4-Trihydroxybutyric acid-F",Feces,-0.51508476,0.041170796,16,-0.571428571,0.138959957,8,-0.632455532,0.367544468,4,-0.724609937,1.30E-05,28,3,TRUE,-,-1,0.005539728
Indole-3-lactic acid-P,Plasma,3-Pyridylcarbinol-F,Feces,0.394698513,0.130295191,16,0.071428571,0.879048193,7,0.6,0.4,4,0.733740492,1.33E-05,27,3,TRUE,+,1,0.005556092
L-Methionine-P,Plasma,Desmethylverapamil-F,Feces,-0.535714286,0.215217456,7,-0.666885929,0.218893981,5,,,2,-0.897690312,1.32E-05,14,2,TRUE,-,-1,0.005556092
1-Aminocyclopropanecarboxylic acid-P,Plasma,L-Threonine-F,Feces,0.500741837,0.04819424,16,0.265079481,0.525768133,8,0.4,0.6,4,0.723623155,1.35E-05,28,3,TRUE,+,1,0.005588928
1-Phenethylamine-P,Plasma,Supraene-F,Feces,-0.857142857,0.013697327,7,-0.302765035,0.509240428,7,-1,0,3,-0.852670511,1.37E-05,17,3,TRUE,-,-1,0.005615533
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)--P",Plasma,l-Leucyl-l-valine-F,Feces,0.5,0.666666667,3,0.714285714,0.071343561,7,1,0,3,0.912087912,1.40E-05,13,3,TRUE,+,1,0.005662075
"Dodecanamide, N-(2-hydroxyethyl)--P",Plasma,Stearic acid-F,Feces,-0.451435979,0.105162942,14,-0.571428571,0.180201989,7,-0.8,0.2,4,-0.752309525,1.44E-05,25,3,TRUE,-,-1,0.005783495
"Dodecanamide, N-(2-hydroxyethyl)--P",Plasma,Pantolactone-F,Feces,-0.356828194,0.210429255,14,-0.321428571,0.482072038,7,-0.8,0.2,4,-0.751442863,1.49E-05,25,3,TRUE,-,-1,0.005885529
L-Glutamic acid-P,Plasma,Itaconic acid-F,Feces,-0.396412484,0.37863471,7,-0.30952381,0.455644891,8,,,1,-0.865342398,1.50E-05,16,2,TRUE,-,-1,0.005885529
Acetoacetic acid-P,Plasma,2-Aminoadipic acid-F,Feces,0.318044301,0.370483665,10,0.095238095,0.82250543,8,,,2,0.809183347,1.56E-05,20,2,TRUE,+,1,0.006062939
DL-Glyceraldehyde-P,Plasma,Tyrosine-F,Feces,0.610743359,0.011969293,16,0.4,0.6,4,0.8,0.2,4,0.760600148,1.60E-05,24,3,TRUE,+,1,0.006181645
"Propanoic acid, 2-methyl--P",Plasma,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",Feces,-0.633840899,0.011170695,15,-0.119047619,0.778885726,8,-1,0,3,-0.73815633,1.67E-05,26,3,TRUE,-,-1,0.006393545
2-Ketoisocaproic acid-P,Plasma,9-Octadecenoic acid-F,Feces,-0.399300087,0.198476018,12,-0.7,0.188120404,5,-1,0,4,-0.794413813,1.70E-05,21,3,TRUE,-,-1,0.006409778
"Benzene, 4-ethenyl-1,2-dimethoxy--P",Plasma,L-Threonine-F,Feces,-0.721763085,0.005346596,13,-0.595238095,0.119529806,8,-0.8,0.2,4,-0.747979992,1.72E-05,25,3,TRUE,-,-1,0.006409778
"Octane, 1-propoxy--P",Plasma,Pantolactone-F,Feces,-0.70206566,0.002430298,16,-0.2,0.747060078,5,-0.2,0.8,4,-0.747883042,1.73E-05,25,3,TRUE,-,-1,0.006409778
"Cyclopentanone, 2,2,4-trimethyl--P",Plasma,Norketamine-F,Feces,-0.5,0.391002219,5,-0.428571429,0.337368311,7,-0.4,0.6,4,-0.861764706,1.78E-05,16,3,TRUE,-,-1,0.006520511
Succinic anhydride-P,Plasma,"Hydantoin, 5-hydroxy-F",Feces,1,0,3,0.898645105,0.014888622,6,,,1,0.954411704,1.79E-05,10,2,TRUE,+,1,0.006520511
"1-(2,4-Dimethoxyphenyl)-propan-2-one-P",Plasma,Acetohydroxamic acid-F,Feces,-0.861878979,7.39E-05,14,-0.485714286,0.328723032,6,-0.774596669,0.225403331,4,-0.757569606,1.81E-05,24,3,TRUE,-,-1,0.006549254
"D-Xylofuranose, 1,2,3,5-tetrakis-O--P",Plasma,Tyrosine-F,Feces,0.333336582,0.244165216,14,0.203596465,0.628674673,8,0.4,0.6,4,0.735671783,1.85E-05,26,3,TRUE,+,1,0.006618477
L-Cysteine-P,Plasma,Methyl stearate-F,Feces,0.17109219,0.526372506,16,0.126131245,0.787572159,7,0.4,0.6,4,0.725217868,1.87E-05,27,3,TRUE,+,1,0.006648261
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P",Plasma,Cyclohexanemethanol-F,Feces,-0.331858407,0.209219161,16,-0.428571429,0.396501458,6,-0.5,0.666666667,3,-0.74095458,2.27E-05,25,3,TRUE,-,-1,0.006875647
2-Ketoisocaproic acid-P,Plasma,Norketamine-F,Feces,0.332347026,0.348110503,10,0.8,0.104088039,5,0.4,0.6,4,0.8140679,2.22E-05,19,3,TRUE,+,1,0.006875647
"2,2'-Biphenyldiol-P",Plasma,Norketamine-F,Feces,-0.948683298,0.051316702,4,-0.756787469,0.048905099,7,,,0,-0.936073059,2.25E-05,11,2,TRUE,-,-1,0.006875647
"3-Methylpiperazine-2,5-dione, (R)--P",Plasma,L-Valyl-L-leucine-F,Feces,-0.526955555,0.179628967,8,-0.428571429,0.337368311,7,,,0,-0.872207676,2.24E-05,15,2,TRUE,-,-1,0.006875647
"3-Methylpiperazine-2,5-dione, (R)--P",Plasma,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F,Feces,-0.682646969,0.062092692,8,-0.5,0.253169995,7,,,0,-0.873994987,2.05E-05,15,2,TRUE,-,-1,0.006875647
"3,5-Dimethyl-1,4-diallylpyrazole-P",Plasma,Salsoline-F,Feces,-0.696347032,0.017290893,11,-0.214285714,0.610344416,8,-0.4,0.6,4,-0.766435986,2.00E-05,23,3,TRUE,-,-1,0.006875647
3'-(Trimethylsilyl)oxy-beta-naphthoflavone-P,Plasma,4-Methoxyphenol-F,Feces,1,0,4,0.9,0.037386073,5,,,0,0.966666667,2.16E-05,9,2,TRUE,+,1,0.006875647
Acetoacetic acid-P,Plasma,L-Isoleucine-F,Feces,0.401217659,0.250496004,10,0.245514308,0.557824825,8,,,2,0.802563082,2.06E-05,20,2,TRUE,+,1,0.006875647
