"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-(2-hydroxyethyl)-succinimide","NA","NA","NA","NA","NA","0"
"Itaconic acid","Itaconic acid","HMDB0002092","811","C00490","OC(=O)CC(=C)C(O)=O","1"
"1-Dodecanol","Dodecanol","HMDB0011626","8193","C02277","CCCCCCCCCCCCO","1"
"1-Octanol","Octanol","HMDB0001183","957","C00756","CCCCCCCCO","1"
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)","NA","NA","NA","NA","NA","0"
"Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","OC(=O)C1=CC=CN1","1"
"Salsoline","(R)-N-Methylsalsolinol","HMDB0003626","12989303",NA,"C[C@H]1N(C)CCC2=CC(O)=C(O)C=C12","1"
"Cyclohexanemethanol","NA","NA","NA","NA","NA","0"
"cis-4,5-Dihydroxy-o-dithiane","NA","NA","NA","NA","NA","0"
"4-Hydroxybenzoic acid","4-Hydroxybenzoic acid","HMDB0000500","135","C00156","OC(=O)C1=CC=C(O)C=C1","1"
"Pimelic acid","Pimelic acid","HMDB0000857","385","C02656","OC(=O)CCCCCC(O)=O","1"
"2-Piperidinone","2-Piperidinone","HMDB0011749","12665",NA,"O=C1CCCCN1","1"
"beta-Alanine","beta-Alanine","HMDB0000056","239","C00099","NCCC(O)=O","1"
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy","NA","NA","NA","NA","NA","0"
"Gluconolactone (3R,4S,5R,6R)","NA","NA","NA","NA","NA","0"
"L-Leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"trans-Coniferryl alchool","NA","NA","NA","NA","NA","0"
"Pentanedioic acid","Glutaric acid","HMDB0000661","743","C00489","OC(=O)CCCC(O)=O","1"
"3-Undecene","NA","NA","NA","NA","NA","0"
"Butanoic acid, 3,4-dihydroxy","NA","NA","NA","NA","NA","0"
"Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside","NA","NA","NA","NA","NA","0"
"Arabinose","L-Arabinose","HMDB0000646","439764","C00259","O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O","1"
"N-Acetyl-D-galactosamine, (R,R,R,R)","NA","NA","NA","NA","NA","0"
"3-Deoxyhexitol","NA","NA","NA","NA","NA","0"
"4-Methyl-5-thiazoleethanol","5-(2-Hydroxyethyl)-4-methylthiazole","HMDB0032985","1136","C04294","CC1=C(CCO)SC=N1","1"
"Cyclohexanecarboxylic acid","Cyclohexanecarboxylic acid","HMDB0031342","7413","C09822","OC(=O)C1CCCCC1","1"
"Azetidine, 1-acetyl-2-methyl","NA","NA","NA","NA","NA","0"
"2-Pyrrolidinone","2-Pyrrolidinone","HMDB0002039","12025","C11118","O=C1CCCN1","1"
"D-(-)-Fructopyranose","NA","NA","NA","NA","NA","0"
"5-Methyluridine","Ribothymidine","HMDB0000884","445408",NA,"CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O","1"
"1-Tetradecanol","Tetradecanol","HMDB0011638","8209",NA,"CCCCCCCCCCCCCCO","1"
"2-Hydroxy-3-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823",NA,"CC(C)C(O)C(O)=O","1"
"Deoxyribopyranose","NA","NA","NA","NA","NA","0"
"Picolinic acid","Picolinic acid","HMDB0002243","1018","C10164","OC(=O)C1=CC=CC=N1","1"
"L-Proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"Butyl caprylate","Isomorellic acid","HMDB0030734","12294",NA,"CC(C)=CCC1=C2OC34C5CC(C=C3C(=O)C2=C(O)C2=C1OC(C)(C)C=C2)C(=O)C4(C\C=C(\C)C(O)=O)OC5(C)C","1"
"DL-Phenylalanine","D-Phenylalanine","HMDB0250791",NA,"C02265","NC(CC1=CC=CC=C1)C(O)=O","1"
"2,3-Butanediol","2,3-Butanediol","HMDB0003156","262","C00265","CC(O)C(C)O","1"
"Inosose-2, myo","NA","NA","NA","NA","NA","0"
"2,5-Di-tert-butyl-4-hydroxyphenol","NA","NA","NA","NA","NA","0"
"L-Norvaline","NA","NA","NA","NA","NA","0"
"2'-Desoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"N-Acetyl glucosamine methoxime","NA","NA","NA","NA","NA","0"
"pyrazole","pyrazole","HMDB0256947",NA,"C00481","N1C=CC=N1","1"
"Norketamine","Norketamine","HMDB0060549","123767",NA,"NC1(CCCCC1=O)C1=CC=CC=C1Cl","1"
"Hexadecanoic acid, 4-hydroxybutyl ester","NA","NA","NA","NA","NA","0"
"2',2,3,6'-Tetramethoxychalcone","NA","NA","NA","NA","NA","0"
"3-Hexenedioic acid","3-Hexenedioic acid","HMDB0000393","5351896",NA,"OC(=O)C\C=C\CC(O)=O","1"
"Octadecyl octyl ether","NA","NA","NA","NA","NA","0"
"Pipecolic acid","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"2-Pentenedioic acid, 2-hydroxy","NA","NA","NA","NA","NA","0"
"Thymidine","Thymidine","HMDB0000273","5789","C00214","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"2-Aminobutanoic acid","L-alpha-Aminobutyric acid","HMDB0000452","80283","C02356","CC[C@H](N)C(O)=O","1"
"D-Psicofuranose","NA","NA","NA","NA","NA","0"
"2-Butenoic acid, 2-hydroxy","NA","NA","NA","NA","NA","0"
"Pentanoic acid","Valeric acid","HMDB0000892","7991","C00803","CCCCC(O)=O","1"
"9H-Purin-6-ol","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"2,3,4-Trihydroxybutyric acid","Threonic acid","HMDB0000943","5460407","C01620","OC[C@H](O)[C@@H](O)C(O)=O","1"
"N-Acetylglucosamine","N-Acetyl-D-glucosamine","HMDB0000215","439174","C00140","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"Aconitic acid","Aconitic acid","HMDB0247961","309",NA,"OC(=O)CC(=CC(O)=O)C(O)=O","1"
"2,4-Di-tert-butylphenol","2,4-Di-tert-butylphenol","HMDB0013816","7311",NA,"CC(C)(C)C1=CC=C(O)C(=C1)C(C)(C)C","1"
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate","NA","NA","NA","NA","NA","0"
"2-Allyl-1,4-dimethoxybenzene","NA","NA","NA","NA","NA","0"
"L-Glutamic acid","Glutamic acid","HMDB0000148","33032","C00025","N[C@@H](CCC(O)=O)C(O)=O","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","O=C1NC2=C(NC=N2)C(=O)N1","1"
"D-Glucose","D-Glucose","HMDB0000122","5793","C00031","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Tetrahydrogeranyl formate","NA","NA","NA","NA","NA","0"
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","NA","NA","NA","NA","NA","0"
"D-Allofuranose","NA","NA","NA","NA","NA","0"
"D-(+)-Ribono-1,4-lactone","NA","NA","NA","NA","NA","0"
"Uracil","Uracil","HMDB0000300","1174","C00106","O=C1NC=CC(=O)N1","1"
"l-Leucyl-l-valine","Leucyl-Valine","HMDB0028942","352038",NA,"CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O","1"
"Undecanoic acid","Undecanoic acid","HMDB0000947","8180","C17715","CCCCCCCCCCC(O)=O","1"
"beta-D-(-)-Ribopyranose","NA","NA","NA","NA","NA","0"
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)","NA","NA","NA","NA","NA","0"
"3-Buten-2-one","3-Buten-2-one","HMDB0061873","6570","C03827","CC(=O)C=C","1"
"3-O-methyl-beta-D-Glucopyranose","NA","NA","NA","NA","NA","0"
"Decyl oleate","NA","NA","NA","NA","NA","0"
"Hydroquinone","Hydroquinone","HMDB0002434","785","C00530","OC1=CC=C(O)C=C1","1"
"Xylazine","NA","NA","NA","NA","NA","0"
"Erythrono-1,4-lactone","Erythrono-1,4-lactone","HMDB0000349","5325915",NA,"O[C@@H]1COC(=O)[C@@H]1O","1"
"L-(-)-Sorbofuranose","NA","NA","NA","NA","NA","0"
"Niacinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"N-Methyl-alpha-aminoisobutyric acid","N-Methyl-a-aminoisobutyric acid","HMDB0002141","6951124",NA,"CNC(C)(C)C(O)=O","1"
"Guanidine, N,N-dimethyl","NA","NA","NA","NA","NA","0"
"3-(3-Hydroxyphenyl)propanoic acid","3-(3-Hydroxyphenyl)propanoic acid","HMDB0000375","91","C11457","OC(=O)CCC1=CC(O)=CC=C1","1"
"Lignoceric acid","Tetracosanoic acid","HMDB0002003","11197","C08320","CCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"Pyrogallol","1,2,3-Trihydroxybenzene","HMDB0013674","1057","C01108","[H]OC1=CC=CC(O[H])=C1O[H]","1"
"beta-Arabinopyranose","NA","NA","NA","NA","NA","0"
"1,4-Butanediol","1,4-Butanediol","HMDB0244201",NA,NA,"OCCCCO","1"
"Arabinofuranose, 1,2,3,5-tetrakis","NA","NA","NA","NA","NA","0"
"Ethyl alpha-D-glucopyranoside","NA","NA","NA","NA","NA","0"
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","NA","NA","NA","NA","NA","0"
"Thr-Leu","Threonylleucine","HMDB0029065","7021827",NA,"CC(C)C[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(O)=O","1"
"Menthol","Menthol","HMDB0003352","16666","C00400","CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O","1"
"Pentadecanoic acid","Pentadecanoic acid","HMDB0000826","13849","C16537","CCCCCCCCCCCCCCC(O)=O","1"
"6-Hydroxyhexanoic acid","6-Hydroxyhexanoic acid","HMDB0012843","14490","C06103","OCCCCCC(O)=O","1"
"Dihydrouracil","Dihydrouracil","HMDB0000076","649","C00429","O=C1CCNC(=O)N1","1"
"D-(-)-Ribofuranose","NA","NA","NA","NA","NA","0"
"Decanoic acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(O)=O","1"
"Ribonic acid","Ribonic acid","HMDB0000867","5460677","C01685","OC[C@@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"D-Ribose","D-Ribose","HMDB0000283","5779","C00121","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"Hymexazole","NA","NA","NA","NA","NA","0"
"Glycerol tricaprylate","TG(8:0/8:0/8:0)","HMDB0011187","10850","C13044","[H]C(COC(=O)CCCCCCC)(COC(=O)CCCCCCC)OC(=O)CCCCCCC","1"
"N-Acetyl-L-glutamic acid","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"Monolaurin","NA","NA","NA","NA","NA","0"
"Phloretic acid","NA","NA","NA","NA","NA","0"
"L-5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"4-Pyridinol","NA","NA","NA","NA","NA","0"
"5-Hydroxymethyl-2-furoic acid","Sumiki's acid","HMDB0002432","80642","C20448","OCC1=CC=C(O1)C(O)=O","1"
"alpha-Tocopheryl acetate","alpha-Tocopherol acetate","HMDB0034227","86472","C13202","CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(OC(C)=O)=C(C)C(C)=C2O1","1"
"Citric acid","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"5-Oxohexanoic Acid","4-Acetylbutyrate","HMDB0061881","18407","C02129","CC(=O)CCCC(O)=O","1"
"9-Octadecenamide","NA","NA","NA","NA","NA","0"
"alpha-Linolenic acid","alpha-Linolenic acid","HMDB0001388","5280934","C06427","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"Deoxycholic Acid","Deoxycholic acid","HMDB0000626","222528","C04483","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"D-Fructose","D-Fructose","HMDB0000660","439709","C00095","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"Octanoic acid","Caprylic acid","HMDB0000482","379","C06423","CCCCCCCC(O)=O","1"
"Sebacic acid","Sebacic acid","HMDB0000792","5192","C08277","OC(=O)CCCCCCCCC(O)=O","1"
"Acetamide, N-(2-butyl)-N-methyl","NA","NA","NA","NA","NA","0"
"Idoxuridine","Idoxuridine","HMDB0014394","5905",NA,"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O","1"
"L-(+)-Lactic acid","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"Xylose","D-Xylose","HMDB0000098","135191","C00181","O[C@@H]1COC(O)[C@H](O)[C@H]1O","1"
"2,5-Dimethoxyphenol","NA","NA","NA","NA","NA","0"
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy","NA","NA","NA","NA","NA","0"
"4-Hydroxy-5-(hydroxymethyl)oxolan-2-one","NA","NA","NA","NA","NA","0"
"Palmitic Acid","Palmitic acid","HMDB0000220","985","C00249","CCCCCCCCCCCCCCCC(O)=O","1"
"13-Docosenamide","NA","NA","NA","NA","NA","0"
"17-alpha-Hydroxypregnenolone","17a-Hydroxypregnenolone","HMDB0000363","91451","C05138","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C","1"
"3-Hydroxy-2,3-dihydromaltol","NA","NA","NA","NA","NA","0"
"8-Hydroxy-5-(hydroxymethyl)quinoline","NA","NA","NA","NA","NA","0"
"D-Mannopyranose","NA","NA","NA","NA","NA","0"
"Uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"3-Aminobutanoic acid","3-Aminobutanoic acid","HMDB0031654","10932",NA,"CC(N)CC(O)=O","1"
"Erythritol","Erythritol","HMDB0002994","222285","C00503","OC[C@H](O)[C@H](O)CO","1"
"2,5-Dimethoxybenzhydrazide","NA","NA","NA","NA","NA","0"
"Cyclohexanol","1-Hexanol","HMDB0012971","8103","C00854","CCCCCCO","1"
"Hexadecanoic acid, tetradecyl ester","NA","NA","NA","NA","NA","0"
"Monomethyl succinate","NA","NA","NA","NA","NA","0"
"2-Furanacetaldehyde, tetrahydro-alpha","NA","NA","NA","NA","NA","0"
"Niacin","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"Nonanoic acid","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(O)=O","1"
"Myristic acid","Myristic acid","HMDB0000806","11005","C06424","CCCCCCCCCCCCCC(O)=O","1"
"beta-D-Galactopyranoside, methyl-, acetate","NA","NA","NA","NA","NA","0"
"Propane, 2-methyl","NA","NA","NA","NA","NA","0"
"Xylonic acid, delta-lactone","NA","NA","NA","NA","NA","0"
"1-Monopalmitin","MG(16:0/0:0/0:0)","HMDB0011564","3084463",NA,"[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCC","1"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","HMDB0000754","69362","C20827","CC(C)(O)CC(O)=O","1"
"3-Methyl-2-furoic acid","NA","NA","NA","NA","NA","0"
"Pyridoxic acid","4-Pyridoxic acid","HMDB0000017","6723","C00847","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"1-Hexacosene","1-Hexacosene","HMDB0040527","29303",NA,"CCCCCCCCCCCCCCCCCCCCCCCCC=C","1"
"N-Methyl-L-proline","N-Methyl-L-proline","HMDB0094696","643474",NA,"CN1CCC[C@H]1C(O)=O","1"
"Pentitol, 3-desoxy","NA","NA","NA","NA","NA","0"
"1-Methyl-4-hydroxy-1H-imidazol-2-amine","NA","NA","NA","NA","NA","0"
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone","NA","NA","NA","NA","NA","0"
"Glycerol","Glycerol","HMDB0000131","753","C00116","OCC(O)CO","1"
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol","NA","NA","NA","NA","NA","0"
"1-Hexanol","1-Hexanol","HMDB0012971","8103","C00854","CCCCCCO","1"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000011","441","C01089","C[C@@H](O)CC(O)=O","1"
"Cholesterol","Cholesterol","HMDB0000067","5997","C00187","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"D-(+)-Talofuranose","NA","NA","NA","NA","NA","0"
"D-Erythro-Pentitol, 2-deoxy","NA","NA","NA","NA","NA","0"
"Glycolic acid","Glycolic acid","HMDB0000115","757","C03547","OCC(O)=O","1"
"Deoxyglucose","2-Deoxyglucose","HMDB0062477","108223",NA,"OC[C@@H](O)[C@@H](O)[C@H](O)CC=O","1"
"1-Tetracosene","NA","NA","NA","NA","NA","0"
"Dihydroxyacetone","Dihydroxyacetone","HMDB0001882","670","C00184","OCC(=O)CO","1"
"Hexacosanoic acid","Hexacosanoic acid","HMDB0002356","10469",NA,"CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"12-Oxooctadecanoate","NA","NA","NA","NA","NA","0"
"4-Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","HMDB0000755","9378","C03672","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"Arabinitol","L-Arabitol","HMDB0001851","439255","C00532","OC[C@H](O)C(O)[C@@H](O)CO","1"
"Butanedioic acid","Succinic acid","HMDB0000254","1110","C00042","OC(=O)CCC(O)=O","1"
"Ketamine","Ketamine","HMDB0015352","3821","C07525","CNC1(CCCCC1=O)C1=CC=CC=C1Cl","1"
"L-Glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"1-Propanamine, N,N-diethyl","NA","NA","NA","NA","NA","0"
"alpha-L-(-)-Fucopyranose","NA","NA","NA","NA","NA","0"
"Azelaic acid","Azelaic acid","HMDB0000784","2266","C08261","OC(=O)CCCCCCCC(O)=O","1"
"Campesterol","Campesterol","HMDB0002869","173183","C01789","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C","1"
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate","NA","NA","NA","NA","NA","0"
"3-Hydroxypicolinic acid","3-Hydroxypicolinic acid","HMDB0013188","13401","C18620","OC(=O)C1=C(O)C=CC=N1","1"
"Ethanamine","Ethylamine","HMDB0013231","6341","C00797","CCN","1"
"2-Palmitoylglycerol","MG(0:0/16:0/0:0)","HMDB0011533","123409",NA,"[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCC","1"
"4-Hydroxybutanoic acid","gamma-Butyrolactone","HMDB0000549","7302","C01770","O=C1CCCO1","1"
"Phloroglucinol","4a-Carbinolamine tetrahydrobiopterin","HMDB0002215","133246","C00268","[H][C@@]1(CN=C2NC(N)=NC(=O)C2=N1)[C@@H](O)[C@H](C)O","1"
"Isonicotinic Acid","Isonicotinic acid","HMDB0060665","5922","C07446","OC(=O)C1=CC=NC=C1","1"
