,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024
L-Hydroxyproline,2.4323677545534385e-05,3.1647344176765684e-05,1.6855473654435217e-05,5.650563956966111e-05,2.6261233016509606e-05,1.514970413027093e-05
L-Lysine,3.317049166967187e-09,8.355607329454319e-07,0.0,3.272055131890429e-05,8.784195921187054e-06,3.698001652892968e-07
L-Norvaline,1.836056416543893e-06,1.9511628227902818e-05,2.3783645125629813e-06,6.238935363090239e-06,5.120879916819872e-06,7.932715454133417e-06
L-Serine,1.1761973782469905e-05,1.7390712391228288e-05,2.283836865138379e-05,2.3014179859151952e-05,2.283836865138379e-05,1.4518114604552435e-05
N-Acetylglucosamine,1.9730405206250328e-05,2.929367821373273e-05,2.4535257256643036e-05,3.255935803312797e-05,3.639191833268272e-05,1.1917979989316106e-05
Niacinamide,3.317049166967187e-09,1.4781676122417061e-05,0.0,2.9528927461757194e-05,6.5438836421960575e-06,3.698001652892968e-07
N-Methyl-alpha-aminoisobutyric acid,3.3132118020880145e-06,2.288712591576638e-09,7.932715454133417e-06,4.906670434602368e-05,1.917958704543705e-08,3.698001652892968e-07
Phloroglucinol,4.400464789219103e-05,3.7529811613004836e-05,2.541312102594124e-05,2.4323677545534385e-05,2.6213841546508234e-05,8.027817364163943e-06
Thr-Leu,3.916438176610061e-06,2.288712591576638e-09,4.836203143128063e-06,4.0908209672600844e-05,7.166386589034193e-06,3.698001652892968e-07
Xanthine,8.608358890077261e-06,4.463384885273438e-06,4.305619201828444e-06,3.574596130795985e-06,4.662089489572254e-06,1.603110529073754e-05
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",2.4944204315232952e-05,2.288712591576638e-09,3.12718259383932e-05,2.5649715426609503e-05,4.017807340153954e-05,3.698001652892968e-07
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",6.84637212882438e-06,5.9854742218891424e-06,4.400464789219103e-05,3.12718259383932e-05,2.83600203602203e-05,9.901359718928036e-06
1-(2-Methoxy-1-methylethoxy)-2-propanol,0.00016480081606455468,0.00012470064241930977,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1,1'-Biphenyl, 2,2',5,5'-tetramethyl",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1,2,4,5-Cyclohexanetetrol",4.190080426421601e-05,2.288712591576638e-09,0.0,1.5018670435401597e-09,6.350101381471725e-05,3.698001652892968e-07
"1,2,4-Butanetriol",3.317049166967187e-09,2.288712591576638e-09,0.0,0.0001538954015144338,1.917958704543705e-08,3.698001652892968e-07
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",3.317049166967187e-09,2.5522233466767726e-06,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1,4-Butanediol",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1,5-Anhydroglucitol",1.2851666336797697e-06,3.1562037456670997e-06,3.536093243953963e-05,1.910563731616014e-05,1.8743380129594983e-05,6.7727348997407e-06
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,0.0004725347637260312,3.698001652892968e-07
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2.4840393181237777e-06,2.288712591576638e-09,0.0,2.3783645125629813e-06,1.917958704543705e-08,1.121290687352542e-05
11-Methyldodecanol,3.2908986494800884e-05,3.101308615054718e-05,2.2395648107797876e-05,1.2016705068176967e-05,1.816004922937347e-05,3.5632149126457636e-05
12-Oxooctadecanoate,2.173879122112292e-05,1.4421832935193043e-05,4.84941585061175e-05,5.401630854028378e-07,0.0001538954015144338,3.698001652892968e-07
13-Docosenamide,3.921669419652718e-05,5.980927869482815e-07,3.2677213517781227e-06,2.2960613279423694e-06,1.917958704543705e-08,0.00016480081606455468
17-alpha-Hydroxypregnenolone,0.00012470064241930977,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
18-Methyl-nonadecanol,3.317049166967187e-09,2.288712591576638e-09,0.0,2.6110884570729686e-05,1.917958704543705e-08,3.698001652892968e-07
1-Deoxypentitol,3.317049166967187e-09,2.288712591576638e-09,3.3132118020880145e-06,4.2360097759022124e-05,1.917958704543705e-08,3.698001652892968e-07
1-Dodecanol,9.980623081251986e-06,9.107782903386053e-06,3.916438176610061e-06,2.7857133842763493e-06,4.305619201828444e-06,1.717122286859092e-05
1-Dodecene,3.317049166967187e-09,2.288712591576638e-09,0.0002482324990964281,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
1-Hexacosene,2.735531444564817e-05,3.2908986494800884e-05,1.9261792845315355e-05,2.4944204315232952e-05,2.9528927461757194e-05,3.889895291349025e-05
1-Hexadecanol,2.080604252632017e-05,2.6590830101793257e-05,1.1350290953525683e-05,9.075507640204865e-06,1.3670646908920618e-05,3.11542014918176e-05
1-Hexanol,3.317049166967187e-09,2.288712591576638e-09,5.729262896743729e-05,1.5018670435401597e-09,3.272055131890429e-05,0.00013610394511230807
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",1.3966068169517631e-05,1.7005674772614e-05,2.3014179859151952e-05,1.4128713087854016e-05,2.4064840669503068e-05,3.698001652892968e-07
"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3alpha,4abeta,6aalpha,10abeta,10balpha)]-",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,2.6213841546508234e-05
1-Methyl-4-hydroxy-1H-imidazol-2-amine,2.6590830101793257e-05,2.288712591576638e-09,2.929367821373273e-05,3.1562037456670997e-06,3.716970353365187e-05,4.84941585061175e-05
1-Monomyristin,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
1-Monopalmitin,9.176438227712911e-05,0.00021840933863851285,0.00010163574140595044,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
1-Octadecanol,4.1170243598062004e-05,3.685888207214996e-05,5.158756138369421e-05,2.6787585419746015e-05,4.5596482094246104e-05,7.439637344533094e-05
1-Octanol,3.317049166967187e-09,2.288712591576638e-09,0.00021840933863851285,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"1-Propanamine, N,N-diethyl-",2.7857133842763493e-06,3.574596130795985e-06,1.1406293571200673e-05,6.345107672537229e-06,1.536592651890115e-05,4.1170243598062004e-05
1-Tetracosene,4.84941585061175e-05,4.1170243598062004e-05,2.6443296428767492e-05,4.1170243598062004e-05,4.400464789219103e-05,3.226693997592152e-05
1-Tetradecanol,1.5023138006759788e-05,1.3139300277277378e-05,6.84637212882438e-06,1.5018670435401597e-09,5.245461032053393e-06,2.2786821843590108e-05
"2',2,3,6'-Tetramethoxychalcone",3.317049166967187e-09,0.00013610394511230807,0.00016480081606455468,1.5018670435401597e-09,1.917958704543705e-08,8.608358890077261e-06
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",2.1289514608228618e-05,2.2395648107797876e-05,1.8277450190145645e-05,9.980623081251986e-06,1.3777551865963965e-05,3.5904306679697744e-05
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",2.6213841546508234e-05,1.6150478282736578e-06,6.854197017085001e-05,1.2851666336797697e-06,7.697062205434122e-06,6.034563130235955e-05
"2,3,4-Trihydroxybutyric acid",4.662089489572254e-06,1.1108658858579163e-05,3.226693997592152e-05,2.83600203602203e-05,3.8445826984092434e-05,1.5770150150179934e-05
"2,3-Butanediol",8.280633464815508e-06,7.486126882586817e-06,3.534753816188769e-06,1.9383192840030995e-06,2.931807560232721e-06,7.697062205434122e-06
"2,3-Dihydroxy-2-methylpropanoic acid",3.12718259383932e-05,2.0930048338659614e-05,4.2360097759022124e-05,6.5438836421960575e-06,7.551080677310789e-05,1.5087445303643446e-05
"2,3-Dihydroxypropyl icosanoate",3.317049166967187e-09,2.288712591576638e-09,0.0,7.439637344533094e-05,1.917958704543705e-08,3.698001652892968e-07
"2,4,6-Tris(1,1-dimethylethyl)-4-methylcyclohexa-2,5-dien-1-one",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"2,4-Di-tert-butylphenol",3.317049166967187e-09,2.288712591576638e-09,5.650563956966111e-05,1.5018670435401597e-09,1.917958704543705e-08,0.0004725347637260312
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1.64960083791884e-05,2.1643036174431583e-05,3.4184008197819116e-06,9.268868110722537e-06,9.901359718928036e-06,5.158756138369421e-05
"2,5-Dimethoxybenzhydrazide",2.214010862712192e-05,1.9261792845315355e-05,9.107782903386053e-06,3.5904306679697744e-05,2.4944204315232952e-05,1.9261792845315355e-05
"2,5-Dimethoxymandelic acid",3.317049166967187e-09,2.288712591576638e-09,1.5087445303643446e-05,2.1834977799224203e-05,3.101308615054718e-05,2.0379725737047206e-05
"2,5-Dimethoxyphenol",1.2128426444807097e-05,1.5680182502759232e-05,1.2265130421583652e-05,2.1143605220811348e-05,1.8648784226797527e-05,3.1647344176765684e-05
"2,5-Di-tert-butyl-4-hydroxyphenol",1.8277450190145645e-05,2.4944204315232952e-05,1.5023138006759788e-05,1.8484160585226226e-05,1.4864586454833728e-05,2.8126265711123824e-05
"2,6-Di-O-methyl-d-galactopyranose",7.439637344533094e-05,9.603791893972332e-06,2.6598217044704094e-06,1.5018670435401597e-09,4.84941585061175e-05,7.817249984686151e-06
"2-Allyl-1,4-dimethoxybenzene ",1.9511628227902818e-05,2.1834977799224203e-05,1.939805458292396e-05,3.639191833268272e-05,3.178944502057086e-05,2.847141846008686e-05
2-Amino-4-tert-butylphenol,2.2583294684846227e-05,1.2072245970380529e-05,0.0,1.5018670435401597e-09,9.176438227712911e-05,2.735531444564817e-05
2-Aminoadipic acid,7.166386589034193e-06,7.932715454133417e-06,9.834354199581247e-06,7.31820055108666e-06,8.913241763224507e-06,9.107782903386053e-06
2-Aminobutanoic acid,3.317049166967187e-09,1.514970413027093e-05,1.2549232521950219e-05,4.017807340153954e-05,8.280633464815508e-06,3.698001652892968e-07
2-Butenedioic acid,4.989954409022464e-05,3.889895291349025e-05,4.714610217370404e-05,3.7529811613004836e-05,5.525347507631698e-05,2.9092428362042667e-05
"2-Butenoic acid, 2-hydroxy-",3.685888207214996e-05,3.178944502057086e-05,1.2128426444807097e-05,1.5018670435401597e-09,1.917958704543705e-08,4.0908209672600844e-05
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",3.467651619542703e-05,2.6261233016509606e-05,5.401630854028378e-07,1.954234271801049e-05,3.375311155399184e-05,6.350101381471725e-05
2'-Deoxyribolactone,8.355607329454319e-07,1.836056416543893e-06,0.0,4.6386620429870207e-07,1.6150478282736578e-06,4.149837448191821e-06
2'-Desoxyuridine,2.5522233466767726e-06,6.0356557680024845e-06,9.075507640204865e-06,3.685888207214996e-05,9.075507640204865e-06,6.5438836421960575e-06
2-Ethylacetoacetate,1.0261147424161165e-05,1.4128713087854016e-05,3.5904306679697744e-05,2.6590830101793257e-05,3.5632149126457636e-05,1.2265130421583652e-05
2-Ethylhexanoic acid,4.463384885273438e-06,8.608358890077261e-06,2.4840393181237777e-06,4.836203143128063e-06,3.1562037456670997e-06,3.698001652892968e-07
"2-Furanacetaldehyde, tetrahydro-alpha",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
2-Furoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
2-Hydroxy-2-methylbutyric acid,6.228605896150257e-05,5.2490809331963156e-05,0.0,1.5018670435401597e-09,1.6855473654435217e-05,3.698001652892968e-07
2-Hydroxy-3-methylbutyric acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,0.00010163574140595044
2-Hydroxy-5-methoxybenzaldehyde,2.5649715426609503e-05,2.41512614558997e-05,1.954234271801049e-05,1.9795645477592118e-05,2.3176593250985778e-05,1.636421583195918e-05
2-Isopropyl-5-methyl-1-heptanol,4.328965968016459e-05,1.38972320822724e-06,1.0693917048042828e-07,1.38972320822724e-06,1.4544582915854815e-06,1.3966068169517631e-05
2-Ketobutyric acid,4.0908209672600844e-05,3.639191833268272e-05,3.255935803312797e-05,2.4535257256643036e-05,3.5904306679697744e-05,7.094423427928346e-05
2-Ketohexanoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,0.00021840933863851285,1.917958704543705e-08,3.698001652892968e-07
"2-Methyl-4,6-dinitrophenol",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
2-Octanol,5.908290250103023e-05,2.288712591576638e-09,6.602528415903965e-05,1.5018670435401597e-09,1.917958704543705e-08,8.671316848159434e-05
2-Palmitoylglycerol,3.317049166967187e-09,2.288712591576638e-09,4.4698054493656187e-08,1.5018670435401597e-09,1.917958704543705e-08,4.307102512362269e-05
"2-Pentenedioic acid, 2-hydroxy-",1.5308412125154441e-06,3.2677213517781227e-06,1.4781676122417061e-05,6.973314190749594e-06,3.042036384063328e-06,4.583419628296123e-06
2-Pentenedioic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,9.107782903386053e-06,1.917958704543705e-08,2.3773058557190056e-05
2-Piperidinone,3.317049166967187e-09,2.288712591576638e-09,0.0,1.2323662411938441e-05,1.917958704543705e-08,3.698001652892968e-07
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1.6150478282736578e-06,2.931807560232721e-06,5.245461032053393e-06,1.816004922937347e-05,7.31820055108666e-06,3.698001652892968e-07
2-Pyrrolidinone,1.2549232521950219e-05,1.3257876091019897e-05,1.2621640375920455e-05,2.144329071869341e-05,1.939805458292396e-05,1.3139300277277378e-05
2-tert-Butyl-4-ethylphenol ,3.639191833268272e-05,3.14905036478822e-05,2.553707235007485e-05,2.6443296428767492e-05,1.917958704543705e-08,3.698001652892968e-07
3-(3-Hydroxyphenyl)propanoic acid,1.5770150150179934e-05,4.190080426421601e-05,6.345107672537229e-06,5.980927869482815e-07,5.2490809331963156e-05,2.0930048338659614e-05
"3,3,5-Trimethylcyclohexan-1-ol",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"3,4,5-Trihydroxypentanoic acid",3.317049166967187e-09,1.536592651890115e-05,3.889895291349025e-05,1.5018670435401597e-09,4.477890534636052e-05,8.784195921187054e-06
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",1.4128713087854016e-05,1.3670646908920618e-05,2.020522907284266e-05,2.466747331644314e-05,2.5077891059761747e-05,4.017807340153954e-05
"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one",0.0004725347637260312,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"3,4-Dimethoxymandelic acid",5.3561814584747214e-05,2.6110884570729686e-05,3.685888207214996e-05,3.2150133015745745e-05,2.532296107365242e-05,1.1406293571200673e-05
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",3.8445826984092434e-05,2.288712591576638e-09,1.6450359872157637e-05,1.636421583195918e-05,1.954234271801049e-05,2.929367821373273e-05
"3,5-Dimethylphenol",6.602528415903965e-05,5.525347507631698e-05,0.0,4.307102512362269e-05,1.917958704543705e-08,3.698001652892968e-07
3-Amino-2-piperidone,1.4864586454833728e-05,2.288712591576638e-09,3.730631084829245e-06,1.887068240475639e-05,8.392569043058912e-06,3.698001652892968e-07
3-Aminoisobutyric acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
3-Buten-2-one,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
3-Deoxyhexitol,3.317049166967187e-09,8.837618555691014e-06,4.662089489572254e-06,5.393937924956675e-06,6.0356557680024845e-06,3.698001652892968e-07
"3-Ethyl-3-methyl-pyrrolidine-2,5-dione",1.4716248240761122e-05,1.3084543348858826e-05,1.8484160585226226e-05,1.0386845766700366e-05,2.6590830101793257e-05,1.4327388252791498e-05
3-Hexenedioic acid,1.8484160585226226e-05,1.2688530071147199e-05,5.9854742218891424e-06,3.8097625508837195e-05,1.4781676122417061e-05,1.887068240475639e-05
"3-Hydroxy-2,3-dihydromaltol",7.486126882586817e-06,1.0386845766700366e-05,4.989954409022464e-05,2.173879122112292e-05,8.671316848159434e-05,1.1761973782469905e-05
3-Hydroxybutyric acid,2.8126265711123824e-05,9.834354199581247e-06,1.5867786125519386e-05,3.0457762562984163e-05,1.0514066459711718e-05,1.536592651890115e-05
3-Hydroxyisovaleric acid,3.317049166967187e-09,2.020522907284266e-05,3.272055131890429e-05,2.488358826583987e-07,2.847141846008686e-05,3.698001652892968e-07
3-Methyl-2-furoic acid,2.0379725737047206e-05,3.467651619542703e-05,4.190080426421601e-05,3.9787260803249463e-05,2.360173208743259e-05,3.698001652892968e-07
3-Methyl-2-oxovaleric acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
3-Methylvaleric acid,3.317049166967187e-09,2.288712591576638e-09,9.268868110722537e-06,1.5018670435401597e-09,2.5522233466767726e-06,3.698001652892968e-07
3-O-methyl-beta-D-Glucopyranose,3.8097625508837195e-05,2.288712591576638e-09,0.0,3.610404236469199e-05,1.9383192840030995e-06,3.698001652892968e-07
3-Oxo-1-cyclohexene-1-carboxylic acid ,3.317049166967187e-09,2.288712591576638e-09,0.0,0.0001118314390849081,0.00019189117591191356,3.698001652892968e-07
"3-Pentenoic acid, 4-methyl",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,5.650563956966111e-05
3-Pyridylcarbinol,7.932715454133417e-06,5.78660675571529e-06,2.1143605220811348e-05,1.7967467463707408e-05,2.1143605220811348e-05,1.816004922937347e-05
3-hydroxypalmitic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
3-Undecene,1.5867786125519386e-05,1.1630028902558375e-05,9.980623081251986e-06,5.627939780306909e-06,1.777017388964433e-05,2.6261233016509606e-05
pyrazole,1.1350290953525683e-05,2.2960613279423694e-06,0.0,2.360173208743259e-05,1.917958704543705e-08,7.551080677310789e-05
4-hydroxy-3-penten-2-one,3.101308615054718e-05,2.288712591576638e-09,0.0,1.5018670435401597e-09,3.2150133015745745e-05,3.698001652892968e-07
4-Aminobenzoic acid,6.0356557680024845e-06,4.328965968016459e-05,0.0,3.668528476095749e-05,2.541312102594124e-05,3.698001652892968e-07
4-Coumaric acid,1.0514066459711718e-05,8.49036634763833e-06,2.3773058557190056e-05,4.305619201828444e-06,0.00010163574140595044,3.698001652892968e-07
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,1.6450359872157637e-05,1.3777551865963965e-05,2.4838934877711078e-05,1.2128426444807097e-05,2.3773058557190056e-05,2.4064840669503068e-05
4-Hydroxybenzaldehyde,9.425500260985755e-06,9.486867271749878e-06,1.2072245970380529e-05,3.716970353365187e-05,1.5087445303643446e-05,1.1009017472615811e-05
4-Hydroxybenzeneacetic acid,5.120879916819872e-06,1.6302789015847792e-05,9.425500260985755e-06,2.0930048338659614e-05,2.1643036174431583e-05,1.6450359872157637e-05
4-Hydroxybenzoic acid,2.3783645125629813e-06,1.1350290953525683e-05,7.817249984686151e-06,3.889895291349025e-05,7.932715454133417e-06,1.1630028902558375e-05
4-Hydroxybutanoic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
4-Hydroxyphenyllactic acid,3.2677213517781227e-06,2.288712591576638e-09,2.6110884570729686e-05,1.1823612346456872e-06,8.355607329454319e-07,3.698001652892968e-07
4-Methoxyphenol,2.541312102594124e-05,2.532296107365242e-05,2.735531444564817e-05,2.8667740313560866e-05,2.4323677545534385e-05,2.4323677545534385e-05
4-Methyl-5-thiazoleethanol,1.3139300277277378e-05,2.3773058557190056e-05,1.2016705068176967e-05,1.7390712391228288e-05,1.4327388252791498e-05,1.3670646908920618e-05
4-Methylvaleric acid,2.553707235007485e-05,2.5077891059761747e-05,8.392569043058912e-06,1.5023138006759788e-05,9.834354199581247e-06,2.144329071869341e-05
"4-Nonanone, 2,6,8-trimethyl",3.317049166967187e-09,2.288712591576638e-09,3.375311155399184e-05,2.024810516425435e-05,1.917958704543705e-08,3.698001652892968e-07
4-Pyridinol,1.954234271801049e-05,9.268868110722537e-06,8.280633464815508e-06,2.735531444564817e-05,1.514970413027093e-05,2.360173208743259e-05
4-Pyrimidinamine,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,4.143650717333138e-05
4-hydroxycyclohexylacetate,3.863825895123967e-07,2.288712591576638e-09,5.508355273131858e-06,5.525347507631698e-05,1.917958704543705e-08,3.698001652892968e-07
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",3.317049166967187e-09,2.288712591576638e-09,1.0643475286929393e-05,1.5018670435401597e-09,2.3783645125629813e-06,3.698001652892968e-07
"5,8,11-Eicosatrienoic acid",1.536592651890115e-05,2.1143605220811348e-05,0.0,3.50469864040057e-05,3.0624966559567074e-05,9.834354199581247e-06
5alpha-Ergost-8(14)-ene,3.317049166967187e-09,0.0004725347637260312,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Amino-1-pentanol,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Aminovaleric acid,6.7727348997407e-06,2.288712591576638e-09,1.1823612346456872e-06,1.5018670435401597e-09,4.463384885273438e-06,2.6787585419746015e-05
"5-Androsten-17alpha-methyl-3beta,17beta-diol",3.317049166967187e-09,1.4327388252791498e-05,0.0,1.5018670435401597e-09,6.034563130235955e-05,1.2621640375920455e-05
5-Henicosylresorcinol,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Hydroxy-2-methylpyridine,0.00019189117591191356,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
5-Hydroxymethyl-2-furoic acid,3.317049166967187e-09,2.288712591576638e-09,3.0457762562984163e-05,2.8126265711123824e-05,1.917958704543705e-08,3.698001652892968e-07
5-Methyluridine,3.317049166967187e-09,2.288712591576638e-09,5.393937924956675e-06,5.3835171916323376e-05,2.144398281291842e-06,3.698001652892968e-07
5-Oxohexanoic Acid,7.551080677310789e-05,2.288712591576638e-09,3.467651619542703e-05,1.5018670435401597e-09,1.8954218216158324e-05,5.9854742218891424e-06
5-hydroxy-n-valeric acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
6-Hydroxyhexanoic acid,3.317049166967187e-09,4.906670434602368e-05,0.0,2.2395648107797876e-05,2.7137523246680706e-05,3.698001652892968e-07
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1.6855473654435217e-05,1.603110529073754e-05,1.7390712391228288e-05,1.5770150150179934e-05,1.7005674772614e-05,4.328965968016459e-05
8-Hydroxy-5-(hydroxymethyl)quinoline,9.746818746062618e-07,9.075507640204865e-06,7.551080677310789e-05,4.149837448191821e-06,1.917958704543705e-08,7.31820055108666e-06
8-Hydroxyquinoline-2-carbaldehyde,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
"9,12-Octadecadienoic acid",3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
9H-Purin-6-ol,5.401630854028378e-07,1.9383192840030995e-06,2.144398281291842e-06,3.0624966559567074e-05,2.4840393181237777e-06,3.698001652892968e-07
