node,node_dir
"2-Pentenedioic acid, 2-hydroxy-",-1.0
"2-Pentenedioic acid, 2-hydroxy-",-1.0
Thymidine,-1.0
Thymidine,-1.0
ENSMUSG00000023030-P,1.0
ENSMUSG00000026784-P,1.0
ENSMUSG00000036641-P,-1.0
ENSMUSG00000072772-P,1.0
ENSMUSG00000033487-P,-1.0
"D-Erythro-Pentitol, 2-deoxy-",1.0
"D-Erythro-Pentitol, 2-deoxy-",1.0
ENSMUSG00000029550-P,1.0
ENSMUSG00000037664-P,-1.0
Phenylalanine,-1.0
Phenylalanine,-1.0
ENSMUSG00000002455-P,-1.0
1-Octadecanol,-1.0
1-Octadecanol,-1.0
ENSMUSG00000106365-P,-1.0
ENSMUSG00000024335-P,1.0
ENSMUSG00000021025-P,1.0
ENSMUSG00000049739-P,1.0
ENSMUSG00000024491-P,-1.0
ENSMUSG00000030079-P,1.0
N-Methyl-L-proline,1.0
N-Methyl-L-proline,1.0
ENSMUSG00000055044-P,1.0
ENSMUSG00000091549-P,-1.0
ENSMUSG00000032372-P,-1.0
ENSMUSG00000032009-P,-1.0
ENSMUSG00000023967-P,1.0
ENSMUSG00000005131-P,-1.0
ENSMUSG00000030560-P,1.0
ENSMUSG00000043639-P,-1.0
ENSMUSG00000029291-P,1.0
ENSMUSG00000058492-P,-1.0
Campesterol,1.0
Campesterol,1.0
ENSMUSG00000041408-P,-1.0
ENSMUSG00000026029-P,-1.0
3-Undecene,-1.0
3-Undecene,-1.0
ENSMUSG00000027706-P,-1.0
ENSMUSG00000071180-P,-1.0
ENSMUSG00000021254-P,1.0
ENSMUSG00000064294-P,-1.0
ENSMUSG00000026896-P,-1.0
Menthol,-1.0
Menthol,-1.0
ENSMUSG00000020248-P,-1.0
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1.0
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1.0
ENSMUSG00000021482-P,-1.0
ENSMUSG00000023249-P,-1.0
ENSMUSG00000087640-P,1.0
ENSMUSG00000072704-P,-1.0
ENSMUSG00000020135-P,1.0
Itaconic acid,1.0
Itaconic acid,1.0
ENSMUSG00000031657-P,-1.0
ENSMUSG00000046947-P,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",-1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",-1.0
ENSMUSG00000022561-P,1.0
ENSMUSG00000037742-P,-1.0
ENSMUSG00000021886-P,-1.0
ENSMUSG00000037326-P,1.0
ENSMUSG00000046351-P,-1.0
ENSMUSG00000030605-P,1.0
ENSMUSG00000030108-P,1.0
ENSMUSG00000042349-P,-1.0
ENSMUSG00000037012-P,1.0
ENSMUSG00000056598-P,1.0
ENSMUSG00000037736-P,-1.0
ENSMUSG00000095677-P,1.0
ENSMUSG00000004098-P,1.0
ENSMUSG00000100075-P,-1.0
ENSMUSG00000031918-P,-1.0
L-Glutamine,-1.0
L-Glutamine,-1.0
ENSMUSG00000104339-P,1.0
L-(+)-Lactic acid,-1.0
L-(+)-Lactic acid,-1.0
ENSMUSG00000038717-P,-1.0
ENSMUSG00000019464-P,-1.0
ENSMUSG00000078485-P,-1.0
ENSMUSG00000021392-P,-1.0
ENSMUSG00000021686-P,-1.0
"2,5-Dimethoxybenzhydrazide",-1.0
"2,5-Dimethoxybenzhydrazide",-1.0
ENSMUSG00000024975-P,-1.0
ENSMUSG00000029684-P,-1.0
ENSMUSG00000017697-P,1.0
Arabinose,1.0
Arabinose,1.0
ENSMUSG00000022812-P,-1.0
ENSMUSG00000025323-P,-1.0
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1.0
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1.0
ENSMUSG00000034863-P,1.0
ENSMUSG00000068335-P,-1.0
1-Hexanol,1.0
1-Hexanol,1.0
ENSMUSG00000085197-P,-1.0
ENSMUSG00000091007-P,-1.0
ENSMUSG00000028133-P,1.0
ENSMUSG00000031112-P,-1.0
"3-Hydroxy-2,3-dihydromaltol",-1.0
"3-Hydroxy-2,3-dihydromaltol",-1.0
ENSMUSG00000028700-P,-1.0
ENSMUSG00000032018-P,-1.0
ENSMUSG00000030304-P,-1.0
ENSMUSG00000054364-P,1.0
Uridine,-1.0
Uridine,-1.0
ENSMUSG00000029878-P,-1.0
ENSMUSG00000050321-P,-1.0
ENSMUSG00000052566-P,-1.0
ENSMUSG00000022361-P,-1.0
ENSMUSG00000028383-P,1.0
"2-Furanacetaldehyde, tetrahydro-alpha",1.0
"2-Furanacetaldehyde, tetrahydro-alpha",1.0
ENSMUSG00000021481-P,1.0
ENSMUSG00000020752-P,1.0
ENSMUSG00000031147-P,-1.0
ENSMUSG00000038084-P,-1.0
ENSMUSG00000066113-P,1.0
ENSMUSG00000051043-P,1.0
ENSMUSG00000042797-P,-1.0
ENSMUSG00000045817-P,-1.0
ENSMUSG00000031808-P,1.0
ENSMUSG00000021676-P,-1.0
Citric acid,-1.0
Citric acid,-1.0
ENSMUSG00000027523-P,-1.0
ENSMUSG00000037716-P,1.0
ENSMUSG00000070319-P,1.0
ENSMUSG00000024472-P,-1.0
Glycolic acid,-1.0
Glycolic acid,-1.0
ENSMUSG00000007476-P,1.0
ENSMUSG00000033436-P,1.0
ENSMUSG00000034579-P,1.0
ENSMUSG00000038545-P,1.0
Octadecyl octyl ether,-1.0
Octadecyl octyl ether,-1.0
ENSMUSG00000042831-P,1.0
ENSMUSG00000030217-P,-1.0
ENSMUSG00000065799-P,-1.0
3-Methyl-2-furoic acid,1.0
3-Methyl-2-furoic acid,1.0
ENSMUSG00000022085-P,-1.0
ENSMUSG00000029840-P,-1.0
ENSMUSG00000021904-P,-1.0
"Azetidine, 1-acetyl-2-methyl",-1.0
"Azetidine, 1-acetyl-2-methyl",-1.0
"Hexadecanoic acid, 4-hydroxybutyl ester",-1.0
"Hexadecanoic acid, 4-hydroxybutyl ester",-1.0
ENSMUSG00000105607-P,-1.0
ENSMUSG00000033502-P,-1.0
ENSMUSG00000090877-P,1.0
ENSMUSG00000030268-P,1.0
Palmitic Acid,-1.0
Palmitic Acid,-1.0
ENSMUSG00000031967-P,-1.0
3-Hydroxyisovaleric acid,-1.0
3-Hydroxyisovaleric acid,-1.0
"Erythrono-1,4-lactone",-1.0
"Erythrono-1,4-lactone",-1.0
ENSMUSG00000028977-P,1.0
ENSMUSG00000048106-P,-1.0
ENSMUSG00000046157-P,1.0
beta-Arabinopyranose,-1.0
beta-Arabinopyranose,-1.0
ENSMUSG00000047181-P,1.0
ENSMUSG00000034786-P,-1.0
ENSMUSG00000032172-P,1.0
2'-Deoxyribolactone,-1.0
2'-Deoxyribolactone,-1.0
8-Hydroxy-5-(hydroxymethyl)quinoline,-1.0
8-Hydroxy-5-(hydroxymethyl)quinoline,-1.0
ENSMUSG00000041720-P,1.0
ENSMUSG00000047371-P,1.0
ENSMUSG00000040761-P,1.0
Phloroglucinol,1.0
Phloroglucinol,1.0
ENSMUSG00000061838-P,-1.0
ENSMUSG00000033453-P,1.0
ENSMUSG00000032251-P,-1.0
ENSMUSG00000048175-P,1.0
ENSMUSG00000049744-P,1.0
ENSMUSG00000047989-P,1.0
ENSMUSG00000071253-P,-1.0
ENSMUSG00000045302-P,1.0
ENSMUSG00000039157-P,1.0
"Xylonic acid, delta-lactone",1.0
"Xylonic acid, delta-lactone",1.0
ENSMUSG00000052534-P,-1.0
ENSMUSG00000040612-P,-1.0
ENSMUSG00000021010-P,1.0
ENSMUSG00000044927-P,1.0
ENSMUSG00000027782-P,-1.0
ENSMUSG00000029034-P,1.0
1-Tetracosene,-1.0
1-Tetracosene,-1.0
ENSMUSG00000034768-P,-1.0
ENSMUSG00000032050-P,-1.0
ENSMUSG00000028051-P,1.0
ENSMUSG00000056952-P,1.0
ENSMUSG00000047547-P,1.0
ENSMUSG00000027598-P,-1.0
L-(-)-Sorbofuranose,-1.0
L-(-)-Sorbofuranose,-1.0
ENSMUSG00000060227-P,-1.0
ENSMUSG00000024576-P,-1.0
ENSMUSG00000030697-P,1.0
Idoxuridine ,-1.0
Idoxuridine ,-1.0
ENSMUSG00000030286-P,1.0
"1-Propanamine, N,N-diethyl-",-1.0
"1-Propanamine, N,N-diethyl-",-1.0
ENSMUSG00000091475-P,1.0
ENSMUSG00000026509-P,-1.0
ENSMUSG00000099689-P,-1.0
ENSMUSG00000034377-P,-1.0
ENSMUSG00000039715-P,1.0
Ketamine,-1.0
Ketamine,-1.0
ENSMUSG00000007379-P,-1.0
4-Hydroxybenzaldehyde,-1.0
4-Hydroxybenzaldehyde,-1.0
ENSMUSG00000087083-P,-1.0
ENSMUSG00000023064-P,1.0
Arabinitol,-1.0
Arabinitol,-1.0
ENSMUSG00000037221-P,1.0
ENSMUSG00000104682-P,-1.0
ENSMUSG00000022023-P,-1.0
ENSMUSG00000041135-P,-1.0
ENSMUSG00000091183-P,-1.0
ENSMUSG00000026820-P,1.0
Xylose,1.0
Xylose,1.0
ENSMUSG00000037646-P,-1.0
ENSMUSG00000055239-P,-1.0
ENSMUSG00000035093-P,-1.0
ENSMUSG00000032306-P,1.0
ENSMUSG00000043535-P,-1.0
ENSMUSG00000025869-P,-1.0
12-Oxooctadecanoate,1.0
12-Oxooctadecanoate,1.0
ENSMUSG00000007613-P,-1.0
ENSMUSG00000043487-P,1.0
ENSMUSG00000017831-P,-1.0
Cholesterol,-1.0
Cholesterol,-1.0
ENSMUSG00000029772-P,-1.0
ENSMUSG00000059820-P,-1.0
ENSMUSG00000085776-P,-1.0
ENSMUSG00000011831-P,-1.0
ENSMUSG00000064246-P,-1.0
Pimelic acid,-1.0
Pimelic acid,-1.0
ENSMUSG00000042686-P,-1.0
ENSMUSG00000028626-P,1.0
ENSMUSG00000068196-P,-1.0
ENSMUSG00000058351-P,1.0
ENSMUSG00000025505-P,-1.0
ENSMUSG00000039194-P,-1.0
ENSMUSG00000002660-P,1.0
ENSMUSG00000048612-P,-1.0
ENSMUSG00000054720-P,-1.0
ENSMUSG00000031838-P,-1.0
ENSMUSG00000031922-P,-1.0
ENSMUSG00000045094-P,1.0
ENSMUSG00000029438-P,-1.0
ENSMUSG00000026895-P,1.0
ENSMUSG00000038555-P,1.0
ENSMUSG00000035293-P,1.0
ENSMUSG00000024002-P,-1.0
ENSMUSG00000006476-P,1.0
ENSMUSG00000066357-P,1.0
ENSMUSG00000038646-P,-1.0
ENSMUSG00000105729-P,-1.0
ENSMUSG00000045930-P,-1.0
ENSMUSG00000022199-P,1.0
ENSMUSG00000052584-P,1.0
ENSMUSG00000027108-P,-1.0
ENSMUSG00000023960-P,1.0
ENSMUSG00000056735-P,-1.0
Lignoceric acid,-1.0
Lignoceric acid,-1.0
ENSMUSG00000062040-P,1.0
ENSMUSG00000028890-P,1.0
ENSMUSG00000042129-P,1.0
Isonicotinic Acid,1.0
Isonicotinic Acid,1.0
ENSMUSG00000069631-P,-1.0
ENSMUSG00000040242-P,-1.0
ENSMUSG00000039959-P,-1.0
ENSMUSG00000020227-P,-1.0
ENSMUSG00000020297-P,1.0
1-Octanol,1.0
1-Octanol,1.0
ENSMUSG00000061689-P,1.0
ENSMUSG00000040586-P,-1.0
ENSMUSG00000070527-P,1.0
ENSMUSG00000022427-P,1.0
ENSMUSG00000031198-P,-1.0
L-Proline,-1.0
L-Proline,-1.0
ENSMUSG00000030403-P,-1.0
ENSMUSG00000023931-P,-1.0
ENSMUSG00000005045-P,1.0
ENSMUSG00000001089-P,-1.0
ENSMUSG00000034349-P,-1.0
ENSMUSG00000027860-P,-1.0
ENSMUSG00000001014-P,1.0
ENSMUSG00000052056-P,-1.0
ENSMUSG00000020235-P,1.0
ENSMUSG00000071637-P,1.0
Erythritol,1.0
Erythritol,1.0
ENSMUSG00000009076-P,1.0
ENSMUSG00000054792-P,1.0
ENSMUSG00000020491-P,-1.0
ENSMUSG00000032261-P,-1.0
ENSMUSG00000027210-P,1.0
ENSMUSG00000027957-P,-1.0
ENSMUSG00000102101-P,-1.0
ENSMUSG00000051297-P,1.0
ENSMUSG00000078486-P,1.0
ENSMUSG00000003190-P,-1.0
ENSMUSG00000051285-P,-1.0
ENSMUSG00000051510-P,-1.0
