n1,n2,edge_dir
Phenol,Xanthine,1
Phenol,Cholesterol,1
Syringaldehyde,beta-D-(-)-Ribopyranose,1
Syringaldehyde,"D-(+)-Ribono-1,4-lactone ",1
Syringaldehyde,"Erythrono-1,4-lactone",1
Syringaldehyde,"Propanoic acid, 2-oxo",1
1-Dodecanol,2'-Deoxyribolactone,1
1-Dodecanol,3-Deoxyhexitol,1
1-Dodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
1-Dodecanol,Undecanoic acid,1
Benzoic Acid,13-Docosenamide,1
Benzoic Acid,Pentanoic acid,1
Benzoic Acid,"Propane, 2-methyl",1
Benzoic Acid,Pyridoxic acid,1
D-Allofuranose,Octadecyl octyl ether,1
L-Valyl-L-leucine,3-(3-Hydroxyphenyl)propanoic acid,-1
L-Valyl-L-leucine,Cyclohexanemethanol,-1
L-Valyl-L-leucine,"Xylonic acid, delta-lactone",1
2-Piperidinone,Butanedioic acid,1
D-(-)-Ribofuranose,Lignoceric acid,-1
1-Tetradecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
1-Tetradecanol,Palmitic Acid,1
Pyrogallol,Xanthine,1
Pyrogallol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
6-Hydroxyhexanoic acid,2-Hydroxy-3-methylbutyric acid,1
Pentadecanoic acid,Cyclohexanecarboxylic acid,1
Pentadecanoic acid,Myristic acid,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2'-Deoxyribolactone,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,4-Hydroxybutanoic acid,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,Pimelic acid,1
"2,3-Butanediol",Pimelic acid,1
L-Glutamic acid,"2-Pentenedioic acid, 2-hydroxy-",1
L-Glutamic acid,L-(-)-Sorbofuranose,1
L-Glutamic acid,N-Acetyl-L-glutamic acid,1
L-Rhamnose,"Propanoic acid, 2-oxo",1
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",d-Erythrotetrofuranose,1
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",Octadecyl octyl ether,1
N-(2-hydroxyethyl)-succinimide,Phloretic acid,1
Cyclohexanecarboxylic acid,4-Methyl-5-thiazoleethanol,1
Cyclohexanecarboxylic acid,"Inosose-2, myo",1
Cyclohexanecarboxylic acid,Nonanoic acid,1
"D-(+)-Ribono-1,4-lactone ",N-Acetylglucosamine,1
"D-(+)-Ribono-1,4-lactone ","(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",1
Thr-Leu,L-(+)-Lactic acid,-1
Thr-Leu,Pimelic acid,-1
"2',2,3,6'-Tetramethoxychalcone","beta-D-Galactopyranoside, methyl-, acetate",1
D-(+)-Talofuranose,Decanoic acid,-1
9H-Purin-6-ol,N-Methyl-alpha-aminoisobutyric acid,1
9H-Purin-6-ol,Dihydrouracil,1
D-(+)-Glucosamine,4-Hydroxybenzaldehyde,1
D-(+)-Glucosamine,Aconitic acid,1
D-(+)-Glucosamine,trans-Coniferryl alchool,1
Hydracrylic acid,5-Methyluridine,1
Hydracrylic acid,Dihydrouracil,1
Hydracrylic acid,L-(-)-Sorbofuranose,1
L-Threonine,Tyrosine,1
N-Acetyl-L-glutamic acid,Niacinamide,1
Undecanoic acid,Nonanoic acid,1
4-Hydroxybenzoic acid,L-Norvaline,1
4-Hydroxybenzoic acid,N-Methyl-alpha-aminoisobutyric acid,1
4-Hydroxybenzoic acid,1-Octanol,-1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Di-tert-butyl-4-hydroxyphenol",1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Methyl-2-furoic acid,-1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Undecene,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",d-Erythrotetrofuranose,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","Guanidine, N,N-dimethyl",1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Pimelic acid,1
Monolaurin,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,1
Monolaurin,"Xylonic acid, delta-lactone",1
Monolaurin,Xylose,1
Serine,"2-Furanacetaldehyde, tetrahydro-alpha",-1
Serine,L-Leucine,1
Serine,Phenylalanine,1
Picolinic acid,Glycerol tricaprylate,1
Xanthine,Citric acid,1
Xanthine,Pentanoic acid,1
1-Monopalmitin,Pipecolic acid,-1
Pipecolic acid,1-Octanol,-1
Pyrrole-2-carboxylic acid,1-Octanol,-1
Myristic acid,2'-Deoxyribolactone,1
Myristic acid,"Hexadecanoic acid, 4-hydroxybutyl ester",1
"Inosose-2, myo",1-Methyl-4-hydroxy-1H-imidazol-2-amine,1
"Inosose-2, myo",trans-Coniferryl alchool,1
D-Glucose,Glycerol tricaprylate,1
Tetrahydrogeranyl formate,3-Undecene,1
Tetrahydrogeranyl formate,"Guanidine, N,N-dimethyl",1
Tetrahydrogeranyl formate,Pentanoic acid,1
"2,5-Di-tert-butyl-4-hydroxyphenol",Pimelic acid,1
5-Methyluridine,12-Oxooctadecanoate,-1
2-Ethylacetoacetate,"2,3,4-Trihydroxybutyric acid",1
2-Ethylacetoacetate,8-Hydroxy-5-(hydroxymethyl)quinoline,1
2-Ethylacetoacetate,beta-D-(-)-Ribopyranose,1
2-Ethylacetoacetate,"Erythrono-1,4-lactone",1
2-Ethylacetoacetate,"Propanoic acid, 2-oxo",1
2-Ethylacetoacetate,Tricine,1
Cyclohexanemethanol,3-(3-Hydroxyphenyl)propanoic acid,1
"Guanidine, N,N-dimethyl",3-Undecene,1
"Guanidine, N,N-dimethyl","Acetamide, N-(2-butyl)-N-methyl-",1
"Guanidine, N,N-dimethyl","Hexadecanoic acid, 4-hydroxybutyl ester",1
"Guanidine, N,N-dimethyl",Menthol,1
N-Acetyl glucosamine methoxime,Uridine,1
2-Hydroxy-3-methylbutyric acid,Decanoic acid,1
2-Hydroxy-3-methylbutyric acid,Glycerol tricaprylate,1
Decanoic acid,Glycerol tricaprylate,1
Butyl caprylate,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",1
Butyl caprylate,Arabinitol,1
9-Octadecenoic acid,4-Pyridinol,-1
Pentanoic acid,3-Undecene,1
N-Acetylglucosamine,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",1
Tyrosine,Phenylalanine,1
"2,3,4-Trihydroxybutyric acid","3-Hydroxy-2,3-dihydromaltol",1
"2,3,4-Trihydroxybutyric acid","Erythrono-1,4-lactone",1
"2,3,4-Trihydroxybutyric acid",Ribonic acid,1
Cytosine,L-Serine,1
Dihydrouracil,"Propanoic acid, 2-oxo",1
2'-Desoxyuridine,Thymidine,1
Butyl Succinate,"Hexadecanoic acid, 4-hydroxybutyl ester",1
Butyl Succinate,L-(+)-Lactic acid,1
Butyl Succinate,"Propanoic acid, 2-oxo",1
alpha-Tocopheryl acetate,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1
beta-D-(-)-Ribopyranose,"Erythrono-1,4-lactone",1
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzaldehyde,1
N-Methyl-alpha-aminoisobutyric acid,Phloretic acid,1
Niacinamide,"2-Pentenedioic acid, 2-hydroxy-",1
"D-Erythro-Pentitol, 2-deoxy-",1-Hexanol,1
Phenylalanine,4-Hydroxybenzaldehyde,1
1-Octadecanol,Ethanamine,1
1-Octadecanol,"2-Furanacetaldehyde, tetrahydro-alpha",-1
1-Octadecanol,"Acetamide, N-(2-butyl)-N-methyl-",1
1-Octadecanol,d-Erythrotetrofuranose,1
3-Undecene,"Hexadecanoic acid, 4-hydroxybutyl ester",1
3-Undecene,Menthol,1
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,Nonanoic acid,1
L-(+)-Lactic acid,Pimelic acid,1
L-(+)-Lactic acid,"Propanoic acid, 2-oxo",1
"2-Furanacetaldehyde, tetrahydro-alpha",Idoxuridine ,-1
Glycolic acid,"Propanoic acid, 2-oxo",1
Octadecyl octyl ether,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",1
Octadecyl octyl ether,d-Erythrotetrofuranose,1
"Azetidine, 1-acetyl-2-methyl",Hexacosanoic acid,1
Palmitic Acid,"Acetamide, N-(2-butyl)-N-methyl-",1
3-Hydroxyisovaleric acid,trans-Coniferryl alchool,1
"Erythrono-1,4-lactone",Idoxuridine ,1
2'-Deoxyribolactone,1-Methyl-4-hydroxy-1H-imidazol-2-amine,1
2'-Deoxyribolactone,d-Erythrotetrofuranose,1
2'-Deoxyribolactone,Glycerol tricaprylate,1
Idoxuridine ,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",1
Idoxuridine ,Tricine,1
Ketamine,"Butanoic acid, 3,4-dihydroxy-",1
4-Hydroxybenzaldehyde,1-Octanol,-1
Lignoceric acid,"beta-D-Galactopyranoside, methyl-, acetate",-1
3-Deoxyhexitol,2-Palmitoylglycerol,-1
3-Deoxyhexitol,Phloretic acid,1
"Propane, 2-methyl","Acetamide, N-(2-butyl)-N-methyl-",1
D-Mannopyranose,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-1
Tricine,d-Erythrotetrofuranose,1
3-Hydroxypicolinic acid,trans-Coniferryl alchool,-1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,d-Erythrotetrofuranose,1
d-Erythrotetrofuranose,4-Hydroxyphenyllactic acid,1
d-Erythrotetrofuranose,Glycerol,1
Glycerol tricaprylate,Glycerol,1
3-Hydroxybutyric acid,Hexacosanoic acid,1
L-Serine,L-Valine,1
4-Hydroxybenzaldehyde,L-Valine,1
D-(+)-Glucosamine,L-Valine,1
Serine,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
4-Hydroxybenzaldehyde,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Niacinamide,Methylsuccinic acid,1
17-alpha-Hydroxypregnenolone,Methylsuccinic acid,-1
9H-Purin-6-ol,Methylsuccinic acid,1
D-(+)-Glucosamine,Methylsuccinic acid,1
Hydracrylic acid,Methylsuccinic acid,1
L-(-)-Sorbofuranose,Methylsuccinic acid,1
L-Glutamic acid,Methylsuccinic acid,1
4-Hydroxybenzaldehyde,DL-Phenylalanine,1
L-Isoleucine,DL-Phenylalanine,1
Phenylalanine,DL-Phenylalanine,1
Uracil,DL-Phenylalanine,1
Syringaldehyde,"Gluconolactone (3R,4S,5R,6R)",1
Phenylalanine,L-Isoleucine,1
Serine,L-Isoleucine,1
Tyrosine,L-Isoleucine,1
1-Tetradecanol,"2-Butenoic acid, 2-hydroxy-",1
"2',2,3,6'-Tetramethoxychalcone","2-Butenoic acid, 2-hydroxy-",-1
3-Deoxyhexitol,"2-Butenoic acid, 2-hydroxy-",1
Butyl Succinate,"2-Butenoic acid, 2-hydroxy-",1
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-hydroxy-",1
"2-Allyl-1,4-dimethoxybenzene ","2,5-Dimethoxyphenol",1
2-Hydroxy-3-methylbutyric acid,"2,5-Dimethoxyphenol",1
Syringaldehyde,"2,5-Dimethoxyphenol",1
3-Hexenedioic acid,"2-Allyl-1,4-dimethoxybenzene ",1
4-Pyridinol,"2-Allyl-1,4-dimethoxybenzene ",1
Syringaldehyde,"2-Allyl-1,4-dimethoxybenzene ",1
Cyclohexanecarboxylic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
Myristic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
Pentanoic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
Tetrahydrogeranyl formate,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
5-Hydroxymethyl-2-furoic acid,3-Hexenedioic acid,1
beta-Arabinopyranose,3-Hexenedioic acid,1
L-5-Oxoproline,3-Hexenedioic acid,1
Syringaldehyde,3-Hexenedioic acid,1
D-Mannopyranose,2-Ethylhexanoic acid,-1
Phenol,2-Ethylhexanoic acid,1
L-Glutamic acid,beta-Alanine,1
N-Acetyl-L-glutamic acid,beta-Alanine,1
Thymidine,beta-Alanine,1
L-(-)-Sorbofuranose,L-5-Oxoproline,1
L-Glutamic acid,L-5-Oxoproline,1
Niacinamide,Niacin,1
L-(-)-Sorbofuranose,Niacin,1
N-Acetyl-L-glutamic acid,Niacin,1
Xanthine,Phenol,1
Cholesterol,Phenol,1
beta-D-(-)-Ribopyranose,Syringaldehyde,1
"D-(+)-Ribono-1,4-lactone ",Syringaldehyde,1
"Erythrono-1,4-lactone",Syringaldehyde,1
"Propanoic acid, 2-oxo",Syringaldehyde,1
2'-Deoxyribolactone,1-Dodecanol,1
3-Deoxyhexitol,1-Dodecanol,1
"Hexadecanoic acid, 4-hydroxybutyl ester",1-Dodecanol,1
Undecanoic acid,1-Dodecanol,1
13-Docosenamide,Benzoic Acid,1
Pentanoic acid,Benzoic Acid,1
"Propane, 2-methyl",Benzoic Acid,1
Pyridoxic acid,Benzoic Acid,1
Octadecyl octyl ether,D-Allofuranose,1
3-(3-Hydroxyphenyl)propanoic acid,L-Valyl-L-leucine,-1
Cyclohexanemethanol,L-Valyl-L-leucine,-1
"Xylonic acid, delta-lactone",L-Valyl-L-leucine,1
Butanedioic acid,2-Piperidinone,1
Lignoceric acid,D-(-)-Ribofuranose,-1
"Hexadecanoic acid, 4-hydroxybutyl ester",1-Tetradecanol,1
Palmitic Acid,1-Tetradecanol,1
Xanthine,Pyrogallol,1
"Hexadecanoic acid, 4-hydroxybutyl ester",Pyrogallol,1
2-Hydroxy-3-methylbutyric acid,6-Hydroxyhexanoic acid,1
Cyclohexanecarboxylic acid,Pentadecanoic acid,1
Myristic acid,Pentadecanoic acid,1
2'-Deoxyribolactone,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,1
4-Hydroxybutanoic acid,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,1
Pimelic acid,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,1
Pimelic acid,"2,3-Butanediol",1
"2-Pentenedioic acid, 2-hydroxy-",L-Glutamic acid,1
L-(-)-Sorbofuranose,L-Glutamic acid,1
N-Acetyl-L-glutamic acid,L-Glutamic acid,1
"Propanoic acid, 2-oxo",L-Rhamnose,1
d-Erythrotetrofuranose,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",1
Octadecyl octyl ether,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",1
Phloretic acid,N-(2-hydroxyethyl)-succinimide,1
4-Methyl-5-thiazoleethanol,Cyclohexanecarboxylic acid,1
"Inosose-2, myo",Cyclohexanecarboxylic acid,1
Nonanoic acid,Cyclohexanecarboxylic acid,1
N-Acetylglucosamine,"D-(+)-Ribono-1,4-lactone ",1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","D-(+)-Ribono-1,4-lactone ",1
L-(+)-Lactic acid,Thr-Leu,-1
Pimelic acid,Thr-Leu,-1
"beta-D-Galactopyranoside, methyl-, acetate","2',2,3,6'-Tetramethoxychalcone",1
Decanoic acid,D-(+)-Talofuranose,-1
N-Methyl-alpha-aminoisobutyric acid,9H-Purin-6-ol,1
Dihydrouracil,9H-Purin-6-ol,1
4-Hydroxybenzaldehyde,D-(+)-Glucosamine,1
Aconitic acid,D-(+)-Glucosamine,1
trans-Coniferryl alchool,D-(+)-Glucosamine,1
5-Methyluridine,Hydracrylic acid,1
Dihydrouracil,Hydracrylic acid,1
L-(-)-Sorbofuranose,Hydracrylic acid,1
Tyrosine,L-Threonine,1
Niacinamide,N-Acetyl-L-glutamic acid,1
Nonanoic acid,Undecanoic acid,1
L-Norvaline,4-Hydroxybenzoic acid,1
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzoic acid,1
1-Octanol,4-Hydroxybenzoic acid,-1
"2,5-Di-tert-butyl-4-hydroxyphenol","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
3-Methyl-2-furoic acid,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1
3-Undecene,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
d-Erythrotetrofuranose,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
"Guanidine, N,N-dimethyl","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
Pimelic acid,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,Monolaurin,1
"Xylonic acid, delta-lactone",Monolaurin,1
Xylose,Monolaurin,1
"2-Furanacetaldehyde, tetrahydro-alpha",Serine,-1
L-Leucine,Serine,1
Phenylalanine,Serine,1
Glycerol tricaprylate,Picolinic acid,1
Citric acid,Xanthine,1
Pentanoic acid,Xanthine,1
Pipecolic acid,1-Monopalmitin,-1
1-Octanol,Pipecolic acid,-1
1-Octanol,Pyrrole-2-carboxylic acid,-1
2'-Deoxyribolactone,Myristic acid,1
"Hexadecanoic acid, 4-hydroxybutyl ester",Myristic acid,1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Inosose-2, myo",1
trans-Coniferryl alchool,"Inosose-2, myo",1
Glycerol tricaprylate,D-Glucose,1
3-Undecene,Tetrahydrogeranyl formate,1
"Guanidine, N,N-dimethyl",Tetrahydrogeranyl formate,1
Pentanoic acid,Tetrahydrogeranyl formate,1
Pimelic acid,"2,5-Di-tert-butyl-4-hydroxyphenol",1
12-Oxooctadecanoate,5-Methyluridine,-1
"2,3,4-Trihydroxybutyric acid",2-Ethylacetoacetate,1
8-Hydroxy-5-(hydroxymethyl)quinoline,2-Ethylacetoacetate,1
beta-D-(-)-Ribopyranose,2-Ethylacetoacetate,1
"Erythrono-1,4-lactone",2-Ethylacetoacetate,1
"Propanoic acid, 2-oxo",2-Ethylacetoacetate,1
Tricine,2-Ethylacetoacetate,1
3-(3-Hydroxyphenyl)propanoic acid,Cyclohexanemethanol,1
3-Undecene,"Guanidine, N,N-dimethyl",1
"Acetamide, N-(2-butyl)-N-methyl-","Guanidine, N,N-dimethyl",1
"Hexadecanoic acid, 4-hydroxybutyl ester","Guanidine, N,N-dimethyl",1
Menthol,"Guanidine, N,N-dimethyl",1
Uridine,N-Acetyl glucosamine methoxime,1
Decanoic acid,2-Hydroxy-3-methylbutyric acid,1
Glycerol tricaprylate,2-Hydroxy-3-methylbutyric acid,1
Glycerol tricaprylate,Decanoic acid,1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Butyl caprylate,1
Arabinitol,Butyl caprylate,1
4-Pyridinol,9-Octadecenoic acid,-1
3-Undecene,Pentanoic acid,1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",N-Acetylglucosamine,1
Phenylalanine,Tyrosine,1
"3-Hydroxy-2,3-dihydromaltol","2,3,4-Trihydroxybutyric acid",1
"Erythrono-1,4-lactone","2,3,4-Trihydroxybutyric acid",1
Ribonic acid,"2,3,4-Trihydroxybutyric acid",1
L-Serine,Cytosine,1
"Propanoic acid, 2-oxo",Dihydrouracil,1
Thymidine,2'-Desoxyuridine,1
"Hexadecanoic acid, 4-hydroxybutyl ester",Butyl Succinate,1
L-(+)-Lactic acid,Butyl Succinate,1
"Propanoic acid, 2-oxo",Butyl Succinate,1
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,alpha-Tocopheryl acetate,-1
"Erythrono-1,4-lactone",beta-D-(-)-Ribopyranose,1
4-Hydroxybenzaldehyde,N-Methyl-alpha-aminoisobutyric acid,1
Phloretic acid,N-Methyl-alpha-aminoisobutyric acid,1
"2-Pentenedioic acid, 2-hydroxy-",Niacinamide,1
1-Hexanol,"D-Erythro-Pentitol, 2-deoxy-",1
4-Hydroxybenzaldehyde,Phenylalanine,1
Ethanamine,1-Octadecanol,1
"2-Furanacetaldehyde, tetrahydro-alpha",1-Octadecanol,-1
"Acetamide, N-(2-butyl)-N-methyl-",1-Octadecanol,1
d-Erythrotetrofuranose,1-Octadecanol,1
"Hexadecanoic acid, 4-hydroxybutyl ester",3-Undecene,1
Menthol,3-Undecene,1
Nonanoic acid,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,1
Pimelic acid,L-(+)-Lactic acid,1
"Propanoic acid, 2-oxo",L-(+)-Lactic acid,1
Idoxuridine ,"2-Furanacetaldehyde, tetrahydro-alpha",-1
"Propanoic acid, 2-oxo",Glycolic acid,1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",Octadecyl octyl ether,1
d-Erythrotetrofuranose,Octadecyl octyl ether,1
Hexacosanoic acid,"Azetidine, 1-acetyl-2-methyl",1
"Acetamide, N-(2-butyl)-N-methyl-",Palmitic Acid,1
trans-Coniferryl alchool,3-Hydroxyisovaleric acid,1
Idoxuridine ,"Erythrono-1,4-lactone",1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,2'-Deoxyribolactone,1
d-Erythrotetrofuranose,2'-Deoxyribolactone,1
Glycerol tricaprylate,2'-Deoxyribolactone,1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",Idoxuridine ,1
Tricine,Idoxuridine ,1
"Butanoic acid, 3,4-dihydroxy-",Ketamine,1
1-Octanol,4-Hydroxybenzaldehyde,-1
"beta-D-Galactopyranoside, methyl-, acetate",Lignoceric acid,-1
2-Palmitoylglycerol,3-Deoxyhexitol,-1
Phloretic acid,3-Deoxyhexitol,1
"Acetamide, N-(2-butyl)-N-methyl-","Propane, 2-methyl",1
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",D-Mannopyranose,-1
d-Erythrotetrofuranose,Tricine,1
trans-Coniferryl alchool,3-Hydroxypicolinic acid,-1
d-Erythrotetrofuranose,1-Methyl-4-hydroxy-1H-imidazol-2-amine,1
4-Hydroxyphenyllactic acid,d-Erythrotetrofuranose,1
Glycerol,d-Erythrotetrofuranose,1
Glycerol,Glycerol tricaprylate,1
Hexacosanoic acid,3-Hydroxybutyric acid,1
