"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"170748","5-Hydroxyhexanoic acid","HMDB0000525","170748","131434",NA,"5510","CC(O)CCCC(O)=O","1"
"84564","NA","NA","NA","NA","NA","NA","NA","0"
"7628","Boric acid (H3BO3)","HMDB0035731","7628","33118","C12486",NA,"OB(O)O","1"
"273","Cadaverine","HMDB0002322","273","18127","C01672","3236","NCCCCCN","1"
"86222","NA","NA","NA","NA","NA","NA","NA","0"
"91741325","NA","NA","NA","NA","NA","NA","NA","0"
"5365019","NA","NA","NA","NA","NA","NA","NA","0"
"92835","NA","NA","NA","NA","NA","NA","NA","0"
"5997","Cholesterol","HMDB0000067","5997","16113","C00187","163","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"444539","trans-Cinnamic acid","HMDB0000930","444539","35697","C10438","5880","OC(=O)\C=C\C1=CC=CC=C1","1"
"533404","NA","NA","NA","NA","NA","NA","NA","0"
"311","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"7076347","Cyclo(Leu-Phe)","HMDB0094673","7076347","71608","C20519",NA,"[H][C@@]1(CC(C)C)N=C(O)[C@]([H])(CC2=CC=CC=C2)N=C1O","1"
"19494","NA","NA","NA","NA","NA","NA","NA","0"
"76218","NA","NA","NA","NA","NA","NA","NA","0"
"107126","Dihydrojasmonic acid","HMDB0033601","107126",NA,NA,NA,"CCCCCC1C(CC(O)=O)CCC1=O","1"
"119632","NA","NA","NA","NA","NA","NA","NA","0"
"439766","NA","NA","NA","NA","NA","NA","NA","0"
"2723872","NA","NA","NA","NA","NA","NA","NA","0"
"21140535","NA","NA","NA","NA","NA","NA","NA","0"
"87731","NA","NA","NA","NA","NA","NA","NA","0"
"18950","NA","NA","NA","NA","NA","NA","NA","0"
"8988","D-Proline","HMDB0003411","8988","16313","C00763",NA,"OC(=O)[C@H]1CCCN1","1"
"10975657","D-Ribopyranose",NA,"10975657",NA,NA,NA,NA,"1"
"169019","D-Threitol","HMDB0004136","169019","48300","C16884","140","OC[C@@H](O)[C@H](O)CO","1"
"2969","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(O)=O","1"
"162835","Dehydronorketamine","HMDB0246857","162835",NA,NA,NA,"NC1(CCC=CC1=O)C1=CC=CC=C1Cl","1"
"17925","NA","NA","NA","NA","NA","NA","NA","0"
"222528","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"439577","Desmosterol","HMDB0002719","439577","17737","C01802","423","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC=C(C)C","1"
"649","Dihydrouracil","HMDB0000076","649","15901","C00429","285","O=C1CCNC(=O)N1","1"
"637568","Dimethyl fumarate","HMDB0031257","637568","76004",NA,NA,"COC(=O)\C=C\C(=O)OC","1"
"6950","(Â±)-2-(1-Methylpropyl)-4,6-dinitrophenol","HMDB0032559","6950","83632","C14302",NA,"CCC(C)C1=C(O)C(=CC(=C1)N(=O)=O)N(=O)=O","1"
"7583","Diphenyl ether","HMDB0034446","7583","39258","C07733",NA,"O(C1=CC=CC=C1)C1=CC=CC=C1","1"
"751","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","OCC(O)C=O","1"
"389","2,5-Diaminopentanoic acid",NA,"389","18257","C01602",NA,"NCCCC(N)C(=O)O","1"
"994","NA","NA","NA","NA","NA","NA","NA","0"
"499","NA","NA","NA","NA","NA","NA","NA","0"
"36811","Dobutamine","HMDB0014979","36811","4670","C06967",NA,"CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1","1"
"445580","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"545627","4,6-dimethyldodecane","HMDB0062598","545627","84249",NA,NA,"CCCCCCC(C)CC(C)CCC","1"
"3893","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(O)=O","1"
"15714","NA","NA","NA","NA","NA","NA","NA","0"
"5282847","NA","NA","NA","NA","NA","NA","NA","0"
"222285","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"559636","NA","NA","NA","NA","NA","NA","NA","0"
"700","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"70991","NA","NA","NA","NA","NA","NA","NA","0"
"604823","NA","NA","NA","NA","NA","NA","NA","0"
"19602","2-Pentylfuran","HMDB0013824","19602","89197",NA,NA,"CCCCCC1=CC=CO1","1"
"6036","alpha-Santalyl acetate","HMDB0037209","6036","4139","C00124",NA,"CC(=O)OC\C(C)=C/CCC1(C)C2CC3C(C2)C13C","1"
"9813211","Glutaminylalanine","HMDB0028790","9813211",NA,NA,NA,"C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O","1"
"5793","D-Glucose","HMDB0000122","5793","15903","C00031","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"752","NA","NA","NA","NA","NA","NA","NA","0"
"750","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"88412","N-Butyrylglycine","HMDB0000808","88412","89963",NA,"5772","CCCC(=O)NCC(O)=O","1"
"96806","NA","NA","NA","NA","NA","NA","NA","0"
"757","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"135495951","NA","NA","NA","NA","NA","NA","NA","0"
"5702063","Guanabenz","HMDB0014767","5702063","101202","C07034",NA,"NC(N)=NN=CC1=C(Cl)C=CC=C1Cl","1"
"10465","Heptadecanoic acid","HMDB0002259","10465","32365",NA,"6578","CCCCCCCCCCCCCCCCC(O)=O","1"
"196","Adipic acid","HMDB0000448","196","30832","C06104","115","OC(=O)CCCCC(O)=O","1"
"8892","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(O)=O","1"
"10020","N-carbamoylglycine","HMDB0304424","10020","133351",NA,NA,"OC(=O)CNC(O)=N","1"
"68152","Hydroxypropionic acid","HMDB0000700","68152","33404","C01013","5668","OCCC(O)=O","1"
"91503","NA","NA","NA","NA","NA","NA","NA","0"
"785","Hydroquinone","HMDB0002434","785","17594","C00530","6681","OC1=CC=C(O)C=C1","1"
"10256","Indole-3-carboxaldehyde","HMDB0029737","10256","28238","C08493",NA,"O=CC1=CNC2=C1C=CC=C2","1"
"92904","NA","NA","NA","NA","NA","NA","NA","0"
"74280","Indole-5-carboxylic acid","HMDB0253469","74280","131778",NA,NA,"OC(=O)C1=CC2=C(NC=C2)C=C1","1"
"5281326","Isofucosterol","HMDB0002374","5281326","28604","C08821",NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC\C(=C\C)C(C)C","1"
"8907","Isopropyl hexadecanoate","HMDB0035474","8907","84262",NA,NA,"CCCCCCCCCCCCCCCC(=O)OC(C)C","1"
"73672","Isoxaben","HMDB0253709","73672","63956","C18504",NA,"CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1","1"
"811","Itaconic acid","HMDB0002092","811","30838","C00490","6483","OC(=O)CC(=C)C(O)=O","1"
"3821","Ketamine","HMDB0015352","3821","6121","C07525",NA,"CNC1(CCCCC1=O)C1=CC=CC=C1Cl","1"
"7405","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"5950","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"6267","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"5862","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"33032","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"5810","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"6306","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"6106","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"107469","NA","NA","NA","NA","NA","NA","NA","0"
"21236","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@H](N)C(O)=O","1"
"445969","NA","NA","NA","NA","NA","NA","NA","0"
"6305","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"612","NA","NA","NA","NA","NA","NA","NA","0"
"10267038","NA","NA","NA","NA","NA","NA","NA","0"
"11579","Levulinic acid","HMDB0000720","11579","45630",NA,"2195","CC(=O)CCC(O)=O","1"
"525","NA","NA","NA","NA","NA","NA","NA","0"
"21100","Metanephrine","HMDB0004063","21100","144365","C05588","65","CNCC(O)C1=CC(OC)=C(O)C=C1","1"
"597469","NA","NA","NA","NA","NA","NA","NA","0"
"69221","Methyl glycinate","HMDB0254591","69221","87375",NA,NA,"COC(=O)CN","1"
"4056967","NA","NA","NA","NA","NA","NA","NA","0"
"13834966","NA","NA","NA","NA","NA","NA","NA","0"
"19373131","NA","NA","NA","NA","NA","NA","NA","0"
"1206243","NA","NA","NA","NA","NA","NA","NA","0"
"11005","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(O)=O","1"
"18935209","NA","NA","NA","NA","NA","NA","NA","0"
"70914","N-Acetyl-L-glutamic acid","HMDB0001138","70914","17533","C00624","6031","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"91729087","NA","NA","NA","NA","NA","NA","NA","0"
"10855600","Isobutyrylglycine","HMDB0000730","10855600","70979",NA,"5698","CC(C)C(=O)NCC(O)=O","1"
"546304","Isovalerylglycine","HMDB0000678","546304","70984",NA,"5647","CC(C)CC(=O)NCC(O)=O","1"
"25219599","NA","NA","NA","NA","NA","NA","NA","0"
"12397","Pentadecanol","HMDB0013299","12397","77468",NA,NA,"CCCCCCCCCCCCCCCO","1"
"4737557","Valerylglycine","HMDB0000927","4737557",NA,NA,"5878","CCCCC(=O)NCC(O)=O","1"
"530172","NA","NA","NA","NA","NA","NA","NA","0"
"7497","2-Diethylaminoethanol","HMDB0033971","7497","52153",NA,NA,"CCN(CC)CCO","1"
"546952","NA","NA","NA","NA","NA","NA","NA","0"
"3015764","NA","NA","NA","NA","NA","NA","NA","0"
"3124834","NA","NA","NA","NA","NA","NA","NA","0"
"4456","Neostigmine","HMDB0015472","4456","7514","C07258",NA,"CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C","1"
"938","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","OC(=O)C1=CN=CC=C1","1"
"936","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"4477","Niclosamide","HMDB0015679","4477","478218",NA,NA,"OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O","1"
"75393","NA","NA","NA","NA","NA","NA","NA","0"
"12591","Nonadecanoic acid","HMDB0000772","12591","39246","C16535","5738","CCCCCCCCCCCCCCCCCCC(O)=O","1"
"123767","Norketamine","HMDB0060549","123767","91519",NA,NA,"NC1(CCCCC1=O)C1=CC=CC=C1Cl","1"
"383824","NA","NA","NA","NA","NA","NA","NA","0"
"19825814","NA","NA","NA","NA","NA","NA","NA","0"
"520430","NA","NA","NA","NA","NA","NA","NA","0"
"379","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(O)=O","1"
"22571","Octocrylene","HMDB0255910","22571",NA,NA,NA,"CCCCC(CC)COC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1","1"
"4581","NA","NA","NA","NA","NA","NA","NA","0"
"6262","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"971","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"18935","NA","NA","NA","NA","NA","NA","NA","0"
"7470","4-Methylbenzoic acid","HMDB0029635","7470","36635","C01454",NA,"CC1=CC=C(C=C1)C(O)=O","1"
"5282745","Palmitelaidic acid","HMDB0012328","5282745","59265",NA,NA,"CCCCCC\C=C\CCCCCCCC(O)=O","1"
"985","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(O)=O","1"
"60208608","Pentylone","HMDB0256297","60208608",NA,NA,NA,"CCCC(NC)C(=O)C1=CC2=C(OCO2)C=C1","1"
"70825","NA","NA","NA","NA","NA","NA","NA","0"
"19188","Phenoxyacetic acid","HMDB0031609","19188","8075","C02181",NA,"OC(=O)COC1=CC=CC=C1","1"
"6140","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"10297","NA","NA","NA","NA","NA","NA","NA","0"
"6072","Phlorizin","HMDB0036634","6072","8113","C01604",NA,"OC[C@H]1O[C@@H](OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","1"
"359","1,3,5-Trihydroxybenzene","HMDB0013675","359","16204","C02183",NA,"OC1=CC(O)=CC(O)=C1","1"
"4793","Phosalone","HMDB0041985","4793","8121","C11028",NA,"CCOP(=S)(OCC)SCN1C(=O)OC2=C1C=CC(Cl)=C2","1"
"8394","NA","NA","NA","NA","NA","NA","NA","0"
"385","Pimelic acid","HMDB0000857","385","30531","C02656","3280","OC(=O)CCCCCC(O)=O","1"
"849","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"6590","Isobutyric acid","HMDB0001873","6590","16135","C02632","106","CC(C)C(O)=O","1"
"15781","NA","NA","NA","NA","NA","NA","NA","0"
"7852","1-Propylamine","HMDB0034006","7852","39870",NA,NA,"CCCN","1"
"81705","NA","NA","NA","NA","NA","NA","NA","0"
"12473","Pyrrole-2-carboxylic acid","HMDB0004230","12473","36751","C05942","3787","OC(=O)C1=CC=CN1","1"
