Metabolite Name,PubChem,HMDB,SMILES
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",,,
5-Ethyluracil,73267,HMDB0246786,CCC1=CNC(=O)NC1=O
5-Henicosylresorcinol,,,
5-Hydroxyquinoline,135441757,,C1=CC2=C(C=CC=N2)C(=C1)O
5-Hydroxytryptophan,144,,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
"5alpha-Pregnane-3,20-dione",92810,HMDB0003759,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C
6-Hydroxyflavone-beta-D-glucoside,20769154,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
"6,7,4'-Trihydroxyisoflavone",5284649,HMDB0031715,C1=CC(=CC=C1C2=COC3=CC(=C(C=C3C2=O)O)O)O
7-(Trimethylsilyl)amino-4-methylcoumarin,91736840,,CC1=CC(=O)OC2=C1C=CC(=C2)N[Si](C)(C)C
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",6930,,CCC1=CC2=C(C=C1C(=O)C)C(CCC2(C)C)(C)C
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",,,
9-Hexadecenoic acid,4668,,CCCCCCC=CCCCCCCCC(=O)O
9-Octadecenamide,1930,HMDB0247607,CCCCCCCCC=CCCCCCCCC(=O)N
"9,12-Octadecadienoic acid",3931,HMDB0247706,CCCCCC=CCC=CCCCCCCCC(=O)O
"Acetamide, N,N-diethyl-",12703,,CCN(CC)C(=O)C
"Acetic acid, bis[(trimethylsilyl)oxyl]-",,,
"Acetin, bis-1,3-trimethylsilyl ether",91696644,,CC(=O)OC(CO[Si](C)(C)C)CO[Si](C)(C)C
Acetoacetic acid,96,HMDB0000060,CC(=O)CC(=O)O
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",9600027,,CC1=CC(=C(C=C1)C(C)C)OCC(=O)N/N=C/C2=CC=CC=C2
Aceturic acid,10972,HMDB0000532,CC(=O)NCC(=O)O
Adipoyl-L-carnitine,91826562,HMDB0061677,C[N+](C)(C)C[C@@H](CC(=O)[O-])OC(=O)CCCCC(=O)O
Allylescaline,44719469,,COC1=CC(=CC(=C1OCC=C)OC)CCN
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",,,
alpha-Linolenic acid,5280934,HMDB0001388,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
alpha-Tocopherol,14985,HMDB0001893,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C
Ammeline,135408770,,C1(=NC(=NC(=O)N1)N)N
Arabinaric acid,109475,,C(C(C(=O)O)O)(C(C(=O)O)O)O
Arachidonic acid,444899,HMDB0001043,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
Arsenous acid,545,HMDB0011620,O[As](O)O
Aspartic acid,5960,HMDB0000191,C([C@@H](C(=O)O)N)C(=O)O
Atrazine desethyl,22563,HMDB0033249,CC(C)NC1=NC(=NC(=N1)N)Cl
Azatadine,19861,HMDB0014857,CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1
"Azetidine, 1-acetyl-2-methyl-",537224,,CC1CCN1C(=O)C
"Aziridine, 1-(2-buten-2-yl)-",5364853,,C/C=C(\C)/N1CC1
"Benzaldehyde, 2,5-dimethyl-",22015,,CC1=CC(=C(C=C1)C)C=O
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",21627673,,CC(=O)OC1=C(C=C(C=C1OC)CC=C)OC
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",140640,HMDB0031821,C1CC(C1C2=CC=CC=C2)C3=CC=CC=C3
"Benzene, 1,3-bis(1,1-dimethylethyl)-",136810,HMDB0061923,CC(C)(C)C1=CC(=CC=C1)C(C)(C)C
"Benzene, 3-cyclohexen-1-yl-",21096,,C1CC(CC=C1)C2=CC=CC=C2
Benzeneacetamide,7680,HMDB0010715,C1=CC=C(C=C1)CC(=O)N
Benzeneacetic acid,999,HMDB0000209,C1=CC=C(C=C1)CC(=O)O
"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]-",601551,,C[Si](C)(C)OC1=CC=C(C=C1)CCN=CC2=C(C(=C(C(=C2F)F)F)F)F
"Benzenemethanamine, 2,3-dimethoxy-",78106,,COC1=CC=CC(=C1OC)CN
"Benzimidazole, 5-trifluoromethyl-2-methyl-",608296,,CC1=NC2=C(N1)C=C(C=C2)C(F)(F)F
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",2928334,,CC1CCC2=C(C1)C(=C3C4=C(CCCC4)SC3=N2)N
"Benzoic acid, methyl ester",7150,HMDB0033968,COC(=O)C1=CC=CC=C1
"Benzoic acid, pentadecyl ester",10268510,,CCCCCCCCCCCCCCCOC(=O)C1=CC=CC=C1
Benzophenone,3102,HMDB0032049,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
Benzyl alcohol,244,HMDB0003119,C1=CC=C(C=C1)CO
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",,,
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",,,
beta-Hydroxypyruvic acid,964,HMDB0001352,C(C(=O)C(=O)O)O
beta-Lyxopyranose,,,
5-Hydroxyhexanoic acid,170748,HMDB0000525,CC(CCCC(=O)O)O
Bis(trimethylsilyl)acetylene,84564,,C[Si](C)(C)C#C[Si](C)(C)C
Boric acid,7628,HMDB0035731,B(O)(O)O
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-",,,
"Butanoic acid, 2-methyl-3-[(trimethylsilyl)oxy]-",,,
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",,,
Butylated Hydroxytoluene,,,
Cadaverine,273,HMDB0002322,C(CCN)CCN
Carfentrazone-ethyl,86222,,CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-",,,
"Cetaben, N,O-bis(trimethylsilyl)-",91741325,,CCCCCCCCCCCCCCCCN(C1=CC=C(C=C1)C(=O)O[Si](C)(C)C)[Si](C)(C)C
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",5365019,,CC(C)/C=C/C(C(C)C1CCC2C1(CCC3C2CC(C45C3(CCC4C5)C)OC)C)OC(=O)C(C)(C)C
"Cholest-7-en-3-ol, (3beta,5alpha)-",,,
"Cholesta-3,5-diene ",92835,,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC=C4)C)C
Cholesterol,5997,HMDB0000067,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
Cinnamic acid,444539,HMDB0000930,C1=CC=C(C=C1)/C=C/C(=O)O
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,533404,,C[Si](C)(C)OC1CCC(CC1)C(=O)O[Si](C)(C)C
Citric acid,311,HMDB0000094,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Cyclo-(l-leucyl-l-phenylalanyl),7076347,HMDB0094673,CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2
Cyclo(L-prolyl-L-valine),,,
cyclobutanecarboxylic acid,19494,,C1CC(C1)C(=O)O
Cyclobutanol,76218,,C1CC(C1)O
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",107126,HMDB0033601,CCCCCC1C(CCC1=O)CC(=O)O
"Cyclopentanone, 2,2,4-trimethyl-",119632,,CC1CC(=O)C(C1)(C)C
D-(-)-Citramalic acid,439766,,C[C@@](CC(=O)O)(C(=O)O)O
"D-(-)-Fructofuranose, pentakis",,,
"D-(-)-Lyxose, tetrakis",,,
"D-(-)-Ribofuranose, tetrakis",,,
"D-(+)-Ribono-1,4-lactone (R,S,R)-",,,
"D-(+)-Talofuranose, pentakis",,,
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",,,
D-Fructose,2723872,,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
"D-Isoleucine, N-acetyl-",21140535,,CCC(C)[C@H](C(=O)O)NC(=O)C
D-Leucylglycylglycine,87731,,CC(C)C[C@H](C(=O)NCC(=O)NCC(=O)O)N
D-Mannose,18950,,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
D-Proline,8988,HMDB0003411,C1C[C@@H](NC1)C(=O)O
D-Ribose,10975657,,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
D-Threitol,169019,HMDB0004136,C([C@H]([C@@H](CO)O)O)O
"D-Xylofuranose, 1,2,3,5-tetrakis-O-",,,
Decanoic acid,2969,HMDB0000511,CCCCCCCCCC(=O)O
Dehydronorketamine,162835,HMDB0246857,C1CC(C(=O)C=C1)(C2=CC=CC=C2Cl)N
Delorazepam,17925,,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl
Deoxycholic Acid,222528,HMDB0000626,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
Desmosterol,439577,HMDB0002719,C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
Dihydrouracil,649,HMDB0000076,C1CNC(=O)NC1=O
Dimethyl fumarate,637568,HMDB0031257,COC(=O)/C=C/C(=O)OC
"Dimethyl hexopyranosiduronate, alpha-D-",,,
Dinoseb,6950,HMDB0032559,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O
Diphenyl ether,7583,HMDB0034446,C1=CC=C(C=C1)OC2=CC=CC=C2
DL-Glyceraldehyde,751,HMDB0001051,C(C(C=O)O)O
DL-Ornithine,389,,C(CC(C(=O)O)N)CN
DL-Phenylalanine,994,,C1=CC=C(C=C1)CC(C(=O)O)N
"DL-Proline, 5-oxo-",499,,C1CC(=O)NC1C(=O)O
Dobutamine,36811,HMDB0014979,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
Doconexent,445580,HMDB0002183,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
"Dodecane, 4,6-dimethyl-",545627,HMDB0062598,CCCCCCC(C)CC(C)CCC
Dodecanoic acid,3893,HMDB0000638,CCCCCCCCCCCC(=O)O
Dodecylcyclohexane,15714,,CCCCCCCCCCCCC1CCCCC1
Eicosapentaenoic acid,5282847,,CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O
Erythritol,222285,HMDB0002994,C([C@H]([C@H](CO)O)O)O
"Erythrono-1,4-lactone, (Z)-",,,
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",559636,,CCN(CC)CC(C)(C)C1=CC(=CC(=C1)OC)OC
Ethanolamine,700,HMDB0000149,C(CO)N
"Ethanone, 1-(2,5-dimethoxyphenyl)-",70991,,CC(=O)C1=C(C=CC(=C1)OC)OC
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",604823,,CC1=C(C2=C(N1)C=CC(=C2)OC)C(=O)C
"Furan, 2-pentyl-",19602,HMDB0013824,CCCCCC1=CC=CO1
Galactopyranose,6036,HMDB0037209,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
Gln-Ala,9813211,HMDB0028790,C[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)N)N
Glucopyranose,5793,HMDB0000122,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
Glucose,5793,HMDB0000122,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
Glyceric acid,752,,C(C(C(=O)O)O)O
Glycine,750,HMDB0000123,C(C(=O)O)N
"Glycine, N-(1-oxobutyl)-",88412,HMDB0000808,CCCC(=O)NCC(=O)O
"Glycine, N-(N-DL-leucylglycyl)-",96806,,CC(C)CC(C(=O)NCC(=O)NCC(=O)O)N
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",,,
Glycolic acid,757,HMDB0000115,C(C(=O)O)O
Glyoxime,135495951,,C(=NO)C=NO
Guanabenz,5702063,HMDB0014767,C1=CC(=C(C(=C1)Cl)/C=N/N=C(N)N)Cl
Heptadecanoic acid,10465,HMDB0002259,CCCCCCCCCCCCCCCCC(=O)O
Hexanedioic acid,196,HMDB0000448,C(CCC(=O)O)CC(=O)O
Hexanoic acid,8892,HMDB0000535,CCCCCC(=O)O
Hydantoic acid,10020,HMDB0304424,C(C(=O)O)NC(=O)N
Hydracrylic acid,68152,HMDB0000700,C(CO)C(=O)O
Hydroquinidine,91503,,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=C4C=C(C=CC4=NC=C3)OC)O
Hydroquinone,785,HMDB0002434,C1=CC(=CC=C1O)O
Indole-3-carboxaldehyde,10256,HMDB0029737,C1=CC=C2C(=C1)C(=CN2)C=O
Indole-3-lactic acid,92904,,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
Indole-5-carboxylic acid,74280,HMDB0253469,C1=CC2=C(C=CN2)C=C1C(=O)O
"Inosose-2, 1,3,4,5,6-pentakis-",,,
Isofucosterol,5281326,HMDB0002374,C/C=C(/CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)\C(C)C
Isopropyl palmitate,8907,HMDB0035474,CCCCCCCCCCCCCCCC(=O)OC(C)C
Isoxaben,73672,HMDB0253709,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC
Itaconic acid,811,HMDB0002092,C=C(CC(=O)O)C(=O)O
Ketamine,3821,HMDB0015352,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
L-5-Oxoproline,7405,HMDB0000267,C1CC(=O)N[C@@H]1C(=O)O
L-Alanine,5950,HMDB0000161,C[C@@H](C(=O)O)N
L-Asparagine,6267,HMDB0000168,C([C@@H](C(=O)O)N)C(=O)N
L-Aspartic acid,5960,HMDB0000191,C([C@@H](C(=O)O)N)C(=O)O
L-Cysteine,5862,HMDB0000574,C([C@@H](C(=O)O)N)S
L-Glutamic acid,33032,HMDB0000148,C(CC(=O)O)[C@@H](C(=O)O)N
l-Histidine ethyl ester,,,
L-Hydroxyproline,5810,HMDB0000725,C1[C@H](CN[C@@H]1C(=O)O)O
L-Isoleucine,6306,HMDB0000172,CC[C@H](C)[C@@H](C(=O)O)N
L-Leucine,6106,HMDB0000687,CC(C)C[C@@H](C(=O)O)N
"L-Lysine, ethyl ester ",107469,,CCOC(=O)[C@H](CCCCN)N
L-Norleucine,21236,HMDB0001645,CCCC[C@@H](C(=O)O)N
L-Threitol,445969,,C([C@@H]([C@H](CO)O)O)O
L-Tryptophan,6305,HMDB0000929,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
"L-Tryptophan, N-acetyl-1",,,
Lactic Acid,612,,CC(C(=O)O)O
Latanoprost lactone diol,10267038,,C1[C@H]([C@@H]([C@@H]2[C@H]1OC(=O)C2)CC[C@H](CCC3=CC=CC=C3)O)O
Levulinic acid,11579,HMDB0000720,CC(=O)CCC(=O)O
Malic acid,525,,C(C(C(=O)O)O)C(=O)O
Metanephrine,21100,HMDB0004063,CNCC(C1=CC(=C(C=C1)O)OC)O
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",597469,,COC1=C(C=C(C=C1)C(C(=O)OC)O)OC
Methyl alpha-Lyxofuranoside,,,
Methyl aminoacetate,69221,HMDB0254591,COC(=O)CN
Methyl isovanillate,4056967,,COC1=C(C=C(C=C1)C(=O)OC)O
Methyl-3-methoxy-5-methyl benzoate,13834966,,CC1=CC(=CC(=C1)OC)C(=O)OC
Methylmalonic monoamide,19373131,,CC(C(=O)N)C(=O)O
