metabolite	pubchem_id
Pyrogallol	1057
beta-Arabinopyranose	
1,4-Butanediol	8064
Arabinofuranose, 1,2,3,5-tetrakis	
Ethyl alpha-D-glucopyranoside	9815668
2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester	
Thr-Leu	7021828
Menthol	1254
Pentadecanoic acid	13849
6-Hydroxyhexanoic acid	14490
Dihydrouracil	649
D-(-)-Ribofuranose	
Decanoic acid	2969
Ribonic acid	5460677
D-Ribose	10975657
Hymexazole	24781
Glycerol tricaprylate	10850
N-Acetyl-L-glutamic acid	70914
Monolaurin	14871
Phloretic acid	10394
L-5-Oxoproline	7405
Tyrosine	6057
4-Pyridinol	12290
5-Hydroxymethyl-2-furoic acid	80642
alpha-Tocopheryl acetate	86472
Citric acid	311
5-Oxohexanoic Acid	18407
9-Octadecenamide	1930
alpha-Linolenic acid	5280934
Deoxycholic Acid	222528
D-Fructose	2723872
Glyceric acid	752
Octanoic acid	379
Sebacic acid	5192
Acetamide, N-(2-butyl)-N-methyl-	
Idoxuridine	5905
L-(+)-Lactic acid	107689
Xylose	135191
2,5-Dimethoxyphenol	5314498
1,3-Dioxane, 2,2-dimethyl-5-hydroxy-	11029884
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one	4635870
Palmitic Acid	985
13-Docosenamide	8214
17-alpha-Hydroxypregnenolone	91451
3-Hydroxy-2,3-dihydromaltol	119838
8-Hydroxy-5-(hydroxymethyl)quinoline	
D-Mannopyranose	18950
Uridine	6029
3-Aminobutanoic acid	10932
Erythritol	222285
2,5-Dimethoxybenzhydrazide	140304
Cyclohexanol	7966
Hexadecanoic acid, tetradecyl ester	78294
Monomethyl succinate	77487
2-Furanacetaldehyde, tetrahydro-alpha	
Niacin	938
Nonanoic acid	8158
Myristic acid	11005
beta-D-Galactopyranoside, methyl-, acetate	
Propane, 2-methyl	6360
Xylonic acid, delta-lactone	
1-Monopalmitin	14900
3-Hydroxyisovaleric acid	69362
3-Methyl-2-furoic acid	78127
Pyridoxic acid	6723
1-Hexacosene	29303
N-Methyl-L-proline	643474
Pentitol, 3-desoxy	
1-Methyl-4-hydroxy-1H-imidazol-2-amine	
2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone	
Glycerol	753
(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol	
1-Hexanol	8103
3-Hydroxybutyric acid	441
Cholesterol	5997
D-(+)-Talofuranose	
D-Erythro-Pentitol, 2-deoxy-	
Glycolic acid	757
Deoxyglucose	108223
1-Tetracosene	82436
Dihydroxyacetone	670
Hexacosanoic acid	10469
12-Oxooctadecanoate	17968486
4-Hydroxyphenyllactic acid	9378
Arabinitol	94154
Butanedioic acid	1110
Ketamine	3821
L-Glutamine	5961
1-Propanamine, N,N-diethyl-	78206
alpha-L-(-)-Fucopyranose	
Azelaic acid	2266
Campesterol	173183
D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate	
3-Hydroxypicolinic acid	13401
Ethanamine	6341
2-Palmitoylglycerol	123409
4-Hydroxybutanoic acid	10413
Phloroglucinol	359
Isonicotinic Acid	5922
3-Carboxymethyl-6-benzyl-2,5-diketopiperazine	119494
5-ethyl-2-indolecarboxylic acid	269697
