metabolite	pubchem_id
4-Methylvaleric acid	12587
4-Oxohexanoic acid	3799774
4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one	177746
4-tert-Butyldimethylsiloxy-3-penten-2-one	593794
5-Aminovaleric acid	138
5-Azacytosine	19956
5-Chlorovaleric acid, nonyl ester	521410
5-Ethyl-5-methylnonadecane	53839399
5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone	5378143
5-Nitroso-8-quinolinol	19103
5-Oxohexanoic Acid	18407
6,7,4'-Trihydroxyisoflavone	5284649
6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol 	46697
6-Methyluracil	12283
6-Nitroveratryl alcohol	66097
6-Oxoheptanoic acid	98810
7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic acid	91886114
7-Hydroxy-4-(methoxymethyl)coumarin	5393168
8-Acetyl-7-hydroxycoumarin	5411574
8-Methylnonanoic acid	111470
9,12-Octadecadienoic acid (Z,Z)	
9H-Xanthen-9-one, 1-hydroxy-3,5,6-trimethoxy	5378599
9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester 	11167229
Acetic acid	176
Aceturic acid	10972
Aconitic acid	309
Adenine	190
Adipic acid	196
Adipoyl-L-carnitine	91826562
alpha-Hydroxyisobutyric acid	11671
Allylescaline	44719469
Aminoguanidine	2146
Aniline	6115
Azelaic acid	2266
Aziridine, 1-(2-buten-2-yl)	
Benz[a]anthracene-1,7,12(2H)-trione, 3,4-dihydro-8-hydroxy-3-methyl-, (3S)	
Benz[c]acridine, 5,10-dimethyl	620905
Benzaldehyde, 2,5-dimethoxy	
Benzene, 1,4-dimethoxy	
Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)	
Benzene, 1-ethyl-3,5-dimethyl	
Benzeneacetic acid	999
Benzenepropanoic acid	107
Benzenesulfonamide, N-butyl	
Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester 	606316
Benzoic acid, methyl ester	7150
Benzoic Acid	243
Benzophenone	3102
Benzyl alcohol	244
Biphenyl	7095
Butachlor ESA	
Butanedioic acid	1110
Butylmethylamine	8068
Butyric Acid	264
Chlorobenzilate 	10522
Cholesterol	5997
cis-2-Decenoic acid	5356596
Citramalic acid	1081
Crotonic acid	637090
Curcumin	969516
Cyclobutylamine	75645
Cyclocurcumin	69879809
Cycloheptanol	10399
Cyclohexanone, 3,3,5-trimethyl	13398
Cyclooctylamine	2903
Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester	102861
Desmethylverapamil	
Diacetyl monoxime	6409633
Dibutyldodecylamine	3534665
Diclofenac	3033
Diethylamine	8021
DL-Glyceraldehyde	751
DL-p-Hydroxyphenyllactic acid	9378
Dodecanoic acid, 1-methylethyl ester	25068
Dodecanoic acid	3893
D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-	11754987
Durapan	1983
Erythrono-1,4-lactone	5325915
Ethanolamine	700
Formamide	713
Frangulin	135454
Glabridin	124052
Glyceric acid	752
Glycerol	753
Glycine	750
Glycolic acid	757
Guanosine	135398635
Heptanedioic acid	385
Heptanoic acid	8094
Heptylamine	8127
Hexacosanoic acid	10469
Hexanoic acid	8892
Hydracrylic acid	68152
Hydroxylamine	787
Hypoxanthine	135398638
Iminodiacetic acid	8897
Indoprofen	3718
Isobutanol	6560
Isonicotinic Acid	5922
Isopropyl palmitate	8907
Isopropylamine	6363
Isosorbide	12597
Ketamine	3821
L-(+)-Threose	
Lactic acid	612
L-Alanine	5950
L-Asparagine	6267
L-gamma-Glutamyl-L-glutamic acid	92865
Leucylglycine	79070
Levulinic acid	11579
L-Glutamic acid	33032
L-Glutamine	5961
Lignoceric acid	11197
L-Leucine	6106
l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester	91733016
L-Lysine	5962
L-Norleucine	21236
l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester	91721610
L-Ornithine	6262
L-Pyroglutamic acid	7405
L-Serine	5951
L-Threonine	6288
L-Tryptophan	6305
L-Tyrosine	6057
Luciferin	92934
Lupinine	91461
L-Valine	6287
L-Val-L-Leu	6993118
Malic acid	525
Maltol	8369
Methanesulfonic acid	6395
Methyl lactate	11040
Methylsuccinic acid	10349
Methylthiouracil	667493
Mevalonolactone	6419891
Monocaproin	164635
m-Toluic acid	7418
Myristic acid	11005
N,N-Dimethyl-2-aminoethanol	7902
N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine	6875502
N-Acetylaminoethanol	
N-Acetylaspartic acid	65065
N-Acetyl-L-alanine	88064
Naringenin 4',7-dimethylether	
N-Caffeoyl-O-methyltyramine	10403282
N-Ethylamphetamine	9982
N-Ethyldiethanolamine	8769
Niacin	938
Niacinamide	936
N-Isobutyrylglycine	10855600
N-Methylacetamide	6582
Nonanoic acid	8158
Norephedrine	10297
Norketamine	123767
Octacosanol	68406
Octadecanoic acid, octyl ester	30916
Octadecanoic acid	5281
Octanoic acid	379
Octocrylene	22571
Oleamide	5283387
Oleic Acid	445639
Olomoucine	4592
Oxalic acid	971
Oxalic acid, di(cyclohexylmethyl) ester	6420639
Palmitic Acid	985
Pentadecanoic acid	13849
Pentanedioic acid	743
Pentanoic acid	7991
Phenol, 2,4-bis(1-methyl-1-phenylethyl)-	76013
Phenol	996
Phenoxyethanol	31236
Phosphoserine	68841
Phthalazin-1-one	8394
Phthalimide	6809
Phytanic acid	26840
Picolinic acid	1018
Pinosylvin	5280457
Pipecolic acid	849
Piperazine, 1-(4-acetylphenylsulfonyl)-4-methyl-	567241
Praziquantel	4891
Pro-Ala-Lys	10267656
Prometryne	4929
Propanoic acid	1032
Propionic acid, 3-iodo-, octadecyl ester	91692911
Propylene glycol	1030
Prostaglandin	
Pyrazole[4,5-b]imidazole, 1-formyl-3-ethyl-6-beta-d-ribofuranosyl-	
Quinoxaline, 2,3-diphenyl- 	74311
Salsoline	40010
Sarcosine	1088
Simetryn	13905
Spiroxamine	86160
Stearic acid	5281
Suberic acid	10457
Succinamide	8036
Sulindac	1548887
Supraene	638072
Synephrine	7172
Taurine	1123
tert-Butylamine	6385
Tetrahydro[2,2']bifuranyl-5-one	551231
Tetrahydro-solasodine triacetate	587726
Theobromine	5429
Thymol	6989
Triethyl citrate	6506
Trimethylolpropane	6510
Tromethamine	6503
Tyr-Val	7009560
Uracil	1174
Urea	1176
Vanillylmandelic acid	1245
Weberine, 5-desmethoxy-	616877
Xylazine	5707
Yangonin	5281575
Pyrrolidine-1,2-dicarboxylic acid	14794868
methoxamine	6082
4-Methylpyrazole	3406
1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-, diethyl ester	
(Z)-1,3-diphenylpent-1-en-1-ol	
2,3-Butanediol monoacetate	143344
Dimethylhydantion	
2-Hydroxybutyric acid	11266
2-Methylcyclohexylamine	23432
2-Oxiraneethanol acetate	
phenolphthalein	4764
3,5-Dimethoxy-4-hydroxybenzaldehyde	8655
2-ethylbutane-1,3-diol	47955
5-Ethyl-1,3-dioxane-5-methanol	78860
5-Nonanol	12202
6-Aminocaproic acid	564
9-Ethyl-9H-carbazol-3-amine	8588
Cytosine	597
Glycine	750
5-methyl-2,3-dihydro-1,2-oxazol-3-ol	89225247
Kojic acid	3840
L-Histidine	6274
Benzenemethanol, 4-hydroxy-alpha-(1-(methylamino)ethyl)-	9701
Norleucine	21236
Oxymorphone	5284604
3-Hydroxyisobutyric acid	87
Propanoic acid	1032
(Z)-2-hydroxyhex-2-enoic acid	
