cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000105382-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.914529188,0.003915773,7,,,1,-0.2,0.747060078,5,-0.843303165,0.000292583,13,2,True,-,-1,0.069788514
ENSMUSG00000005514-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.738768719,0.057858497,7,,,1,-0.9,0.037386073,5,-0.833563375,0.00039967,13,2,True,-,-1,0.075980351
ENSMUSG00000026623-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.198206242,0.670085034,7,,,1,-1.0,1.3999999999999999e-24,5,-0.811555101,0.000756523,13,2,True,-,-1,0.096480633
ENSMUSG00000032633-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.162168743,0.728299563,7,,,1,-0.8,0.104088039,5,-0.861073717,0.000156426,13,2,True,-,-1,0.061889587
ENSMUSG00000041012-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.648674973,0.114995981,7,,,1,-0.3,0.623837665,5,-0.847318546,0.000255725,13,2,True,-,-1,0.067071685
ENSMUSG00000024168-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.522543728,0.228877878,7,,,1,-0.6,0.28475698,5,-0.847318546,0.000255725,13,2,True,-,-1,0.067071685
ENSMUSG00000007892-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.144149994,0.757817936,7,,,1,-0.1,0.872888572,5,-0.819808203,0.000601441,13,2,True,-,-1,0.088618622
ENSMUSG00000038084-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.846881215,0.016197127,7,,,1,-0.2,0.747060078,5,-0.817057169,0.000650041,13,2,True,-,-1,0.09017356
ENSMUSG00000042797-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.630656224,0.128887696,7,,,1,-1.0,1.3999999999999999e-24,5,-0.85006958,0.000232679,13,2,True,-,-1,0.067071685
ENSMUSG00000068196-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.270281239,0.557730749,7,,,1,-1.0,1.3999999999999999e-24,5,-0.833563375,0.00039967,13,2,True,-,-1,0.075980351
ENSMUSG00000048330-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.108112496,0.817533266,7,,,1,-0.3,0.623837665,5,-0.825310272,0.000512864,13,2,True,-,-1,0.082465938
ENSMUSG00000045284-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.648674973,0.114995981,7,,,1,-0.8,0.104088039,5,-0.874828888,9.06e-05,13,2,True,-,-1,0.054458719
ENSMUSG00000017286-P,"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",0.522543728,0.228877878,7,0.8,0.2,4,0.522543728,0.228877878,7,0.730372291,0.000577555,18,3,True,+,1,0.086936973
ENSMUSG00000006777-P,1-Octadecanol,-0.342356236,0.452251222,7,-1.0,0.0,3,-0.714285714,0.071343561,7,-0.739423805,0.000693509,17,3,True,-,-1,0.093327794
ENSMUSG00000029878-P,1-Octadecanol,0.612637475,0.143588575,7,1.0,0.0,3,0.75,0.0521814,7,0.796319018,0.00013086,17,3,True,+,1,0.059783548
ENSMUSG00000026483-P,"1-Octanol, 2-butyl-",-0.392857143,0.38331687,7,-1.0,0.0,3,-0.535714286,0.215217456,7,-0.757352941,0.000430216,17,3,True,-,-1,0.078055046
ENSMUSG00000025437-P,"1-Octene, 2-methyl-",0.942857143,0.004804665,6,0.8,0.2,4,0.630656224,0.128887696,7,0.73574508,0.000761369,17,3,True,+,1,0.096656392
ENSMUSG00000051510-P,"1-Octene, 2-methyl-",0.771428571,0.072396501,6,1.0,0.0,4,0.702731221,0.078237454,7,0.771306092,0.000288387,17,3,True,+,1,0.069237195
ENSMUSG00000014075-P,1-Phenethylamine,0.8,0.2,4,0.5,0.666666667,3,0.8,0.104088039,5,0.881118881,0.000152674,12,3,True,+,1,0.061889587
ENSMUSG00000064340-P,1-Phenethylamine,-0.8,0.2,4,-1.0,0.0,3,-0.7,0.188120404,5,-0.916083916,2.84e-05,12,3,True,-,-1,0.035186847
ENSMUSG00000055681-P,"1-Phenyl-1,2-ethanediol",-0.774806218,0.040769463,7,-0.8,0.2,4,-0.545544726,0.205281505,7,-0.746254127,0.000375549,18,3,True,-,-1,0.073907169
ENSMUSG00000032615-P,"1-Phenyl-1,2-ethanediol",-0.702731221,0.078237454,7,-0.8,0.2,4,-0.927426034,0.002620044,7,-0.763825207,0.000224749,18,3,True,-,-1,0.067071685
ENSMUSG00000028655-P,"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",0.927633657,0.007665844,6,,,1,0.828862466,0.021173516,7,0.795584482,0.00066732,14,2,True,+,1,0.09166812
ENSMUSG00000046711-P,"1-Propanamine, N,N-diethyl- ",0.571428571,0.180201989,7,0.2,0.8,4,0.290957187,0.526695193,7,0.717391689,0.000803927,18,3,True,+,1,0.09748109
ENSMUSG00000026273-P,"1-Propanamine, N,N-diethyl- ",-0.857142857,0.013697327,7,-1.0,0.0,4,-0.272772363,0.553960652,7,-0.720041707,0.000752529,18,3,True,-,-1,0.096480633
ENSMUSG00000024740-P,"1-Propanamine, N,N-diethyl- ",-0.607142857,0.148231161,7,-0.4,0.6,4,-0.381881308,0.397917325,7,-0.778926035,0.000139514,18,3,True,-,-1,0.059783548
ENSMUSG00000064294-P,"1-Propanamine, N,N-diethyl- ",0.714285714,0.071343561,7,0.4,0.6,4,0.56372955,0.187496332,7,0.752066517,0.000318344,18,3,True,+,1,0.0703847
ENSMUSG00000056952-P,"1,1'-Biphenyl, 3,4-diethyl-",-0.737864787,0.262135213,4,-1.0,0.0,4,-0.4,0.6,4,-0.886165982,0.000123989,12,3,True,-,-1,0.058325912
ENSMUSG00000020135-P,"1,2-Benzenedicarboxylic acid",0.8,0.104088039,5,0.8,0.2,4,0.181848242,0.696363834,7,0.764360181,0.000564892,16,3,True,+,1,0.08621001
ENSMUSG00000023967-P,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-0.771428571,0.072396501,6,,,0,-0.9,0.037386073,5,-0.872727273,0.000454615,11,2,True,-,-1,0.078582552
ENSMUSG00000061838-P,"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",-0.75,0.0521814,7,-1.0,0.0,3,-0.102597835,0.869597921,5,-0.77033096,0.000778573,15,3,True,-,-1,0.09748109
ENSMUSG00000042745-P,"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",-0.678571429,0.093750254,7,-1.0,0.0,3,-0.410391341,0.492535782,5,-0.777480203,0.000645877,15,3,True,-,-1,0.089999952
ENSMUSG00000070643-P,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",0.714285714,0.110787172,6,0.4,0.6,4,0.8,0.2,4,0.863736264,6.85e-05,14,3,True,+,1,0.048092647
ENSMUSG00000001687-P,"1,3,5-Benzetriol",0.810843716,0.026916329,7,,,2,0.371428571,0.468478134,6,0.775692892,0.000677183,15,2,True,+,1,0.092513411
ENSMUSG00000051074-P,"1,3,5-Benzetriol",0.756787469,0.048905099,7,,,2,0.485714286,0.328723032,6,0.807864487,0.000269119,15,2,True,+,1,0.067824761
ENSMUSG00000001054-P,"1,3,5-Benzetriol",-0.882918713,0.008450342,7,,,2,-0.657142857,0.156174927,6,-0.777480203,0.000645877,15,2,True,-,-1,0.089999952
ENSMUSG00000020491-P,"1,3,5-Benzetriol",0.72074997,0.067634995,7,,,2,0.485714286,0.328723032,6,0.778175313,0.000634025,15,2,True,+,1,0.089710904
ENSMUSG00000072763-P,"1,3,5-Benzetriol",0.828862466,0.021173516,7,,,2,0.771428571,0.072396501,6,0.85790919,4.3e-05,15,2,True,+,1,0.03908742
ENSMUSG00000020135-P,"1,3,5-Trimethyl-1H-pyrazol-4-amine",1.0,1.3999999999999999e-24,5,0.5,0.666666667,3,0.5,0.253169995,7,0.810714286,0.000246008,15,3,True,+,1,0.067071685
ENSMUSG00000038545-P,"1,3,5-Trimethyl-1H-pyrazol-4-amine",-0.7,0.188120404,5,-1.0,0.0,3,-0.357142857,0.431611352,7,-0.771428571,0.000756875,15,3,True,-,-1,0.096480633
ENSMUSG00000051297-P,"1,3,5-Trimethyl-1H-pyrazol-4-amine",0.9,0.037386073,5,,,3,0.396412484,0.37863471,7,0.767219558,0.000842837,15,2,True,+,1,0.09748109
ENSMUSG00000035293-P,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",1.0,0.0,3,,,2,0.5,0.666666667,3,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000030304-P,"1,5-Anhydroglucitol",-0.376851173,0.46148284,6,-0.8,0.2,4,-0.49280538,0.320632583,6,-0.771723959,0.000462055,16,3,True,-,-1,0.079729378
ENSMUSG00000035941-P,10-Heptadecenoic acid,0.4,0.6,4,1.0,0.0,4,,,0,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000026623-P,10-Heptadecenoic acid,1.0,0.0,4,1.0,0.0,4,,,0,1.0,0.0,8,2,True,+,1,0.0
ENSMUSG00000014075-P,10-Heptadecenoic acid,1.0,0.0,4,0.8,0.2,4,,,0,0.976190476,3.31e-05,8,2,True,+,1,0.035186847
ENSMUSG00000024687-P,10-Heptadecenoic acid,0.8,0.2,4,0.8,0.2,4,,,0,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000024800-P,10-Heptadecenoic acid,0.8,0.2,4,0.8,0.2,4,,,0,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000042594-P,10-Heptadecenoic acid,0.8,0.2,4,0.8,0.2,4,,,0,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000020546-P,10-Heptadecenoic acid,0.8,0.2,4,1.0,0.0,4,,,0,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000037408-P,10-Heptadecenoic acid,0.8,0.2,4,1.0,0.0,4,,,0,0.928571429,0.000862968,8,2,True,+,1,0.09748109
ENSMUSG00000015461-P,12-Oxooctadecanoate,-0.571428571,0.180201989,7,-1.0,0.0,3,-0.81167945,0.049857585,6,-0.81089058,0.000138406,16,3,True,-,-1,0.059783548
ENSMUSG00000031751-P,12-Oxooctadecanoate,-0.607142857,0.148231161,7,-1.0,0.0,3,-0.434828277,0.3888653,6,-0.765268787,0.000551268,16,3,True,-,-1,0.085313946
ENSMUSG00000029550-P,12-Oxooctadecanoate,-0.571428571,0.180201989,7,-1.0,0.0,3,-0.869656553,0.024376892,6,-0.793230531,0.000245875,16,3,True,-,-1,0.067071685
ENSMUSG00000030605-P,12-Oxooctadecanoate,-0.642857143,0.119392373,7,-1.0,0.0,3,-0.753702346,0.083523281,6,-0.787343848,0.000294261,16,3,True,-,-1,0.069788514
ENSMUSG00000017221-P,12-Oxooctadecanoate,-0.857142857,0.013697327,7,-1.0,0.0,3,-0.463816829,0.354164298,6,-0.81089058,0.000138406,16,3,True,-,-1,0.059783548
ENSMUSG00000004285-P,12-Oxooctadecanoate,-0.785714286,0.036238463,7,-1.0,0.0,3,-0.81167945,0.049857585,6,-0.816777263,0.000112789,16,3,True,-,-1,0.056988561
ENSMUSG00000030286-P,12-Oxooctadecanoate,-0.607142857,0.148231161,7,-1.0,0.0,3,-0.898645105,0.014888622,6,-0.881530776,6.39e-06,16,3,True,-,-1,0.015275194
ENSMUSG00000021990-P,12-Oxooctadecanoate,-0.535714286,0.215217456,7,-1.0,0.0,3,-0.927633657,0.007665844,6,-0.772627141,0.000450582,16,3,True,-,-1,0.078582552
ENSMUSG00000066595-P,13-Docosenamide,-0.48650623,0.268248562,7,-1.0,0.0,3,-0.630061919,0.129359708,7,-0.80024963,0.000114463,17,3,True,-,-1,0.056988561
ENSMUSG00000025474-P,"15-Oxo-11Z,13E-eicosadienoic acid",0.840668002,0.036057573,6,,,2,0.846881215,0.016197127,7,0.847944112,6.52e-05,15,2,True,+,1,0.048092647
ENSMUSG00000051074-P,"15-Oxo-11Z,13E-eicosadienoic acid",0.81167945,0.049857585,6,,,2,0.882918713,0.008450342,7,0.806799144,0.000278202,15,2,True,+,1,0.068741648
ENSMUSG00000049739-P,"15-Oxo-11Z,13E-eicosadienoic acid",0.782690898,0.065703848,6,,,2,0.270281239,0.557730749,7,0.796065674,0.000384536,15,2,True,+,1,0.074243221
ENSMUSG00000030060-P,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",,,2,-0.316227766,0.683772234,4,-0.774806218,0.040769463,7,-0.922868516,6.95e-06,13,2,True,-,-1,0.015648289
ENSMUSG00000005510-P,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",,,2,0.316227766,0.683772234,4,0.612637475,0.143588575,7,0.81267526,0.000733803,13,2,True,+,1,0.09525589
ENSMUSG00000058351-P,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",,,2,0.948683298,0.051316702,4,0.846881215,0.016197127,7,0.909094359,1.67e-05,13,2,True,+,1,0.025849064
ENSMUSG00000071072-P,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",-0.535714286,0.215217456,7,-0.948683298,0.051316702,4,-0.828862466,0.021173516,7,-0.741735933,0.000425772,18,3,True,-,-1,0.078055046
ENSMUSG00000034647-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.695725243,0.124789337,6,,,1,1.0,0.0,3,0.90577926,0.000307323,10,2,True,+,1,0.070192523
ENSMUSG00000102142-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.664211164,0.150200422,6,,,1,1.0,0.0,3,0.876630082,0.000871017,10,2,True,+,1,0.09748109
ENSMUSG00000029623-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.927633657,0.007665844,6,,,1,1.0,0.0,3,0.917937371,0.00017953,10,2,True,+,1,0.065404371
ENSMUSG00000046351-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.985610761,0.000309086,6,,,1,0.5,0.666666667,3,0.887542094,0.000609666,10,2,True,+,1,0.088618622
ENSMUSG00000031922-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.695725243,0.124789337,6,,,1,1.0,0.0,3,0.924016426,0.000132953,10,2,True,+,1,0.059783548
ENSMUSG00000021709-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.927633657,0.007665844,6,,,1,0.5,0.666666667,3,0.887542094,0.000609666,10,2,True,+,1,0.088618622
ENSMUSG00000030216-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.741249317,0.05657714,7,,,1,0.214285714,0.644511581,7,0.770614269,0.000772925,15,2,True,+,1,0.097274571
ENSMUSG00000004895-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.815374248,0.02539921,7,,,1,0.642857143,0.119392373,7,0.774198521,0.000704293,15,2,True,+,1,0.09401269
ENSMUSG00000039883-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,-0.630061919,0.129359708,7,,,1,-0.714285714,0.071343561,7,-0.838715065,9.34e-05,15,2,True,-,-1,0.054717432
ENSMUSG00000001687-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.704186851,0.077350248,7,,,1,0.892857143,0.006807187,7,0.84588357,7.08e-05,15,2,True,+,1,0.048329771
ENSMUSG00000051074-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.88949918,0.007339426,7,,,1,0.785714286,0.036238463,7,0.820793803,0.0001769,15,2,True,+,1,0.065404371
ENSMUSG00000038084-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.518874522,0.232753919,7,,,1,0.571428571,0.180201989,7,0.802872541,0.000313874,15,2,True,+,1,0.070312975
ENSMUSG00000031617-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.88949918,0.007339426,7,,,1,0.642857143,0.119392373,7,0.827962308,0.000138184,15,2,True,+,1,0.059783548
ENSMUSG00000040661-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.741249317,0.05657714,7,,,1,0.678571429,0.093750254,7,0.849467822,6.13e-05,15,2,True,+,1,0.047630497
ENSMUSG00000072763-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,0.88949918,0.007339426,7,,,1,0.392857143,0.38331687,7,0.792119783,0.000431114,15,2,True,+,1,0.078055046
ENSMUSG00000039883-P,"2-Allyl-1,4-dimethoxybenzene",-0.892857143,0.006807187,7,,,1,-0.738768719,0.057858497,7,-0.848972636,6.25e-05,15,2,True,-,-1,0.047630497
ENSMUSG00000014846-P,"2-Allyl-1,4-dimethoxybenzene",-0.714285714,0.071343561,7,,,1,-0.522543728,0.228877878,7,-0.766756338,0.000852762,15,2,True,-,-1,0.09748109
ENSMUSG00000038135-P,"2-Allyl-1,4-dimethoxybenzene",-0.821428571,0.023448808,7,,,1,-0.709090909,0.074400936,7,-0.780271883,0.000599342,15,2,True,-,-1,0.088618622
ENSMUSG00000021585-P,2-Amino-4-methylphenol,0.7,0.188120404,5,0.5,0.666666667,3,0.464285714,0.293934108,7,0.764285714,0.00090731,15,3,True,+,1,0.098452429
ENSMUSG00000026623-P,2-Amino-4-methylphenol,0.8,0.104088039,5,0.5,0.666666667,3,0.642857143,0.119392373,7,0.814285714,0.000219366,15,3,True,+,1,0.067071685
ENSMUSG00000024687-P,2-Amino-4-methylphenol,0.8,0.104088039,5,1.0,0.0,3,0.642857143,0.119392373,7,0.835714286,0.000104447,15,3,True,+,1,0.056988561
ENSMUSG00000039883-P,2-Amino-4-methylphenol,-0.8,0.104088039,5,-1.0,0.0,3,-0.857142857,0.013697327,7,-0.9,4.87e-06,15,3,True,-,-1,0.013041871
ENSMUSG00000038135-P,2-Amino-4-methylphenol,-0.9,0.037386073,5,-0.866025404,0.333333333,3,-0.882918713,0.008450342,7,-0.832466216,0.000117643,15,3,True,-,-1,0.056988561
ENSMUSG00000056952-P,2-Aminoadipic acid,,,2,-1.0,0.0,4,-0.5,0.666666667,3,-0.9,0.000943062,9,2,True,-,-1,0.098452429
ENSMUSG00000070643-P,2-Aminoadipic acid,,,2,0.4,0.6,4,1.0,0.0,3,0.9,0.000943062,9,2,True,+,1,0.098452429
