Metabolite 1,Metabolite 2,VECPAC r,VECPAC p-values,VECPAC_n,DSS r,DSS p-values,DSS_n,LPS r,LPS p-values,LPS_n,Consistent?,Meta-analysis_validity,Meta-Analysis p-value,meta_r,edge_dir,FDR
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","1,4-Butanediol",0.558759688,0.024456324,16,0.761904762,0.028004939,8,,,0,False,True,0.006875104,0.660332225,1,0.036319981
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",10-Heptadecenoic acid,0.727272727,0.011204967,11,0.555810098,0.075841609,11,,,0,False,True,0.007547002,0.641541413,1,0.039211684
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(2,5-Dimethoxy-phenyl)-propionaldehyde",0.589850531,0.009978547,18,0.730593607,0.010660113,11,,,0,False,True,0.001415883,0.660222069,1,0.009661796
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(Decanoyloxy)propane-1,3-diyl dioctanoate",0.688558316,0.019136082,11,1.0,0.0,3,,,0,False,True,0.0,0.844279158,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Ethyl-3-hydroxypropionic acid,0.515511892,0.028550111,18,0.69047619,0.057990318,8,,,0,False,True,0.010075274,0.602994041,1,0.049194698
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",0.635470527,0.004595526,18,0.9,0.037386073,5,,,0,False,True,0.00416349,0.767735264,1,0.024244922
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-2-methylbutyric acid,0.32660473,0.185897381,18,1.0,0.0,3,,,0,False,True,0.0,0.663302365,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-5-methoxybenzaldehyde,0.542626872,0.019978484,18,0.652968037,0.029386341,11,,,0,False,True,0.003985272,0.597797454,1,0.023401444
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Methyl-4-pentenoic acid,0.43980344,0.077303521,17,0.803652968,0.00287903,11,,,0,False,True,0.00632431,0.621728204,1,0.033987358
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Propanone, bis(1-methylethyl)hydrazone",1.0,0.0,3,0.707317073,0.022146454,10,,,0,False,True,0.0,0.853658537,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.529472596,0.023839117,18,0.937246698,0.000191631,9,,,0,False,True,0.002703893,0.733359647,1,0.016882151
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2,4-Diamino-6,7-dimethylpteridine",0.756072452,0.000283344,18,0.601368303,0.050338167,11,,,0,False,True,0.000384488,0.678720378,1,0.00295741
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Hexenedinitrile,0.564341161,0.014697553,18,0.648401826,0.030934,11,,,0,False,True,0.003194956,0.606371494,1,0.019470561
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Nonen-1-ol,0.660379757,0.007370904,15,0.612637475,0.143588575,7,,,0,False,True,0.00669511,0.636508616,1,0.035568
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",0.633976454,0.026840944,12,0.862804878,0.001309122,10,,,0,False,True,0.001936633,0.748390666,1,0.012651209
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.549456903,0.018178081,18,0.812785388,0.00235656,11,,,0,False,True,0.001455275,0.681121146,1,0.009883919
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",5-Hydroxyquinoline,0.627788527,0.00527977,18,0.419135484,0.199439119,11,,,0,False,True,0.006212355,0.523462005,1,0.03352174
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",0.527072145,0.052785312,14,0.666666667,0.025070922,11,,,0,False,True,0.008324422,0.596869406,1,0.042362083
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Aceturic acid,0.575348464,0.064036882,11,0.801829268,0.005271571,10,,,0,False,True,0.005828661,0.688588866,1,0.031814772
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",alpha-Tocopherol,0.678036266,0.00198445,18,0.678817251,0.021636578,11,,,0,False,True,0.000624932,0.678426759,1,0.004632534
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzimidazole, 5-trifluoromethyl-2-methyl-",0.620155122,0.006039553,18,0.592256662,0.054880835,11,,,0,False,True,0.002352983,0.606205892,1,0.014976718
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzoic acid, pentadecyl ester",0.565217694,0.01451043,18,0.638300821,0.047024453,10,,,0,False,True,0.004275559,0.601759258,1,0.024780182
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Benzophenone,0.606037292,0.007677625,18,0.651482328,0.029883783,11,,,0,False,True,0.001911517,0.62875981,1,0.012512097
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol", 5-Hydroxyhexanoic acid,0.624871808,0.005560322,18,0.783105023,0.004364395,11,,,0,False,True,0.000627283,0.703988416,1,0.004647854
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",0.61180157,0.006970252,18,0.808576528,0.008333033,9,,,0,False,True,0.001383162,0.710189049,1,0.009459537
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Carfentrazone-ethyl,0.598170766,0.067742359,10,1.0,0.0,4,,,0,False,True,0.0,0.799085383,1,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Cholest-7-en-3-ol, (3beta,5alpha)-",0.481536714,0.058949111,16,0.723407597,0.018047748,10,,,0,False,True,0.009348499,0.602472156,1,0.046432797
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Cyclohexanol,0.739669816,0.00045055,18,0.756266199,0.00707425,11,,,0,False,True,0.000135511,0.747968008,1,0.001104522
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Cyclopentaneacetic acid, 3-oxo-2-pentyl-",0.477002648,0.045328154,18,0.686933264,0.028205561,10,,,0,False,True,0.008918446,0.581967956,1,0.044824911
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Diphenyl ether,0.664252546,0.00264134,18,0.929223744,3.53e-05,11,,,0,False,True,0.000131398,0.796738145,1,0.001072244
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",DL-Glyceraldehyde,0.65320946,0.003288283,18,0.898219696,0.002438797,8,,,0,False,True,0.000796144,0.775714578,1,0.005768523
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Doconexent,0.700113407,0.001216019,18,0.671280332,0.023724517,11,,,0,False,True,0.000486757,0.685696869,1,0.003682727
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Glyoxime,0.5718575,0.020642659,16,0.680365297,0.021224495,11,,,0,False,True,0.00352788,0.626111398,1,0.021163403
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Isofucosterol,0.651139065,0.003422934,18,0.857142857,0.013697327,7,,,0,False,True,0.001483136,0.754140961,1,0.010049527
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Methyl aminoacetate,0.531298571,0.0232709,18,0.662617043,0.036806402,10,,,0,False,True,0.00554736,0.596957807,1,0.030585191
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Niclosamide,0.66632267,0.002532608,18,0.5785892,0.062207295,11,,,0,False,True,0.001476887,0.622455935,1,0.010015468
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Nonadecanoic acid,0.747531916,0.00135648,15,0.801829268,0.005271571,10,,,0,False,True,0.00032921,0.774680592,1,0.002560149
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Nonanal,0.556130442,0.016545044,18,0.719819635,0.012500905,11,,,0,False,True,0.002304052,0.637975038,1,0.014718667
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Pantolactone,0.681893446,0.001827038,18,0.579908676,0.061472631,11,,,0,False,True,0.001206206,0.630901061,1,0.008364605
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",0.563213645,0.014941068,18,0.814593429,0.004106132,10,,,0,False,True,0.001760894,0.688903537,1,0.011655069
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",phenoxyethanol,0.511892451,0.029882019,18,0.715263815,0.013344488,11,,,0,False,True,0.003982319,0.613578133,1,0.023389698
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Phloroglucinol,0.673218673,0.003055327,17,0.589041096,0.056548577,11,,,0,False,True,0.001653283,0.631129885,1,0.011020017
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Tartronic acid,0.767624669,0.003557617,12,0.800917429,0.00305106,11,,,0,False,True,0.000494938,0.784271049,1,0.003740015
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",0.838338383,0.009323116,8,0.974679434,0.00481823,5,,,0,False,True,0.010157231,0.906508909,1,0.049506297
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Triethanolamine,0.608066184,0.007422329,18,0.782610745,0.004405939,11,,,0,False,True,0.000795776,0.695338464,1,0.005766706
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1.0,1.3999999999999999e-24,5,0.81167945,0.049857585,6,,,0,False,True,0.0,0.905839725,1,0.0
(CH3)2C=NC2H558,"1-Propanamine, N,N-diethyl- ",0.797882973,4.26e-05,19,0.6,0.030170795,13,0.56372955,0.187496332,7,True,True,5.51e-05,0.653870841,1,0.000466312
(CH3)2C=NC2H558,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",0.760752688,0.000990195,15,,,0,0.7,0.188120404,5,False,True,0.002625678,0.730376344,1,0.016464949
(CH3)2C=NC2H558,2-Hydroxy-5-methoxybenzaldehyde,0.831643395,1.02e-05,19,0.517293527,0.070231702,13,0.821428571,0.023448808,7,True,True,2.91e-05,0.723455164,1,0.00025117
(CH3)2C=NC2H558,2-Naphthol,0.92104183,2.24e-08,19,0.514097255,0.087286385,12,0.75,0.0521814,7,True,True,1.25e-05,0.728379695,1,0.000109999
(CH3)2C=NC2H558,"2-Propanone, bis(1-methylethyl)hydrazone",1.0,0.0,3,0.694269384,0.017770053,11,,,0,False,True,0.0,0.847134692,1,0.0
(CH3)2C=NC2H558,"2,4-Diamino-6,7-dimethylpteridine",0.92568305,1.36e-08,19,0.718243006,0.005686559,13,0.892857143,0.006807187,7,True,True,3.06e-07,0.8455944,1,2.8e-06
(CH3)2C=NC2H558,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",0.542328253,0.016443827,19,0.675799087,0.022456316,11,0.900937463,0.005620587,7,True,True,0.00056798,0.706354934,1,0.004239782
(CH3)2C=NC2H558,3-Hexenedinitrile,0.689095173,0.001101141,19,0.522826078,0.066768874,13,0.821428571,0.023448808,7,True,True,0.000203392,0.677783274,1,0.001628626
(CH3)2C=NC2H558,4-(Trimethylsilyoxy)-3-penten-2-one,0.69339207,0.000994554,19,0.66019481,0.014056722,13,0.678571429,0.093750254,7,True,True,8.87e-05,0.677386103,1,0.000736661
(CH3)2C=NC2H558,4-Methoxyphenol,0.415493119,0.076872234,19,0.43430526,0.138100539,13,0.75,0.0521814,7,True,True,0.009603711,0.533266126,1,0.047443917
(CH3)2C=NC2H558,4-Methylvaleric acid,0.572058231,0.010489446,19,0.381221288,0.198714525,13,0.857142857,0.013697327,7,True,True,0.002323548,0.603474125,1,0.014825858
(CH3)2C=NC2H558,"Benzoic acid, methyl ester",0.395582284,0.161503641,14,0.652841028,0.01556093,13,1.0,0.0,4,True,True,0.0,0.682807771,1,0.0
(CH3)2C=NC2H558,"Benzoic acid, pentadecyl ester",0.660502046,0.002082685,19,0.598606393,0.039741281,12,0.607142857,0.148231161,7,True,True,0.000371774,0.622083765,1,0.002866193
(CH3)2C=NC2H558,Benzoic Acid,0.874621827,0.000926789,10,0.790067307,0.001310737,13,0.684712472,0.089666453,7,True,True,7.74e-05,0.783133868,1,0.000646319
(CH3)2C=NC2H558,Butylated Hydroxytoluene,0.791108207,9.24e-05,18,0.611111111,0.026490486,13,0.558581227,0.192452532,7,True,True,8.04e-05,0.653600182,1,0.000670473
(CH3)2C=NC2H558,Butylmethylamine,0.857142857,0.006530017,8,0.498482776,0.142517704,10,1.0,0.0,3,True,True,0.0,0.785208544,1,0.0
(CH3)2C=NC2H558,"Cyclohexanone, 3,3,5-trimethyl-",0.760184433,0.000158547,19,0.711914089,0.00633929,13,0.636468847,0.12431762,7,True,True,2.32e-05,0.702855789,1,0.000201032
(CH3)2C=NC2H558,Dodecanoic acid,0.821303135,1.63e-05,19,0.76058224,0.004077534,12,0.738768719,0.057858497,7,True,True,4.16e-06,0.773551365,1,3.73e-05
(CH3)2C=NC2H558,Eicosapentaenoic acid,1.0,0.0,4,1.0,0.0,3,,,0,False,True,0.0,1.0,1,0.0
(CH3)2C=NC2H558,Pantolactone,0.878200839,7.67e-07,19,0.705400263,0.007069532,13,0.666693722,0.10192046,7,True,True,3.06e-06,0.750098275,1,2.75e-05
(CH3)2C=NC2H558,Phenol,0.86784141,1.48e-06,19,0.553547128,0.049697973,13,0.810843716,0.026916329,7,True,True,1.18e-05,0.744077418,1,0.000103979
(CH3)2C=NC2H558,phenoxyethanol,0.60660793,0.005892835,19,0.580119351,0.037671183,13,0.928571429,0.002519472,7,True,True,0.000295338,0.70509957,1,0.002311007
(CH3)2C=NC2H558,Phlorizin,0.755157254,0.001133922,15,1.0,0.0,3,1.0,0.0,3,True,True,0.0,0.918385751,1,0.0
(pm)-alpha-Tocopherol acetate,"(R*,S*)-2,3-Dihydroxybutanoic acid",1.0,0.0,3,0.985610761,0.000309086,6,,,0,False,True,0.0,0.99280538,1,0.0
(pm)-alpha-Tocopherol acetate,"1-(2,4-Dimethoxyphenyl)-propan-2-one",1.0,0.0,3,0.666666667,0.049867231,9,,,0,False,True,0.0,0.833333333,1,0.0
(pm)-alpha-Tocopherol acetate,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1.0,0.0,3,0.671328671,0.016831456,12,,,0,False,True,0.0,0.835664336,1,0.0
(pm)-alpha-Tocopherol acetate,1-Deoxypentitol,1.0,0.0,3,0.8,0.2,4,,,0,False,True,0.0,0.9,1,0.0
(pm)-alpha-Tocopherol acetate,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",1.0,0.0,3,0.872155453,0.000216175,12,,,0,False,True,0.0,0.936077727,1,0.0
(pm)-alpha-Tocopherol acetate,"1,3,5-Benzetriol",1.0,0.0,3,0.7,0.188120404,5,,,0,False,True,0.0,0.85,1,0.0
(pm)-alpha-Tocopherol acetate,"15-Oxo-11Z,13E-eicosadienoic acid",1.0,0.0,3,0.666666667,0.070987654,8,,,0,False,True,0.0,0.833333333,1,0.0
(pm)-alpha-Tocopherol acetate,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0,0.0,3,1.0,1.3999999999999999e-24,5,,,0,False,True,0.0,1.0,1,0.0
(pm)-alpha-Tocopherol acetate,"2-Allyl-1,4-dimethoxybenzene",1.0,0.0,3,0.9,0.037386073,5,,,0,False,True,0.0,0.95,1,0.0
(pm)-alpha-Tocopherol acetate,2-Ethyl-3-hydroxypropionic acid,1.0,0.0,3,0.523809524,0.182720751,8,,,0,False,True,0.0,0.761904762,1,0.0
(pm)-alpha-Tocopherol acetate,2-Methyl-4-pentenoic acid,1.0,0.0,3,0.788092277,0.002328675,12,,,0,False,True,0.0,0.894046138,1,0.0
(pm)-alpha-Tocopherol acetate,2-Naphthol,1.0,0.0,3,0.590909091,0.055575604,11,,,0,False,True,0.0,0.795454545,1,0.0
(pm)-alpha-Tocopherol acetate,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1.0,0.0,3,0.778119096,0.008033138,10,,,0,False,True,0.0,0.889059548,1,0.0
(pm)-alpha-Tocopherol acetate,"2,3,4-Trihydroxybutyric acid tetrakis",1.0,0.0,3,0.948683298,0.051316702,4,,,0,False,True,0.0,0.974341649,1,0.0
(pm)-alpha-Tocopherol acetate,"2,4-Decadienal",1.0,0.0,3,0.728931276,0.010930388,11,,,0,False,True,0.0,0.864465638,1,0.0
(pm)-alpha-Tocopherol acetate,"2,4-Diamino-6,7-dimethylpteridine",1.0,0.0,3,0.622377622,0.030675895,12,,,0,False,True,0.0,0.811188811,1,0.0
(pm)-alpha-Tocopherol acetate,"2,6-Dimethoxybenzylamine",-1.0,0.0,3,-0.533333333,0.139226868,9,,,0,False,True,0.0,-0.766666667,-1,0.0
(pm)-alpha-Tocopherol acetate,3-Hexenedinitrile,1.0,0.0,3,0.546410645,0.066040604,12,,,0,False,True,0.0,0.773205323,1,0.0
(pm)-alpha-Tocopherol acetate,3-Methyladenine,1.0,0.0,3,0.466666667,0.173938597,10,,,0,False,True,0.0,0.733333333,1,0.0
(pm)-alpha-Tocopherol acetate,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0,0.0,3,0.809108071,0.00143474,12,,,0,False,True,0.0,0.904554035,1,0.0
(pm)-alpha-Tocopherol acetate,4-(Trimethylsilyoxy)-3-penten-2-one,1.0,0.0,3,0.611607798,0.034575696,12,,,0,False,True,0.0,0.805803899,1,0.0
(pm)-alpha-Tocopherol acetate,"4-Fluoroaniline, N-trimethylsilyl-",1.0,0.0,3,0.77758438,0.002910172,12,,,0,False,True,0.0,0.88879219,1,0.0
(pm)-alpha-Tocopherol acetate,4-Hydroxybenzaldehyde,1.0,0.0,3,0.601398601,0.038588453,12,,,0,False,True,0.0,0.800699301,1,0.0
(pm)-alpha-Tocopherol acetate,4-Methylvaleric acid,1.0,0.0,3,0.475524476,0.118175957,12,,,0,False,True,0.0,0.737762238,1,0.0
(pm)-alpha-Tocopherol acetate,5-Hydroxyquinoline,1.0,0.0,3,0.846153846,0.000521134,12,,,0,False,True,0.0,0.923076923,1,0.0
(pm)-alpha-Tocopherol acetate,5-Hydroxytryptophan,1.0,0.0,3,0.563636364,0.089724028,10,,,0,False,True,0.0,0.781818182,1,0.0
(pm)-alpha-Tocopherol acetate,"6,7,4'-Trihydroxyisoflavone",1.0,0.0,3,0.857142857,0.006530017,8,,,0,False,True,0.0,0.928571429,1,0.0
(pm)-alpha-Tocopherol acetate,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1.0,0.0,3,0.676008042,0.015806688,12,,,0,False,True,0.0,0.838004021,1,0.0
(pm)-alpha-Tocopherol acetate,9-Octadecenoic acid,1.0,0.0,3,1.0,1.3999999999999999e-24,5,,,0,False,True,0.0,1.0,1,0.0
(pm)-alpha-Tocopherol acetate,alpha-Linolenic acid,1.0,0.0,3,0.619047619,0.101733037,8,,,0,False,True,0.0,0.80952381,1,0.0
(pm)-alpha-Tocopherol acetate,Benzeneacetic acid,1.0,0.0,3,0.524475524,0.080019376,12,,,0,False,True,0.0,0.762237762,1,0.0
(pm)-alpha-Tocopherol acetate,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0,0.0,3,0.517482517,0.084868771,12,,,0,False,True,0.0,0.758741259,1,0.0
(pm)-alpha-Tocopherol acetate,"Benzoic acid, pentadecyl ester",1.0,0.0,3,0.681818182,0.020842854,11,,,0,False,True,0.0,0.840909091,1,0.0
(pm)-alpha-Tocopherol acetate,Benzophenone,1.0,0.0,3,0.531468531,0.075362335,12,,,0,False,True,0.0,0.765734266,1,0.0
(pm)-alpha-Tocopherol acetate,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1.0,0.0,3,0.714285714,0.071343561,7,,,0,False,True,0.0,0.857142857,1,0.0
(pm)-alpha-Tocopherol acetate, 5-Hydroxyhexanoic acid,1.0,0.0,3,0.753065953,0.004693893,12,,,0,False,True,0.0,0.876532977,1,0.0
(pm)-alpha-Tocopherol acetate,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0,0.0,3,0.762821442,0.016814014,9,,,0,False,True,0.0,0.881410721,1,0.0
(pm)-alpha-Tocopherol acetate,Citric acid,1.0,0.0,3,0.8,0.2,4,,,0,False,True,0.0,0.9,1,0.0
(pm)-alpha-Tocopherol acetate,Cyclohexanol,1.0,0.0,3,0.664335664,0.018452718,12,,,0,False,True,0.0,0.832167832,1,0.0
(pm)-alpha-Tocopherol acetate,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1.0,0.0,3,0.648484848,0.042540128,10,,,0,False,True,0.0,0.824242424,1,0.0
(pm)-alpha-Tocopherol acetate,D-Fructose,1.0,0.0,3,0.811188811,0.001363315,12,,,0,False,True,0.0,0.905594406,1,0.0
(pm)-alpha-Tocopherol acetate,Dinoseb ,1.0,0.0,3,0.948683298,0.051316702,4,,,0,False,True,0.0,0.974341649,1,0.0
(pm)-alpha-Tocopherol acetate,Diphenyl ether,1.0,0.0,3,0.714536998,0.009023925,12,,,0,False,True,0.0,0.857268499,1,0.0
(pm)-alpha-Tocopherol acetate,DL-Glyceraldehyde,1.0,0.0,3,0.738095238,0.036552761,8,,,0,False,True,0.0,0.869047619,1,0.0
(pm)-alpha-Tocopherol acetate,"Dodecanoic acid, 1-methylethyl ester",1.0,0.0,3,0.678571429,0.093750254,7,,,0,False,True,0.0,0.839285714,1,0.0
(pm)-alpha-Tocopherol acetate,"Erythrono-1,4-lactone, (Z)-",1.0,0.0,3,0.623468557,0.030299355,12,,,0,False,True,0.0,0.811734278,1,0.0
(pm)-alpha-Tocopherol acetate,"Ethanol, 2-(9-octadecenyloxy)-",1.0,0.0,3,0.809090909,0.00255858,11,,,0,False,True,0.0,0.904545455,1,0.0
(pm)-alpha-Tocopherol acetate,Glyoxime,1.0,0.0,3,0.816113336,0.001205154,12,,,0,False,True,0.0,0.908056668,1,0.0
