,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC_3302_260124,VECPAC_3353_260124,VECPAC_3369_260124,VECPAC_3673_250124,VECPAC_3674_250124,VECPAC_3675_250124,VECPAC_3677_250124,VECPAC_3678_250124,VECPAC_3679_250124,VECPAC_3680_250124,VECPAC_3688_260124,VECPAC_3697_260124
1-Hydroxy-3-methoxy-6-methylanthraquinone,19.91599258463902,,22.36242904585225,,,22.083540039335475,24.131480788694507,24.131480788694507,23.347029901067888,20.68214447295243,22.42586394085616,23.715597582762086,23.96170339436142,23.96170339436142,23.79182611549095,24.207207247099554,23.96170339436142,24.207207247099554,24.91354820199538
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",23.88488575755639,25.05852323335223,23.79182611549095,23.242736859447106,24.286213584134483,24.207207247099554,22.94234907146313,24.450456888103545,23.96170339436142,24.207207247099554,23.13342641476172,23.657146018107714,23.79182611549095,23.188670856276904,23.513731160519086,24.91354820199538,24.286213584134483,23.569275194584492,23.569275194584492
1-Monoacetin,16.228616609227707,16.52855482367925,14.43193203936262,16.52855482367925,16.096768702232197,15.34840479647482,14.82252358726726,,15.315767170363468,15.097648609267608,15.097648609267608,15.17971282130651,14.04887509097324,,14.69462912360585,15.315767170363468,15.097648609267608,,15.06216893372275
1-Octadecanol,21.536837077244485,22.217637896331325,21.536837077244485,22.083540039335475,22.25454311636915,21.72692569277056,20.909596619453275,,21.4924825260643,21.19107075264044,20.764520586708755,21.436027940821884,20.97208011605648,20.764520586708755,20.796120366639247,21.59232670698472,21.4924825260643,,21.276455057853646
"1-Octanol, 2-butyl-",20.68214447295243,21.06766643052152,18.982455202263463,21.19107075264044,20.282845106291333,20.015400450181136,19.883009781599384,19.40112825360151,20.282845106291333,19.981136793731093,19.428052268837387,20.726772116238248,17.341737961303735,19.165361253897753,19.643014490743155,19.510894133591727,20.521129777544616,19.307757003083296,20.176184762722553
1-Octanol,18.023288474614425,18.54607657424519,18.122745545681454,18.445736051641244,,17.92796028854143,17.55107639663601,,14.318504119606336,17.694233106773762,17.452984868127295,17.89229167697303,17.50757132344384,12.648367971552656,13.108609595893817,18.023288474614425,13.021065974882575,,
"1-Octene, 2-methyl-",21.59232670698472,22.03062413594252,21.72692569277056,21.666820260557778,21.77171271626758,19.81176283367321,20.37293560987165,18.616815534080125,,16.88582275729898,19.81176283367321,20.521129777544616,18.783583416561473,20.176184762722553,19.510894133591727,21.19107075264044,21.536837077244485,,15.845249808229195
"1-Pentene, 3,3-dimethyl-",,,,23.413959076455505,,,,22.94234907146313,,,22.59620392842164,23.044533775765217,,,,,23.715597582762086,23.347029901067888,23.188670856276904
1-Phenethylamine,15.029012160129879,15.132034197194876,,15.513238079863951,,14.562548400415062,,,,14.04887509097324,,,14.498047445791943,,14.097534989379085,,14.43193203936262,,
"1-Phenyl-1,2-ethanediol",22.672666772922494,23.044533775765217,23.242736859447106,21.4924825260643,22.15361929401101,22.98560858642985,22.461852403642705,21.826086982329297,22.15361929401101,22.083540039335475,22.536310350970176,22.94234907146313,22.714432844311936,22.74375232752856,21.03071867276113,22.714432844311936,23.413959076455505,22.217637896331325,22.15361929401101
1-Phenylethanol,,19.082710794944074,,18.920031263707177,,20.048178093508255,,,,,,,,,,,,,
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",20.764520586708755,21.59232670698472,20.13029494729554,21.276455057853646,21.353990801751774,20.213975534351633,20.13029494729554,,19.165361253897753,19.59111089718225,20.250561678826074,20.13029494729554,,19.81176283367321,20.015400450181136,20.213975534351633,20.45780811825055,19.643014490743155,
"1-Propanamine, N,N-diethyl- ",23.96170339436142,24.450456888103545,24.032987222373634,24.450456888103545,24.131480788694507,23.96170339436142,23.657146018107714,23.657146018107714,23.79182611549095,24.131480788694507,22.98560858642985,23.79182611549095,23.715597582762086,23.13342641476172,23.347029901067888,23.88488575755639,24.367377170818397,24.032987222373634,24.131480788694507
1-Tetradecanol,,25.580754511247207,,,,,22.323262053504177,25.201537470981773,24.574684280008256,,,,,,,,,,
"1,1'-Biphenyl, 3,4-diethyl-",12.71541301167215,13.142314848172498,,,12.75629840687443,,,13.021065974882575,12.34252853444541,12.814119138790673,,,11.702999974452922,,11.702999974452922,,12.599692228383176,13.279955504586576,12.401988378273696
"1,2-Benzenedicarboxylic acid",25.81451661405914,26.61703252817343,26.275234453931155,26.047060488642316,25.677586203197585,25.677586203197585,25.122634110113633,24.78851327640558,24.91354820199538,25.390618357577036,25.122634110113633,25.05852323335223,25.489677409059098,24.91354820199538,25.122634110113633,,,24.78851327640558,
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",14.994956784763316,15.717284783435158,,15.869772142624784,15.17971282130651,14.908740008406308,14.016760511899433,,15.097648609267608,,14.908740008406308,14.602831874048219,14.79222004016628,,14.18125130759073,14.954226218124793,14.275597233158507,15.27775971487917,14.79222004016628
"1,2-Butanediol",,,,,,,23.242736859447106,,,,23.347029901067888,23.089706815587537,,,,,21.399214169454186,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",,10.816519025025727,9.093836633449822,,10.057422420940377,,,,,,9.55465740107734,,9.653884326979462,,,,8.035836504586728,9.55465740107734,
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",,,,,,,,,,,,,,,,,,,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",17.75054920086567,18.445736051641244,17.224687891483637,18.023288474614425,17.482898816498015,15.869772142624784,16.596599790336178,17.50757132344384,17.30646749922955,18.445736051641244,17.57582771507508,18.19571481244928,17.482898816498015,17.452984868127295,17.004097576168448,18.354817041878665,18.04262601659242,17.2793330704936,17.18390131300288
"1,2,3-Butanetriol",,,,,,,,,,,,,,,,,,21.826086982329297,22.083540039335475
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",,21.399214169454186,20.796120366639247,21.353990801751774,21.276455057853646,,19.337477715676997,18.584602037981732,18.982455202263463,,19.73026119017532,,19.082710794944074,20.282845106291333,17.2793330704936,19.81176283367321,17.105293528823506,20.45780811825055,19.75929092704027
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",21.932443111260625,21.4924825260643,21.399214169454186,22.15361929401101,21.399214169454186,19.70604811101948,20.97208011605648,20.68214447295243,21.13986814143362,20.726772116238248,20.45780811825055,18.920031263707177,20.68214447295243,20.521129777544616,20.412894326028773,21.826086982329297,22.03062413594252,21.06766643052152,20.851792673206322
"1,3-Cyclohexanebis(methylamine)",,,17.71935181383045,,,18.146732428191484,,,,,,16.62015830441966,,,16.818730054272347,,,,
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",,,13.061337356156647,,14.04887509097324,,13.969017570602182,,,,,,,,,,,,14.04887509097324
"1,3,5-Benzetriol",12.34252853444541,13.061337356156647,13.320509937444335,13.525964325740457,12.648367971552656,12.401988378273696,13.108609595893817,12.973984865736929,12.973984865736929,12.75629840687443,11.54057039968994,11.96445884754241,12.648367971552656,12.010591482384593,11.768591306054258,12.851130005545624,12.401988378273696,13.384242609570157,12.599692228383176
"1,3,5-Trimethyl-1H-pyrazol-4-amine",14.602831874048219,14.752753869048119,,15.845249808229195,,13.969017570602182,13.705036517264892,14.69462912360585,,14.870399381924507,13.142314848172498,15.450219862387353,13.061337356156647,13.021065974882575,13.451920274104108,14.097534989379085,13.927344928519762,,
"1,4-Butanediol",13.384242609570157,13.748949654230755,13.841717174472093,14.04887509097324,,12.89891293860039,,13.384242609570157,13.279955504586576,13.021065974882575,12.648367971552656,12.934235101144486,12.89891293860039,11.768591306054258,12.173869178468715,13.384242609570157,12.934235101144486,13.748949654230755,13.021065974882575
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",15.419080398564928,16.683230452587587,,,16.353057429306126,,,14.37430701565699,15.913007545611654,16.196815076915343,14.954226218124793,14.318504119606336,,15.315767170363468,15.681044372379066,,15.513238079863951,,15.097648609267608
"1,4-Dioxaspiro[4.5]decane",27.04986589051757,,24.574684280008256,27.915056704927547,28.15647018189146,,,,17.89229167697303,,,,,,,15.869772142624784,,,
"1,5-Anhydroglucitol",,,17.482898816498015,,17.425469615628202,,17.075605475683055,,17.341737961303735,17.57582771507508,16.717595862350713,16.410390838522662,17.2793330704936,16.923768456776862,17.55107639663601,17.341737961303735,17.380273325481745,17.18390131300288,17.105293528823506
10-Heptadecenoic acid,13.525964325740457,14.994956784763316,,,14.69462912360585,12.851130005545624,11.852572637105249,14.954226218124793,13.061337356156647,,,12.973984865736929,12.010591482384593,,11.96445884754241,,,,15.419080398564928
10-Nonadecenoic acid,,,,,,11.019132186478824,,,,,,,,,,,,,
12-Hydroxyoctadecanoic acid,,,17.80530050683495,19.557040253405585,17.50757132344384,18.384743776911353,19.165361253897753,19.75929092704027,20.311550126033207,20.851792673206322,17.2793330704936,18.584602037981732,18.023288474614425,18.884904222816214,18.664435456008388,18.384743776911353,19.27750979839458,,17.89229167697303
12-Oxooctadecanoate,15.06216893372275,15.419080398564928,14.994956784763316,15.758803952076102,15.27775971487917,15.717284783435158,14.752753869048119,14.994956784763316,15.248114698344054,19.428052268837387,14.79222004016628,14.870399381924507,14.954226218124793,14.275597233158507,14.562548400415062,15.535519046537786,14.318504119606336,15.17971282130651,15.34840479647482
13-Docosenamide,23.715597582762086,23.569275194584492,23.715597582762086,25.122634110113633,25.201537470981773,22.672666772922494,23.79182611549095,,23.88488575755639,24.032987222373634,23.513731160519086,23.413959076455505,23.413959076455505,23.715597582762086,24.450456888103545,23.715597582762086,24.6788673152338,23.513731160519086,23.347029901067888
"15-Oxo-11Z,13E-eicosadienoic acid",6.263809164395452,9.263169610007262,4.387558178619198,10.290000132823216,7.579160464356385,4.042302684712381,3.8664236798363363,7.579160464356385,8.70137053681611,8.035836504586728,4.650390535140694,5.780781826731148,4.042302684712381,,,4.993422941775118,5.492587507180741,6.626991504049017,5.780781826731148
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",18.445736051641244,,17.2793330704936,19.041809772503246,18.71169549787637,,17.9703152804029,17.9703152804029,,,18.920031263707177,,17.71935181383045,,,19.91599258463902,17.482898816498015,20.68214447295243,19.165361253897753
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",11.702999974452922,13.888768859555105,15.17971282130651,,14.752753869048119,15.21264934573445,14.652475967546629,15.21264934573445,15.987340996624212,16.438081737124296,14.498047445791943,14.498047445791943,15.565468037586037,14.954226218124793,14.994956784763316,15.097648609267608,15.029012160129879,14.318504119606336,14.23656264783452
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",,,,15.097648609267608,14.954226218124793,,,14.318504119606336,,13.841717174472093,,,,13.061337356156647,12.010591482384593,14.135535146186546,,,
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",18.221355320032423,18.221355320032423,18.54607657424519,18.30220491422171,18.167845091610587,17.85323205114088,17.50757132344384,18.413236135757618,18.167845091610587,18.30220491422171,17.425469615628202,18.413236135757618,17.622626845074784,16.88582275729898,17.57582771507508,17.92796028854143,17.425469615628202,17.828171898501733,17.80530050683495
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,,,12.058715523098858,14.994956784763316,15.645101065611946,,,13.748949654230755,,,,12.599692228383176,,,13.061337356156647,13.803768503839452,,,
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",8.31836637721953,,4.993422941775118,10.597362448682182,,4.993422941775118,4.993422941775118,6.626991504049017,8.035836504586728,,,,,1.617489646358388,2.6586105703581726,3.7086074446387345,3.457385813027289,,4.993422941775118
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",,,,,,14.016760511899433,15.535519046537786,,,,,,,15.17971282130651,,,,,
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,6.851944708255062,8.462081508199269,5.492587507180741,9.653884326979462,6.626991504049017,4.387558178619198,4.387558178619198,7.101979900361118,9.093836633449822,8.180980107473209,7.101979900361118,5.492587507180741,4.387558178619198,2.018570402428134,3.7086074446387345,4.387558178619198,4.993422941775118,6.011485675066638,3.7086074446387345
"2-Allyl-1,4-dimethoxybenzene",12.75629840687443,12.401988378273696,12.173869178468715,12.814119138790673,12.45432714538583,12.11766569327182,11.96445884754241,12.851130005545624,13.236992756140435,12.71541301167215,12.973984865736929,12.173869178468715,12.54198645666189,11.019132186478824,11.54057039968994,12.45432714538583,11.768591306054258,12.75629840687443,12.11766569327182
2-Amino-4-methylphenol,17.694233106773762,,16.318348938049894,17.452984868127295,,,16.228616609227707,,17.161130790795806,,,17.380273325481745,16.196815076915343,17.18390131300288,15.717284783435158,,15.535519046537786,,15.565468037586037
"2-Amino-4,6-dihydroxypyrimidine",17.66005726703293,15.681044372379066,19.165361253897753,,,18.584602037981732,18.71169549787637,17.92796028854143,17.50757132344384,17.55107639663601,18.413236135757618,17.425469615628202,18.413236135757618,17.89229167697303,18.584602037981732,17.89229167697303,17.71935181383045,18.099405241402923,17.694233106773762
2-Aminoadipic acid,,,17.55107639663601,,,,17.771453411231228,,,,,,17.075605475683055,,,,,,
2-Aminobutanoic acid,,,,,,25.81451661405914,25.201537470981773,,25.122634110113633,25.05852323335223,23.79182611549095,23.96170339436142,25.122634110113633,24.131480788694507,24.78851327640558,24.6788673152338,25.27942380505664,23.96170339436142,25.390618357577036
2-Butenedioic acid,23.79182611549095,25.390618357577036,23.089706815587537,25.201537470981773,25.27942380505664,24.286213584134483,20.282845106291333,23.715597582762086,24.131480788694507,24.78851327640558,23.657146018107714,22.714432844311936,23.88488575755639,23.413959076455505,23.242736859447106,23.96170339436142,24.131480788694507,23.79182611549095,23.242736859447106
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",,,,,,,,,,,1.358786249705701,,,,,,,,
2-Ethyl-3-hydroxypropionic acid,14.562548400415062,14.498047445791943,13.969017570602182,14.79222004016628,14.275597233158507,13.061337356156647,12.934235101144486,14.18125130759073,14.097534989379085,13.803768503839452,13.661110744431403,13.384242609570157,13.587684171455688,12.599692228383176,13.236992756140435,13.969017570602182,13.451920274104108,13.969017570602182,13.384242609570157
2-Furoic acid,,,13.748949654230755,,,,,,,,12.89891293860039,,12.75629840687443,,12.45432714538583,12.973984865736929,13.841717174472093,13.661110744431403,
"2-Heptanone, 4,6-dimethyl-",,,,,13.021065974882575,11.911089499531661,,,,13.061337356156647,,,,,,12.89891293860039,12.75629840687443,11.911089499531661,12.973984865736929
2-Heptenoic acid,13.888768859555105,14.016760511899433,12.45432714538583,14.43193203936262,13.803768503839452,,13.525964325740457,14.097534989379085,14.275597233158507,13.661110744431403,13.236992756140435,,,12.173869178468715,12.934235101144486,13.451920274104108,13.142314848172498,,
2-Hexen-1-ol,19.484092813707292,20.250561678826074,19.557040253405585,20.13029494729554,19.883009781599384,16.777435758955107,17.85323205114088,19.337477715676997,19.006227470443676,17.161130790795806,16.271278806206077,,,18.745239137098054,19.44973986247903,17.425469615628202,19.643014490743155,,19.196133957377043
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",9.959343445348225,10.915733241355301,10.156959752179517,11.96445884754241,10.504176711825929,8.31836637721953,8.180980107473209,10.290000132823216,11.097644027950611,11.174838890141631,8.927193914649346,8.31836637721953,8.180980107473209,6.626991504049017,7.349333144756701,9.389423714485895,9.093836633449822,9.786396331438558,8.462081508199269
2-Hydroxy-2-methylbutyric acid,16.652414170199286,16.562735290244287,15.942851569939227,16.46608106041675,16.38183820466894,16.88582275729898,16.652414170199286,16.562735290244287,16.717595862350713,16.777435758955107,16.158757824965644,17.18390131300288,16.62015830441966,15.758803952076102,16.096768702232197,16.353057429306126,15.942851569939227,16.438081737124296,16.438081737124296
2-Hydroxy-3-methylbutyric acid,,,,,,20.97208011605648,,,,,,,,,,,,,
2-Hydroxy-5-methoxybenzaldehyde,22.36242904585225,22.74375232752856,22.62758312756071,22.62758312756071,22.498647007706285,22.217637896331325,22.217637896331325,22.25454311636915,22.25454311636915,22.25454311636915,21.982890212151023,21.932443111260625,22.217637896331325,21.59232670698472,21.932443111260625,22.323262053504177,22.36242904585225,22.498647007706285,22.42586394085616
2-Hydroxybutyric acid,13.142314848172498,18.384743776911353,16.128297064816426,18.384743776911353,18.27004821318735,17.694233106773762,17.89229167697303,18.067802151495375,18.099405241402923,17.92796028854143,17.75054920086567,17.527476892874603,17.694233106773762,17.341737961303735,17.71935181383045,18.146732428191484,17.57582771507508,17.9703152804029,18.067802151495375
2-Imidazolidinone,,,,,,,,,,19.643014490743155,,,,,,,,,
2-Isopropyl-5-methyl-1-heptanol ,,,,,18.884904222816214,18.445736051641244,,,,18.81784453532393,,,18.067802151495375,,18.445736051641244,,,18.745239137098054,
2-Ketoisocaproic acid,,,15.513238079863951,15.717284783435158,14.82252358726726,,10.156959752179517,15.805582473336615,15.565468037586037,,15.248114698344054,15.315767170363468,15.27775971487917,14.870399381924507,15.17971282130651,15.681044372379066,15.34840479647482,15.805582473336615,15.315767170363468
2-Methyl-4-pentenoic acid,14.135535146186546,13.969017570602182,14.097534989379085,14.752753869048119,13.927344928519762,14.097534989379085,12.54198645666189,13.236992756140435,14.18125130759073,14.37430701565699,12.851130005545624,13.279955504586576,12.173869178468715,13.279955504586576,12.11766569327182,13.927344928519762,,14.498047445791943,13.451920274104108
2-Methyl-E-7-hexadecene,12.934235101144486,12.814119138790673,,,9.786396331438558,,,,,,,13.320509937444335,,,,14.23656264783452,,,
2-Methylglutaconic acid,19.238178509274245,19.428052268837387,19.238178509274245,20.311550126033207,20.250561678826074,18.71169549787637,18.920031263707177,19.81176283367321,19.75929092704027,,18.54607657424519,19.981136793731093,18.884904222816214,19.27750979839458,19.70604811101948,20.311550126033207,18.783583416561473,18.920031263707177,18.616815534080125
2-Naphthol,17.075605475683055,17.57582771507508,16.353057429306126,17.75054920086567,17.30646749922955,16.158757824965644,15.869772142624784,16.38183820466894,16.128297064816426,16.62015830441966,15.805582473336615,15.987340996624212,15.987340996624212,15.565468037586037,15.845249808229195,16.318348938049894,16.158757824965644,16.158757824965644,15.987340996624212
2-Oxooctanoic acid,,,,,20.048178093508255,,20.412894326028773,19.73026119017532,19.59111089718225,,,,21.4924825260643,19.196133957377043,19.73026119017532,20.37293560987165,,,
"2-Pentenedioic acid, 3-methyl-",,12.34252853444541,,,,,,,,,,11.174838890141631,,,,11.174838890141631,,,10.816519025025727
2-Pentenoic acid,,,,25.390618357577036,,21.77171271626758,21.881386062604122,,,,,,,22.94234907146313,,22.083540039335475,22.42586394085616,,21.59232670698472
2-Piperidinone,,,,,,,,,,,,,,,,,,,
"2-Propanone, bis(1-methylethyl)hydrazone",,,,,,,,,,,21.276455057853646,,,21.13986814143362,,,22.217637896331325,,
"2-Propenamide, 3-phenyl-N-2-propenyl-",,18.616815534080125,,,16.923768456776862,,,18.338252144438364,20.97208011605648,,,18.952843152843755,16.88582275729898,17.161130790795806,16.38183820466894,18.167845091610587,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",13.279955504586576,,,,,,,,,,,,,,,,,,
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",,,,10.057422420940377,,,,,,,,,,1.358786249705701,4.042302684712381,,,16.596599790336178,
2-Pyrrolidinone,18.354817041878665,19.041809772503246,16.271278806206077,18.664435456008388,18.616815534080125,18.167845091610587,16.52855482367925,18.167845091610587,18.584602037981732,18.71169549787637,18.664435456008388,18.783583416561473,16.777435758955107,18.445736051641244,18.783583416561473,19.27750979839458,18.745239137098054,18.71169549787637,18.413236135757618
2-Trimethylsilyloxysebacic acid,,,,,4.650390535140694,,,,,,1.617489646358388,,,,,,,2.33008997616814,
"2,2-Diallylpyrrolidine",14.752753869048119,15.34840479647482,14.79222004016628,,14.994956784763316,14.275597233158507,,,,13.927344928519762,13.748949654230755,13.587684171455688,13.525964325740457,12.934235101144486,13.384242609570157,,,14.04887509097324,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",11.451901464096682,11.911089499531661,11.54057039968994,12.599692228383176,11.702999974452922,9.389423714485895,10.057422420940377,11.451901464096682,11.768591306054258,11.627538463099027,10.156959752179517,10.41465803892945,10.290000132823216,8.180980107473209,9.786396331438558,10.290000132823216,10.672271935739,11.019132186478824,9.389423714485895
