,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"1-Decanol, 2-methyl-",24.99274750497457,25.54861304074636,25.54861304074636,25.114037128917655,25.830536737492952,25.456846018859697,25.346447218319824,24.45243153284123,25.54861304074636,,,,
"1-Decene, 8-methyl-",22.85174109462429,,21.170805030469182,18.6813283179764,19.830388555174856,22.887776930627812,,18.900717658446986,19.490728410067863,,,13.635040517561068,
1-Deoxypentitol,,,,,,,,1.0445488937023468,,9.79517782889924,9.639279878386539,12.240254147292243,14.840453737622385
1-Hexadecanol,20.598247082283425,21.944078744197682,20.267081883265913,19.884317064186444,21.724664897638124,21.902918544862835,20.69686745967054,19.459833110503997,21.724664897638124,,,,
1-Hexanol,,14.978238346418712,,13.056286053658395,13.24504360442354,,13.835109415866004,,,13.503054744425164,13.552372804743326,,
1-Hydroxy-3-methoxy-6-methylanthraquinone,,,,,,,,,,,,14.063524816810936,16.72234370303497
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",24.38950884543929,26.26246064579268,25.23727152069106,25.346447218319824,25.346447218319824,25.54861304074636,25.653757623520484,25.74843576288559,24.95573487933232,26.26246064579268,26.794125067765584,26.88517410245357,25.653757623520484
1-Monoacetin,16.089133075325154,17.208089233365254,16.431876234306806,18.153063191241287,12.631619337869559,16.97862927667314,16.793350431670675,15.509966623013021,16.089133075325154,19.21629041218115,19.459833110503997,19.519355039473638,
1-Octadecanol,20.074428529533243,22.18104577317147,20.218205145355753,20.043526398656663,20.764191715040603,21.754482536450816,21.02163069756207,,21.528303882941092,20.109784293625292,20.850808007307744,20.37880721560688,22.41266987563089
"1-Octanol, 2-butyl-",16.13854448061069,20.074428529533243,20.401555028459068,19.830388555174856,,20.50238442778997,,19.21629041218115,20.074428529533243,17.58270070310666,17.85878822244882,17.303192362532272,21.103230061269038
1-Octanol,16.824449814739356,16.89063007353437,16.89063007353437,16.51427461510479,17.708997530179452,17.6217073512717,17.208089233365254,16.856624003438768,16.72234370303497,,13.73358566746679,,20.31399972837066
"1-Octene, 2-methyl-",20.401555028459068,20.37880721560688,20.043526398656663,19.94786825646556,20.574388474014633,20.43082442685246,19.712597982204976,19.587671351059978,20.31399972837066,,19.075534084213622,,21.330812193706336
"1-Pentene, 3,3-dimethyl-",,,,22.27119795290972,,,,,,22.18104577317147,21.724664897638124,21.255272820309276,
1-Phenethylamine,20.727263101365523,,21.36409445394503,19.278093190395012,20.401555028459068,20.80489511106007,20.401555028459068,21.126766697652876,21.255272820309276,22.85174109462429,22.85174109462429,22.962755382669226,
"1-Phenyl-1,2-ethanediol",20.50238442778997,22.27119795290972,20.727263101365523,20.338751877716042,22.41266987563089,22.36485659826712,20.850808007307744,20.074428529533243,22.36485659826712,,,,21.577935223335366
1-Phenylethanol,,13.99757220612477,,,,,,14.895013095309208,,11.846280387189081,,,
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",,,,21.36409445394503,,,,18.241505200416107,17.58270070310666,,,,
"1-Propanamine, N,N-diethyl- ",24.05735318243702,24.127664019786877,23.758738379142873,23.758738379142873,23.96446493667471,24.346187767479726,23.96446493667471,23.349674462827124,24.05735318243702,22.887776930627812,23.285680757322435,23.349674462827124,24.99274750497457
1-Tetradecanol,21.724664897638124,21.647293340750327,22.553503852544203,22.18104577317147,22.30432585442568,20.37880721560688,21.36409445394503,21.647293340750327,21.503306389438173,22.470899925094425,,22.923545225549162,
"1,1'-Biphenyl, 3,4-diethyl-",17.279278563921903,16.642589612212966,15.990609099325692,16.53931803595402,17.063095861840058,17.92169922371412,17.008970665430454,15.69162437018483,15.829949939103326,19.075534084213622,18.36647082551729,,20.43082442685246
"1,2-Benzenedicarboxylic acid",23.821254036692288,25.23727152069106,23.064613651929566,23.674041468876645,24.99274750497457,25.114037128917655,23.758738379142873,23.232478570121216,24.99274750497457,11.720393544860881,11.960071832457418,13.586829175261787,15.959899538293751
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",,,,14.978238346418712,,,,,,15.509966623013021,,,
"1,2-Butanediol",,,,,20.109784293625292,20.465455927473617,,19.400573338593833,20.401555028459068,,19.0170516179095,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",,,,,,,,,,,,,15.323150843460102
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",13.15713936428066,12.631619337869559,14.376416116894761,11.587134843843792,15.176027156901302,16.173385070384008,16.215655550561845,12.240254147292243,10.684239505640372,,,,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",12.772664579495903,13.790635235239417,,13.552372804743326,17.33158696479628,14.613893875629818,15.764571468318742,13.872006254545205,13.759165430473931,,,,
"1,2,3-Butanetriol",,19.21629041218115,,,,15.12875857198395,16.856624003438768,19.278093190395012,20.043526398656663,17.890813197325866,19.104692403905872,18.011945809358853,17.77986918874094
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",21.647293340750327,21.225126785679727,21.330812193706336,20.50238442778997,21.02163069756207,21.682276012706154,21.225126785679727,20.977909524501225,21.8020320809207,22.603355935606036,21.944078744197682,22.77394850710385,23.39212425775114
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",19.569789218228394,19.757255053875422,18.42569287061068,21.944078744197682,18.076864187304007,18.26504526976658,19.459833110503997,18.77329779017504,19.353575759503997,14.122295579355558,,,
"1,3-Cyclohexanebis(methylamine)",,,17.208089233365254,22.14273213899054,,,,18.83070789389641,19.423019197334487,21.36409445394503,21.647293340750327,22.18104577317147,20.977909524501225
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",14.418295819473279,15.829949939103326,14.271578500001299,13.447857779151686,17.008970665430454,16.72234370303497,14.840453737622385,13.355211543382914,15.990609099325692,18.545485015279446,20.401555028459068,18.77329779017504,
"1,3,5-Benzetriol",,,,11.787821025227434,,8.329782236261714,,,8.02407066862705,,15.216712534481676,16.374401143949182,17.467977900662287
"1,3,5-Trimethyl-1H-pyrazol-4-amine",11.587134843843792,10.185437394842268,11.241440816695498,9.996968364140749,8.15937216568915,12.240254147292243,11.241440816695498,10.779364047475678,10.874411873965412,9.879569371444623,9.79517782889924,12.038323619152653,
"1,4-Butanediol",6.985893041230985,,11.787821025227434,9.91701215472802,7.144664087019271,10.38112902322238,,,7.540516501033772,10.91608403810231,10.719361350735484,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",15.045670240760105,16.215655550561845,14.063524816810936,18.71327863091568,,13.872006254545205,15.216712534481676,13.959297643327725,13.355211543382914,20.641185112479572,19.569789218228394,20.50238442778997,
"1,4-Dioxaspiro[4.5]decane",25.54861304074636,,,,,,,25.54861304074636,,,,,16.793350431670675
"1,5-Anhydroglucitol",18.400340891137283,17.85878822244882,,17.58270070310666,18.26504526976658,18.545485015279446,18.36647082551729,17.279278563921903,17.650336331768106,19.31692204122292,19.663395774068803,19.757255053875422,20.267081883265913
10-Heptadecenoic acid,16.687578694649417,16.942297672250053,16.53931803595402,13.355211543382914,16.25524016795433,17.137997351351995,17.467977900662287,15.556151213099971,16.793350431670675,18.929483216725608,19.519355039473638,18.525704336610854,18.83070789389641
10-Nonadecenoic acid,10.103061377065925,,10.581441847887719,,9.5452513422335,11.720393544860881,,,,14.043058300936089,14.063524816810936,14.69237703780166,
12-Hydroxyoctadecanoic acid,,17.683580593243956,17.92169922371412,17.33158696479628,,18.589884782564415,18.294739554501465,17.208089233365254,17.92169922371412,20.267081883265913,20.55279273639784,,
12-Oxooctadecanoate,13.835109415866004,13.586829175261787,9.278074164691516,12.915434771829592,15.12875857198395,14.418295819473279,,,13.835109415866004,13.73358566746679,13.759165430473931,14.840453737622385,17.650336331768106
13-Docosenamide,22.337274437811843,23.4997142344362,21.724664897638124,24.5385143337438,21.902918544862835,22.739633443858526,22.691623145484815,22.36485659826712,22.691623145484815,15.556151213099971,16.089133075325154,,
"15-Oxo-11Z,13E-eicosadienoic acid",9.12695566034981,4.583910469739944,,10.719361350735484,7.832200207475028,,,,10.227928344865886,13.056286053658395,13.503054744425164,15.045670240760105,17.803271822607126
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",13.24504360442354,15.556151213099971,19.13231528606232,13.759165430473931,,17.511627210159055,17.708997530179452,13.680695348816036,14.895013095309208,,,,
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",,14.69237703780166,15.509966623013021,,,,15.829949939103326,14.162606010462351,,15.12875857198395,16.942297672250053,16.72234370303497,
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",,13.872006254545205,,13.24504360442354,13.15713936428066,13.447857779151686,13.99757220612477,13.447857779151686,12.772664579495903,16.431876234306806,,,18.589884782564415
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",17.303192362532272,15.959899538293751,18.83070789389641,17.208089233365254,18.51017463476546,18.654648987048752,18.076864187304007,17.650336331768106,19.104692403905872,19.377808404713118,19.377808404713118,19.94786825646556,18.654648987048752
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,19.0170516179095,19.278093190395012,18.36647082551729,18.044120996363862,19.490728410067863,19.104692403905872,20.043526398656663,18.215951384677066,17.511627210159055,,,,21.944078744197682
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",,,14.122295579355558,,,,,11.787821025227434,14.063524816810936,,,,
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",8.437110709713595,12.82238254364817,8.15937216568915,7.872950517460959,9.879569371444623,,11.163562767389994,10.820501092703577,7.144664087019271,,,,
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,,7.4276986881204445,,,,,6.146813626862924,,,10.719361350735484,10.779364047475678,12.82238254364817,15.12875857198395
"2-Allyl-1,4-dimethoxybenzene",10.967634176725438,,,,,,10.719361350735484,,,17.208089233365254,17.279278563921903,17.708997530179452,17.373283717777664
2-Amino-4-methylphenol,20.13023649337836,19.712597982204976,14.895013095309208,,20.55279273639784,20.401555028459068,21.255272820309276,18.076864187304007,20.727263101365523,,,,
"2-Amino-4,6-dihydroxypyrimidine",14.613893875629818,16.400864662600988,,18.11054732763668,17.031543092625643,15.045670240760105,,,,14.840453737622385,,,
2-Aminoadipic acid,21.02163069756207,21.60767614047673,21.126766697652876,21.225126785679727,21.296347270004745,21.4003481559925,21.60767614047673,21.225126785679727,20.13023649337836,20.37880721560688,21.225126785679727,20.55279273639784,22.509236928917154
2-Aminobutanoic acid,27.05718356582006,30.13788546863514,27.73040421419245,29.813278009564595,23.430921085529484,26.88517410245357,27.35080930430649,27.05718356582006,27.591961596404175,29.037719087970096,28.64025839940879,27.447107635858515,29.938705848508093
2-Butenedioic acid,25.23727152069106,26.794125067765584,26.688296250205116,27.871164462809755,27.256142839780374,25.23727152069106,26.526117111734184,26.688296250205116,26.19944442357079,28.398868226790213,28.398868226790213,28.26473762366425,24.60826210984006
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",14.69237703780166,14.122295579355558,14.613893875629818,13.790635235239417,15.69162437018483,15.69162437018483,15.405088110114423,13.400266916156673,14.122295579355558,,,19.915663889540703,21.225126785679727
2-Ethyl-3-hydroxypropionic acid,,11.587134843843792,12.491917499446004,7.771536565134165,13.73358566746679,12.038323619152653,11.846280387189081,11.720393544860881,11.960071832457418,,,,16.13854448061069
2-Furoic acid,11.102458222320994,10.296355121493692,,11.102458222320994,,,9.5452513422335,7.967368779622313,,,,,17.031543092625643
"2-Heptanone, 4,6-dimethyl-",,15.12875857198395,18.804449127771363,,17.303192362532272,19.459833110503997,16.642589612212966,18.400340891137283,18.6813283179764,,,,
2-Heptenoic acid,5.783746064070977,13.73358566746679,12.038323619152653,4.682530016580031,11.241440816695498,10.103061377065925,10.185437394842268,12.381396768674305,7.832200207475028,,17.208089233365254,,
2-Hexen-1-ol,16.97862927667314,17.58270070310666,21.448463775039905,,18.525704336610854,20.218205145355753,18.929483216725608,19.976539642816576,16.97862927667314,19.278093190395012,19.830388555174856,19.353575759503997,19.629613795354487
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",,4.355923871274419,8.613126201398456,,7.872950517460959,,7.694596559039426,5.24052017936675,,,,,
2-Hydroxy-2-methylbutyric acid,,,,,17.240062989090028,,,,,18.745132360237974,17.6217073512717,16.942297672250053,19.252229197425127
2-Hydroxy-3-methylbutyric acid,27.871164462809755,28.51228500809141,28.020814950435433,27.35080930430649,28.135820642674332,28.26473762366425,27.73040421419245,27.591961596404175,28.26473762366425,,29.422150649678,,31.53197674890691
2-Hydroxy-5-methoxybenzaldehyde,23.674041468876645,23.674041468876645,23.63614345718412,22.603355935606036,23.758738379142873,24.201821337409207,23.914980354751055,23.585837182310325,23.998791804143277,24.127664019786877,24.5385143337438,24.880157984051962,24.45243153284123
2-Hydroxybutyric acid,18.900717658446986,19.353575759503997,15.726376172909594,17.756079080811524,7.694596559039426,,,17.683580593243956,,20.0145799179434,19.629613795354487,20.465455927473617,20.947461276826346
2-Imidazolidinone,16.043041968213807,,15.405088110114423,15.829949939103326,,16.3316947026017,16.089133075325154,14.802107144724356,15.509966623013021,,,,
2-Isopropyl-5-methyl-1-heptanol ,21.255272820309276,21.330812193706336,20.90424816618832,,21.255272820309276,21.103230061269038,21.170805030469182,20.69686745967054,21.064283312637436,,,,
2-Ketoisocaproic acid,,10.874411873965412,13.99757220612477,,12.915434771829592,,13.400266916156673,13.615944742457838,12.175815056791448,13.188369099922344,13.188369099922344,13.400266916156673,
2-Methyl-4-pentenoic acid,10.820501092703577,10.103061377065925,11.163562767389994,8.329782236261714,12.175815056791448,11.960071832457418,10.581441847887719,8.329782236261714,8.988656312922103,13.355211543382914,13.872006254545205,14.418295819473279,17.008970665430454
2-Methyl-E-7-hexadecene,,3.3126929426544227,,,,,,,,,,,
2-Methylglutaconic acid,18.215951384677066,17.96954724511451,17.96954724511451,20.37880721560688,19.68586336917248,18.294739554501465,19.252229197425127,18.181120513462393,18.31955776679727,18.11054732763668,18.623209527049543,19.423019197334487,21.682276012706154
2-Naphthol,16.400864662600988,15.176027156901302,15.12875857198395,15.959899538293751,15.045670240760105,16.89063007353437,15.69162437018483,14.122295579355558,16.25524016795433,,16.53931803595402,16.76385170691238,18.804449127771363
2-Oxooctanoic acid,14.271578500001299,17.33158696479628,9.91701215472802,18.900717658446986,10.967634176725438,12.296747807659711,13.447857779151686,16.3316947026017,3.6669809277740817,9.372726265192195,10.296355121493692,11.353858129970044,
"2-Pentenedioic acid, 3-methyl-",,,4.583910469739944,3.7867974161140237,,7.832200207475028,,,,9.278074164691516,8.988656312922103,11.587134843843792,
2-Pentenoic acid,23.31473498258176,23.31473498258176,24.201821337409207,22.02643659489743,23.39212425775114,24.127664019786877,23.821254036692288,23.54182310975582,23.349674462827124,,,22.337274437811843,
2-Piperidinone,16.89063007353437,19.400573338593833,17.82452995731995,19.047007788243796,16.642589612212966,17.77986918874094,17.279278563921903,,18.181120513462393,22.509236928917154,24.05735318243702,,
"2-Propanone, bis(1-methylethyl)hydrazone",18.83070789389641,18.83070789389641,18.71327863091568,18.400340891137283,19.353575759503997,19.377808404713118,19.21629041218115,18.26504526976658,18.589884782564415,,21.577935223335366,,23.31473498258176
"2-Propenamide, 3-phenyl-N-2-propenyl-",19.162048859244987,16.578530185220774,16.687578694649417,21.255272820309276,,,17.33158696479628,19.047007788243796,17.44445169377594,,,21.528303882941092,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",,,10.103061377065925,5.783746064070977,10.296355121493692,9.639279878386539,,9.79517782889924,7.872950517460959,,,,
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",,,,,,,,1.9950008393033387,,,8.900213460214147,,
2-Pyrrolidinone,23.86783469526196,24.80567999357708,23.96446493667471,23.914980354751055,23.674041468876645,24.27524702220432,24.5385143337438,24.127664019786877,24.27524702220432,26.526117111734184,27.871164462809755,26.398894623732556,23.430921085529484
2-Trimethylsilyloxysebacic acid,,18.11054732763668,,,,,,13.835109415866004,,,,,
"2,2-Diallylpyrrolidine",16.53931803595402,17.240062989090028,15.91067078511715,17.54089681836928,16.3316947026017,15.176027156901302,16.13854448061069,14.840453737622385,18.241505200416107,,21.902918544862835,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,7.237424327298849,7.540516501033772,,8.900213460214147,9.5452513422335,7.540516501033772,3.6669809277740817,6.985893041230985,11.241440816695498,11.102458222320994,13.15713936428066,16.043041968213807
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",21.473874637841547,21.682276012706154,21.60767614047673,20.764191715040603,,,,,22.470899925094425,21.724664897638124,21.754482536450816,21.682276012706154,
"2,2'-Biphenyldiol",28.26473762366425,28.751020472792,27.447107635858515,29.18307997670736,28.64025839940879,29.037719087970096,28.398868226790213,27.871164462809755,28.64025839940879,33.16415523395678,29.299028451679874,,
"2,3-Butanediol",19.13231528606232,20.43082442685246,19.104692403905872,21.170805030469182,21.853878413771135,15.829949939103326,18.400340891137283,12.491917499446004,15.12875857198395,,,19.587671351059978,
"2,3,4-Trihydroxybutyric acid tetrakis",,,14.526211862098686,,,,,,,14.526211862098686,14.802107144724356,15.69162437018483,17.063095861840058
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",,,,,,,,,,23.4997142344362,23.86783469526196,23.998791804143277,22.36485659826712
"2,4-Decadienal",16.578530185220774,16.431876234306806,16.51427461510479,,16.687578694649417,17.098247966664776,17.178829941356778,16.431876234306806,16.76385170691238,18.076864187304007,18.71327863091568,18.400340891137283,19.830388555174856
"2,4-Diamino-6,7-dimethylpteridine",17.240062989090028,17.063095861840058,16.97862927667314,16.89063007353437,17.96954724511451,17.756079080811524,17.58270070310666,16.53931803595402,17.098247966664776,17.44445169377594,17.890813197325866,18.11054732763668,19.712597982204976
"2,4-Imidazolidinedione, 5,5-dimethyl-",9.372726265192195,8.988656312922103,9.5452513422335,10.967634176725438,14.840453737622385,,10.487163562652496,9.465509780663318,7.694596559039426,,,,17.6217073512717
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",18.181120513462393,18.011945809358853,17.44445169377594,,19.519355039473638,19.519355039473638,18.654648987048752,17.178829941356778,18.215951384677066,,16.400864662600988,16.25524016795433,19.31692204122292
"2,5-di-tert-Butyl-1,4-benzoquinone",8.15937216568915,,10.227928344865886,9.879569371444623,13.188369099922344,12.772664579495903,12.175815056791448,10.44768035394635,,16.942297672250053,17.008970665430454,,
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",24.201821337409207,24.99274750497457,24.880157984051962,24.60826210984006,24.880157984051962,24.80567999357708,24.99274750497457,24.5385143337438,25.346447218319824,25.1843827915228,25.456846018859697,25.346447218319824,25.54861304074636
"2,5-Di-tert-butylhydroquinone",18.36647082551729,17.708997530179452,18.11054732763668,17.098247966664776,17.683580593243956,17.803271822607126,18.044120996363862,17.240062989090028,17.063095861840058,,,,14.376416116894761
"2,5-Dimethoxy-4-(n)-propylphenethylamine",,,,,,,,,20.218205145355753,,19.400573338593833,,
"2,5-Dimethoxy-4-methylamphetamine",30.0308174343997,30.30087492738009,30.457081396249325,29.422150649678,30.30087492738009,30.65717937445432,29.938705848508093,29.938705848508093,30.13788546863514,28.973383738146165,29.18307997670736,29.557238653472186,29.813278009564595
"2,5-Dimethoxybenzhydrazide",22.113886571257673,22.962755382669226,23.4997142344362,18.294739554501465,22.77394850710385,23.31473498258176,23.001707748583026,22.553503852544203,21.682276012706154,23.162783849885912,23.716460448444305,23.4997142344362,22.603355935606036
"2,5-Dimethoxybenzonitrile",18.241505200416107,21.103230061269038,21.02163069756207,17.178829941356778,20.850808007307744,20.764191715040603,21.064283312637436,20.574388474014633,20.109784293625292,20.947461276826346,20.50238442778997,20.727263101365523,
"2,5-Dimethoxymandelic acid",9.465509780663318,9.465509780663318,11.102458222320994,3.36571247216152,11.960071832457418,11.787821025227434,11.720393544860881,10.719361350735484,9.465509780663318,8.900213460214147,9.12695566034981,11.514267928225033,14.418295819473279
"2,5-Dimethoxyphenol",23.998791804143277,24.201821337409207,24.80567999357708,21.528303882941092,24.27524702220432,24.67075897657363,24.732805727418683,24.201821337409207,23.821254036692288,24.346187767479726,24.80567999357708,24.732805727418683,24.880157984051962
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",12.631619337869559,20.55279273639784,20.13023649337836,10.487163562652496,20.947461276826346,18.83070789389641,20.37880721560688,21.330812193706336,16.51427461510479,16.53931803595402,16.215655550561845,,
"2,5-Piperazinedione, 3-(phenylmethyl)-",,,,22.36485659826712,,,,,,,,,25.114037128917655
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",,,,2.7359734149272987,,,,,,,,,
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",,,,18.545485015279446,,,,,,23.716460448444305,19.68586336917248,23.285680757322435,
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",3.2030715401087226,1.9950008393033387,4.245152453624054,,5.783746064070977,6.5884417535318525,,,,9.639279878386539,9.465509780663318,,
"2,6-Dimethoxybenzylamine",17.6217073512717,20.850808007307744,14.162606010462351,21.02163069756207,20.043526398656663,17.683580593243956,20.218205145355753,18.874713142144913,15.216712534481676,,,,
"2,6-Dimethoxyhydroquinone",16.25524016795433,16.51427461510479,17.240062989090028,12.572828378477455,16.97862927667314,17.33158696479628,17.44445169377594,16.687578694649417,15.91067078511715,18.36647082551729,18.42569287061068,18.654648987048752,18.215951384677066
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",13.447857779151686,5.871401689203946,17.33158696479628,17.96954724511451,18.623209527049543,15.764571468318742,9.79517782889924,15.726376172909594,18.929483216725608,17.92169922371412,17.44445169377594,18.31955776679727,19.663395774068803
"2,6,10-Trimethyltridecane",21.98787118720285,,,,,,18.241505200416107,20.90424816618832,,,,,
2'-Deoxyribolactone,3.36571247216152,,16.29669433477845,14.802107144724356,,,18.98218827458316,,6.146813626862924,21.853878413771135,21.8020320809207,21.577935223335366,
"2',2,3,6'-Tetramethoxychalcone",22.65283473995788,22.887776930627812,23.716460448444305,20.598247082283425,23.31473498258176,23.914980354751055,23.162783849885912,22.27119795290972,22.923545225549162,,,,24.201821337409207
3-(2-Hydroxyethyl)imidazole-2-thione,16.856624003438768,13.680695348816036,15.764571468318742,15.556151213099971,16.53931803595402,16.687578694649417,17.240062989090028,14.978238346418712,15.959899538293751,11.514267928225033,11.587134843843792,13.299524273128414,17.92169922371412
